DATA;KOD_PRACOWNIKA;KOD_TOWARU;ILOSC
2020-09-09;P27;t8;3
2020-09-09;P8;t8;5
2020-09-09;P16;t12;2
2020-09-09;P21;t3;1
2020-09-09;P25;t9;5
2020-09-09;P13;t13;1
2020-09-09;P25;t12;4
2020-09-09;P21;t6;4
2020-09-09;P19;t3;2
2020-09-09;P18;t9;5
2020-09-09;P26;t11;4
2020-09-09;P2;t18;3
2020-09-09;P20;t2;3
2020-09-10;P19;t3;3
2020-09-10;P17;t14;5
2020-09-10;P23;t5;3
2020-09-10;P6;t18;4
2020-09-10;P16;t2;4
2020-09-10;P29;t7;5
2020-09-10;P7;t7;5
2020-09-10;P24;t17;5
2020-09-10;P23;t1;3
2020-09-10;P6;t7;2
2020-09-10;P25;t13;2
2020-09-10;P1;t14;2
2020-09-10;P2;t1;1
2020-09-10;P13;t16;2
2020-09-10;P25;t6;4
2020-09-10;P5;t9;1
2020-09-10;P16;t8;1
2020-09-10;P26;t3;4
2020-09-10;P1;t13;1
2020-09-10;P2;t11;2
2020-09-10;P13;t19;5
2020-09-10;P12;t14;2
2020-09-10;P7;t17;3
2020-09-10;P26;t8;5
2020-09-10;P20;t7;3
2020-09-10;P5;t17;5
2020-09-10;P29;t4;4
2020-09-10;P23;t9;4
2020-09-10;P11;t5;1
2020-09-10;P16;t4;2
2020-09-10;P25;t8;3
2020-09-10;P11;t8;3
2020-09-10;P9;t7;1
2020-09-10;P16;t19;2
2020-09-10;P19;t17;1
2020-09-10;P28;t18;5
2020-09-10;P28;t1;2
2020-09-10;P14;t2;1
2020-09-10;P29;t10;1
2020-09-10;P11;t2;2
2020-09-10;P22;t6;3
2020-09-10;P18;t10;4
2020-09-10;P16;t7;2
2020-09-10;P11;t17;1
2020-09-10;P7;t15;2
2020-09-10;P16;t3;1
2020-09-10;P13;t3;3
2020-09-10;P27;t19;3
2020-09-10;P23;t11;4
2020-09-10;P7;t2;3
2020-09-10;P10;t11;5
2020-09-11;P16;t3;4
2020-09-11;P21;t7;3
2020-09-11;P4;t5;2
2020-09-11;P24;t5;3
2020-09-11;P12;t1;3
2020-09-11;P25;t17;5
2020-09-11;P17;t18;3
2020-09-11;P28;t19;1
2020-09-11;P14;t14;2
2020-09-11;P27;t12;3
2020-09-11;P28;t10;4
2020-09-11;P29;t12;3
2020-09-11;P26;t1;5
2020-09-11;P13;t18;3
2020-09-11;P16;t19;3
2020-09-11;P19;t11;2
2020-09-11;P19;t15;2
2020-09-11;P6;t18;3
2020-09-11;P26;t11;2
2020-09-11;P4;t19;3
2020-09-11;P20;t13;4
2020-09-11;P2;t16;2
2020-09-11;P13;t18;2
2020-09-11;P26;t2;5
2020-09-11;P22;t7;5
2020-09-11;P8;t1;2
2020-09-11;P10;t1;1
2020-09-11;P11;t1;1
2020-09-11;P25;t14;2
2020-09-11;P25;t14;2
2020-09-11;P7;t7;4
2020-09-11;P20;t19;4
2020-09-11;P10;t4;3
2020-09-11;P4;t17;4
2020-09-11;P13;t9;3
2020-09-11;P13;t17;2
2020-09-11;P16;t3;4
2020-09-11;P1;t3;2
2020-09-11;P6;t9;2
2020-09-11;P2;t1;4
2020-09-11;P22;t15;3
2020-09-11;P3;t1;1
2020-09-11;P22;t13;3
2020-09-11;P3;t13;3
2020-09-11;P10;t12;4
2020-09-11;P2;t18;2
2020-09-14;P29;t12;1
2020-09-14;P13;t1;5
2020-09-14;P25;t1;2
2020-09-14;P18;t15;5
2020-09-14;P3;t14;5
2020-09-14;P18;t10;2
2020-09-14;P28;t2;2
2020-09-14;P1;t2;4
2020-09-14;P28;t6;4
2020-09-14;P13;t13;2
2020-09-14;P5;t12;1
2020-09-14;P16;t4;1
2020-09-14;P5;t3;4
2020-09-14;P23;t12;4
2020-09-14;P21;t4;3
2020-09-14;P16;t19;5
2020-09-14;P8;t13;2
2020-09-14;P27;t13;2
2020-09-14;P13;t5;2
2020-09-14;P28;t13;3
2020-09-14;P25;t5;3
2020-09-14;P16;t8;5
2020-09-14;P27;t4;1
2020-09-14;P23;t7;5
2020-09-14;P3;t12;3
2020-09-14;P10;t7;4
2020-09-14;P20;t9;5
2020-09-14;P6;t10;4
2020-09-14;P16;t14;5
2020-09-14;P16;t7;5
2020-09-15;P11;t19;3
2020-09-15;P26;t17;3
2020-09-15;P9;t6;1
2020-09-15;P29;t8;4
2020-09-15;P22;t10;3
2020-09-15;P29;t15;5
2020-09-15;P5;t5;2
2020-09-15;P25;t6;5
2020-09-15;P20;t6;4
2020-09-15;P27;t8;4
2020-09-15;P23;t16;5
2020-09-15;P26;t9;4
2020-09-15;P29;t12;4
2020-09-15;P18;t13;4
2020-09-15;P20;t12;1
2020-09-15;P26;t9;2
2020-09-15;P9;t2;3
2020-09-15;P17;t18;1
2020-09-15;P7;t6;2
2020-09-15;P16;t14;5
2020-09-15;P3;t2;3
2020-09-15;P22;t3;2
2020-09-15;P13;t17;4
2020-09-15;P25;t8;4
2020-09-15;P18;t5;1
2020-09-15;P9;t3;4
2020-09-15;P16;t15;1
2020-09-15;P16;t4;2
2020-09-15;P29;t2;3
2020-09-15;P22;t16;4
2020-09-15;P2;t4;3
2020-09-15;P17;t16;4
2020-09-15;P23;t4;1
2020-09-16;P14;t8;4
2020-09-16;P8;t16;4
2020-09-16;P19;t5;1
2020-09-16;P9;t6;1
2020-09-16;P8;t18;4
2020-09-16;P16;t5;5
2020-09-16;P26;t15;1
2020-09-16;P17;t7;4
2020-09-16;P21;t12;1
2020-09-16;P16;t15;2
2020-09-16;P1;t12;1
2020-09-16;P24;t5;1
2020-09-16;P14;t18;2
2020-09-16;P16;t16;4
2020-09-16;P9;t10;3
2020-09-16;P10;t1;5
2020-09-16;P9;t3;1
2020-09-16;P6;t6;3
2020-09-16;P3;t3;2
2020-09-16;P6;t14;4
2020-09-16;P9;t12;1
2020-09-16;P5;t8;1
2020-09-16;P4;t6;4
2020-09-16;P9;t13;4
2020-09-16;P3;t19;4
2020-09-16;P11;t11;1
2020-09-16;P12;t1;1
2020-09-16;P13;t14;4
2020-09-16;P7;t15;5
2020-09-16;P25;t14;3
2020-09-16;P16;t17;5
2020-09-16;P27;t5;1
2020-09-16;P23;t2;3
2020-09-16;P17;t5;2
2020-09-16;P22;t9;5
2020-09-16;P26;t18;4
2020-09-16;P20;t17;5
2020-09-16;P28;t6;4
2020-09-16;P6;t11;5
2020-09-16;P17;t6;3
2020-09-16;P26;t7;1
2020-09-16;P17;t12;4
2020-09-16;P19;t13;3
2020-09-16;P14;t7;3
2020-09-16;P9;t18;5
2020-09-16;P25;t11;2
2020-09-16;P1;t8;1
2020-09-16;P29;t8;2
2020-09-16;P22;t13;1
2020-09-16;P16;t10;2
2020-09-16;P2;t10;4
2020-09-16;P4;t13;3
2020-09-16;P5;t18;1
2020-09-16;P23;t8;5
2020-09-16;P3;t16;5
2020-09-16;P28;t5;1
2020-09-16;P7;t10;4
2020-09-16;P3;t9;1
2020-09-16;P18;t17;2
2020-09-16;P21;t13;3
2020-09-16;P22;t16;2
2020-09-16;P3;t13;2
2020-09-16;P1;t9;1
2020-09-16;P29;t13;4
2020-09-16;P16;t18;2
2020-09-17;P16;t17;3
2020-09-17;P28;t14;3
2020-09-17;P14;t9;1
2020-09-17;P3;t5;4
2020-09-17;P14;t2;3
2020-09-17;P6;t8;1
2020-09-17;P23;t9;1
2020-09-17;P16;t3;5
2020-09-17;P17;t8;2
2020-09-17;P24;t10;3
2020-09-17;P25;t12;5
2020-09-17;P5;t12;5
2020-09-17;P14;t3;3
2020-09-17;P4;t11;2
2020-09-17;P17;t5;5
2020-09-17;P27;t15;2
2020-09-17;P28;t11;1
2020-09-17;P6;t9;4
2020-09-17;P7;t3;5
2020-09-17;P1;t18;4
2020-09-17;P20;t17;2
2020-09-17;P21;t11;3
2020-09-17;P26;t12;4
2020-09-17;P29;t2;1
2020-09-17;P5;t7;2
2020-09-17;P17;t2;1
2020-09-17;P26;t2;3
2020-09-17;P24;t2;3
2020-09-17;P27;t13;4
2020-09-17;P14;t13;2
2020-09-17;P11;t18;2
2020-09-17;P14;t13;5
2020-09-17;P2;t14;1
2020-09-18;P27;t11;3
2020-09-18;P5;t15;2
2020-09-18;P25;t6;3
2020-09-18;P23;t16;5
2020-09-18;P27;t5;2
2020-09-18;P16;t15;1
2020-09-18;P19;t6;1
2020-09-18;P22;t18;2
2020-09-18;P11;t8;3
2020-09-18;P22;t18;4
2020-09-18;P25;t18;3
2020-09-18;P16;t16;1
2020-09-18;P8;t7;5
2020-09-18;P10;t7;5
2020-09-18;P1;t4;3
2020-09-18;P28;t10;4
2020-09-18;P1;t16;5
2020-09-18;P5;t5;3
2020-09-18;P8;t19;1
2020-09-18;P21;t1;1
2020-09-18;P27;t8;5
2020-09-18;P9;t14;5
2020-09-18;P16;t5;4
2020-09-18;P19;t6;5
2020-09-18;P3;t19;5
2020-09-18;P13;t8;5
2020-09-18;P23;t11;2
2020-09-18;P21;t16;1
2020-09-18;P6;t15;3
2020-09-18;P8;t10;1
2020-09-18;P9;t8;2
2020-09-18;P20;t9;1
2020-09-18;P5;t10;3
2020-09-18;P16;t2;2
2020-09-18;P16;t12;5
2020-09-18;P10;t12;3
2020-09-18;P3;t1;1
2020-09-18;P28;t13;3
2020-09-18;P10;t1;5
2020-09-18;P29;t17;5
2020-09-18;P18;t9;2
2020-09-18;P7;t13;3
2020-09-18;P12;t18;4
2020-09-18;P2;t4;3
2020-09-18;P24;t18;5
2020-09-18;P9;t12;2
2020-09-18;P12;t6;3
2020-09-18;P23;t19;3
2020-09-18;P25;t7;5
2020-09-18;P17;t10;2
2020-09-21;P25;t14;4
2020-09-21;P20;t2;3
2020-09-21;P17;t7;2
2020-09-21;P21;t3;1
2020-09-21;P7;t18;4
2020-09-21;P8;t17;2
2020-09-21;P24;t9;2
2020-09-21;P18;t6;3
2020-09-21;P12;t13;3
2020-09-21;P12;t8;4
2020-09-21;P26;t4;2
2020-09-21;P23;t15;1
2020-09-21;P12;t15;5
2020-09-21;P5;t14;2
2020-09-21;P12;t10;3
2020-09-21;P1;t17;1
2020-09-21;P28;t5;1
2020-09-21;P10;t13;2
2020-09-21;P18;t16;2
2020-09-21;P12;t5;3
2020-09-22;P16;t7;1
2020-09-22;P23;t5;2
2020-09-22;P17;t9;2
2020-09-22;P4;t17;5
2020-09-22;P3;t1;5
2020-09-22;P1;t5;2
2020-09-22;P11;t15;3
2020-09-22;P22;t7;2
2020-09-22;P17;t2;5
2020-09-22;P8;t12;3
2020-09-22;P14;t16;3
2020-09-22;P21;t8;2
2020-09-22;P4;t14;3
2020-09-22;P10;t14;4
2020-09-22;P10;t17;2
2020-09-22;P28;t1;4
2020-09-22;P18;t8;4
2020-09-22;P18;t17;3
2020-09-22;P19;t5;3
2020-09-22;P16;t16;5
2020-09-22;P13;t10;4
2020-09-22;P2;t8;5
2020-09-22;P20;t18;2
2020-09-22;P7;t1;3
2020-09-22;P11;t9;4
2020-09-22;P28;t19;5
2020-09-22;P12;t16;5
2020-09-23;P28;t1;5
2020-09-23;P14;t14;2
2020-09-23;P7;t14;1
2020-09-23;P9;t7;1
2020-09-23;P12;t14;4
2020-09-23;P10;t12;5
2020-09-23;P7;t11;1
2020-09-23;P28;t11;5
2020-09-23;P27;t16;3
2020-09-23;P23;t11;5
2020-09-23;P2;t9;2
2020-09-23;P10;t3;3
2020-09-23;P29;t19;3
2020-09-23;P26;t4;4
2020-09-23;P10;t7;2
2020-09-23;P27;t14;2
2020-09-23;P21;t19;4
2020-09-23;P7;t3;5
2020-09-23;P6;t8;1
2020-09-23;P25;t14;5
2020-09-23;P1;t8;4
2020-09-23;P16;t12;2
2020-09-23;P16;t14;1
2020-09-23;P25;t18;2
2020-09-23;P25;t3;3
2020-09-23;P4;t10;2
2020-09-23;P10;t13;1
2020-09-23;P9;t1;5
2020-09-23;P17;t13;2
2020-09-23;P23;t18;5
2020-09-23;P5;t1;2
2020-09-23;P1;t15;3
2020-09-23;P4;t9;2
2020-09-23;P6;t17;2
2020-09-23;P17;t8;3
2020-09-23;P27;t6;2
2020-09-23;P8;t18;3
2020-09-23;P19;t14;3
2020-09-23;P29;t11;1
2020-09-23;P11;t12;4
2020-09-23;P21;t4;1
2020-09-24;P18;t1;1
2020-09-24;P18;t15;2
2020-09-24;P4;t2;3
2020-09-24;P1;t8;1
2020-09-24;P18;t7;1
2020-09-24;P28;t7;5
2020-09-24;P9;t19;1
2020-09-24;P21;t19;5
2020-09-24;P16;t9;5
2020-09-24;P22;t5;5
2020-09-24;P25;t14;3
2020-09-24;P16;t12;4
2020-09-24;P17;t10;4
2020-09-24;P9;t12;2
2020-09-24;P29;t17;2
2020-09-24;P16;t16;5
2020-09-24;P16;t12;5
2020-09-24;P1;t3;5
2020-09-24;P24;t7;2
2020-09-24;P5;t14;3
2020-09-24;P7;t13;2
2020-09-24;P11;t3;3
2020-09-24;P11;t3;1
2020-09-24;P17;t3;3
2020-09-24;P25;t13;4
2020-09-24;P21;t12;1
2020-09-24;P28;t18;2
2020-09-24;P22;t18;1
2020-09-24;P22;t5;1
2020-09-24;P6;t17;2
2020-09-24;P8;t5;2
2020-09-24;P21;t4;1
2020-09-24;P27;t18;5
2020-09-24;P24;t9;2
2020-09-24;P21;t6;1
2020-09-24;P23;t16;4
2020-09-24;P9;t6;1
2020-09-24;P14;t17;1
2020-09-25;P3;t11;2
2020-09-25;P12;t18;3
2020-09-25;P25;t9;4
2020-09-25;P11;t9;4
2020-09-25;P13;t9;2
2020-09-25;P22;t19;5
2020-09-25;P19;t13;1
2020-09-25;P26;t3;5
2020-09-25;P20;t14;1
2020-09-25;P24;t10;4
2020-09-25;P2;t17;2
2020-09-25;P12;t3;5
2020-09-25;P25;t16;5
2020-09-25;P29;t11;4
2020-09-25;P23;t2;5
2020-09-25;P28;t2;4
2020-09-25;P11;t16;3
2020-09-25;P21;t1;5
2020-09-25;P20;t12;2
2020-09-25;P11;t14;3
2020-09-25;P7;t6;4
2020-09-25;P17;t1;3
2020-09-25;P13;t1;1
2020-09-25;P13;t12;5
2020-09-25;P17;t16;3
2020-09-25;P22;t6;4
2020-09-25;P8;t11;2
2020-09-25;P6;t7;2
2020-09-25;P25;t10;4
2020-09-25;P22;t19;5
2020-09-25;P28;t2;1
2020-09-25;P1;t10;3
2020-09-25;P24;t14;5
2020-09-25;P16;t11;4
2020-09-25;P7;t9;4
2020-09-25;P17;t1;5
2020-09-25;P16;t16;4
2020-09-25;P10;t1;4
2020-09-25;P25;t13;3
2020-09-25;P7;t7;3
2020-09-25;P18;t13;1
2020-09-25;P19;t3;2
2020-09-25;P29;t15;1
2020-09-25;P5;t4;1
2020-09-25;P19;t10;4
2020-09-25;P23;t9;3
2020-09-25;P12;t9;5
2020-09-25;P16;t1;1
2020-09-25;P5;t4;3
2020-09-25;P21;t9;5
2020-09-25;P6;t13;2
2020-09-28;P20;t12;5
2020-09-28;P21;t19;3
2020-09-28;P7;t10;4
2020-09-28;P8;t5;2
2020-09-28;P16;t8;5
2020-09-28;P29;t19;5
2020-09-28;P7;t9;3
2020-09-28;P22;t3;5
2020-09-28;P11;t2;2
2020-09-28;P13;t13;4
2020-09-28;P11;t1;1
2020-09-28;P11;t3;3
2020-09-28;P6;t5;4
2020-09-28;P23;t1;4
2020-09-28;P8;t18;1
2020-09-28;P24;t4;5
2020-09-28;P12;t17;2
2020-09-28;P25;t7;3
2020-09-28;P25;t13;4
2020-09-28;P3;t1;5
2020-09-28;P11;t16;3
2020-09-28;P2;t19;3
2020-09-28;P7;t3;1
2020-09-28;P25;t1;5
2020-09-28;P2;t16;5
2020-09-28;P17;t7;5
2020-09-28;P25;t14;5
2020-09-28;P25;t15;4
2020-09-28;P13;t1;5
2020-09-29;P22;t18;1
2020-09-29;P19;t8;2
2020-09-29;P14;t11;4
2020-09-29;P12;t7;2
2020-09-29;P19;t15;2
2020-09-29;P6;t14;4
2020-09-29;P1;t12;1
2020-09-29;P26;t3;5
2020-09-29;P9;t4;1
2020-09-29;P21;t19;3
2020-09-29;P2;t9;3
2020-09-29;P25;t17;2
2020-09-29;P8;t8;5
2020-09-29;P2;t13;3
2020-09-29;P5;t4;4
2020-09-29;P10;t15;4
2020-09-29;P10;t14;4
2020-09-29;P23;t19;5
2020-09-29;P14;t4;3
2020-09-29;P16;t10;4
2020-09-29;P11;t1;5
2020-09-29;P27;t11;3
2020-09-29;P19;t17;1
2020-09-29;P17;t1;5
2020-09-29;P14;t4;5
2020-09-29;P25;t10;2
2020-09-29;P8;t2;2
2020-09-29;P28;t7;2
2020-09-29;P11;t5;3
2020-09-29;P13;t8;3
2020-09-29;P18;t13;2
2020-09-30;P3;t17;1
2020-09-30;P19;t15;4
2020-09-30;P12;t4;4
2020-09-30;P4;t17;5
2020-09-30;P22;t15;5
2020-09-30;P16;t9;1
2020-09-30;P23;t6;2
2020-09-30;P21;t13;1
2020-09-30;P14;t16;4
2020-09-30;P22;t1;1
2020-09-30;P23;t11;2
2020-09-30;P16;t2;1
2020-09-30;P19;t4;2
2020-09-30;P5;t19;4
2020-09-30;P14;t14;3
2020-09-30;P29;t10;5
2020-09-30;P27;t10;4
2020-09-30;P9;t17;1
2020-09-30;P16;t4;1
2020-09-30;P25;t12;3
2020-09-30;P12;t18;4
2020-09-30;P19;t18;2
2020-09-30;P16;t13;5
2020-09-30;P18;t4;4
2020-09-30;P5;t10;3
2020-09-30;P12;t1;4
2020-09-30;P29;t11;5
2020-09-30;P16;t9;1
2020-09-30;P11;t6;4
2020-09-30;P24;t16;3
2020-09-30;P2;t6;1
2020-09-30;P11;t18;4
2020-09-30;P2;t13;4
2020-09-30;P11;t9;1
2020-09-30;P21;t7;4
2020-09-30;P3;t14;2
2020-09-30;P10;t3;3
2020-09-30;P17;t11;5
2020-09-30;P23;t14;3
2020-09-30;P22;t12;2
2020-09-30;P13;t6;1
2020-09-30;P6;t11;2
2020-09-30;P27;t5;2
2020-09-30;P8;t11;5
2020-09-30;P24;t9;4
2020-09-30;P2;t6;2
2020-09-30;P6;t2;1
2020-09-30;P23;t14;5
2020-09-30;P16;t5;3
2020-09-30;P20;t5;5
2020-09-30;P19;t12;5
2020-09-30;P13;t5;1
2020-09-30;P27;t16;3
2020-09-30;P16;t1;4
2020-09-30;P29;t4;5
2020-09-30;P22;t1;3
2020-09-30;P9;t15;2
2020-09-30;P25;t18;2
2020-09-30;P14;t10;1
2020-09-30;P8;t1;3
2020-09-30;P12;t8;3
2020-09-30;P20;t1;1
2020-09-30;P16;t18;3
2020-09-30;P23;t13;1
2020-09-30;P10;t8;2
2020-09-30;P5;t10;2
2020-09-30;P22;t9;1
2020-09-30;P24;t13;1
2020-09-30;P22;t4;4
2020-09-30;P14;t2;1
2020-09-30;P7;t16;5
2020-09-30;P26;t17;2
2020-09-30;P23;t17;2
2020-09-30;P7;t4;3
2020-09-30;P21;t10;3
2020-09-30;P17;t8;5
2020-09-30;P19;t6;4
2020-09-30;P14;t18;3
2020-09-30;P7;t10;1
2020-09-30;P16;t19;5
2020-09-30;P28;t18;3
2020-09-30;P27;t11;2
2020-09-30;P19;t16;5
2020-09-30;P19;t11;5
2020-09-30;P7;t5;2
2020-09-30;P22;t17;4
2020-09-30;P27;t19;4
2020-09-30;P25;t11;4
2020-09-30;P6;t3;1
2020-09-30;P27;t12;2
2020-09-30;P7;t2;3
2020-09-30;P23;t6;5
2020-09-30;P3;t16;1
2020-09-30;P8;t8;2
2020-09-30;P1;t8;3
2020-09-30;P24;t18;3
2020-09-30;P8;t13;4
2020-09-30;P11;t1;5
2020-09-30;P1;t13;3
2020-09-30;P24;t2;4
2020-09-30;P20;t10;4
2020-09-30;P6;t1;4
2020-09-30;P13;t3;4
2020-09-30;P11;t4;1
2020-09-30;P7;t3;4
2020-09-30;P16;t2;5
2020-09-30;P11;t5;3
2020-09-30;P25;t10;4
2020-09-30;P8;t17;3
2020-09-30;P8;t8;4
2020-09-30;P19;t1;2
2020-09-30;P14;t2;4
2020-09-30;P7;t11;5
2020-09-30;P19;t1;2
2020-09-30;P11;t4;5
