ID_zdjecia	Data_dodania	ID_uzytkownika	Szerokosc	Wysokosc
93	2013-06-17	54	1595	1470
94	2014-02-28	17	720	1080
95	2012-06-25	8	720	576
96	2014-06-30	42	720	720
97	2013-02-10	42	1440	720
98	2014-07-24	75	720	720
99	2012-07-16	59	1440	576
100	2014-09-14	56	1920	480
101	2013-09-18	16	720	576
102	2013-07-21	26	1280	1080
103	2015-01-07	18	720	720
104	2014-11-21	23	720	576
105	2012-11-19	34	720	1080
106	2013-06-21	71	1280	480
107	2013-04-27	7	1280	1080
108	2013-07-07	84	1280	720
109	2014-04-19	2	1920	1080
110	2014-12-20	67	720	720
111	2012-11-19	64	1340	1119
112	2013-05-24	24	720	1080
113	2014-08-05	8	720	1080
114	2013-08-02	71	1920	1080
115	2013-05-19	84	720	576
116	2014-07-25	43	1280	480
117	2014-09-23	36	1440	576
118	2014-07-09	76	720	720
119	2013-06-09	16	1440	480
120	2013-04-28	61	720	576
121	2013-12-08	36	1280	1080
122	2013-12-13	57	720	1080
123	2013-03-16	60	1440	480
124	2012-07-07	13	1920	480
125	2014-01-25	17	720	720
126	2013-12-29	12	1440	576
127	2012-10-19	47	720	720
128	2014-04-13	8	1280	576
129	2013-08-10	83	1280	1080
130	2014-02-20	46	720	1080
131	2013-01-28	19	720	576
132	2013-03-14	50	720	1080
133	2012-08-04	62	1280	1080
134	2013-03-21	49	1920	720
135	2012-08-18	26	720	480
136	2013-10-08	42	1372	1647
137	2013-06-25	72	1280	720
138	2014-11-11	38	720	720
139	2013-09-07	53	1920	1080
140	2013-11-01	32	1920	720
141	2014-11-13	17	1440	1080
142	2014-02-25	37	720	1080
143	2014-06-21	18	1048	1114
144	2014-09-02	58	1440	480
145	2014-08-10	71	720	480
146	2013-01-21	4	1920	1080
147	2014-07-16	6	720	1080
148	2012-05-24	77	1440	480
149	2013-07-05	26	720	480
150	2014-02-04	3	1280	1080
151	2014-12-07	62	1280	1080
152	2014-06-08	60	720	576
153	2012-12-08	46	1280	480
154	2013-04-22	1	1440	480
155	2012-11-28	22	1280	576
156	2014-11-30	14	1440	1080
157	2013-06-25	83	1440	480
158	2014-07-27	43	1440	576
159	2014-08-18	76	1440	480
160	2014-04-07	14	1920	1080
161	2014-06-18	18	720	576
162	2012-07-08	46	1920	480
163	2013-06-02	45	1440	480
164	2013-06-18	24	1280	1080
165	2013-04-30	73	720	480
166	2014-06-10	36	1280	576
167	2014-09-22	62	1920	576
168	2013-06-26	11	1280	720
169	2013-03-02	12	720	1080
170	2014-08-04	73	720	720
171	2012-10-20	40	1440	576
172	2013-08-26	16	720	720
173	2014-10-13	68	720	1080
174	2014-05-06	16	1440	720
175	2012-08-08	15	1280	576
176	2014-11-02	63	720	576
177	2014-01-03	62	1920	480
178	2014-09-28	17	1280	1080
179	2014-03-28	80	720	720
180	2014-12-09	3	720	1080
181	2012-10-20	55	720	720
182	2014-09-24	17	720	576
183	2013-04-12	15	720	576
184	2014-11-08	52	720	1080
185	2014-05-07	16	720	720
186	2013-10-09	22	720	480
187	2012-07-04	63	1440	576
188	2013-05-31	41	1280	1080
189	2014-10-18	84	1920	576
190	2013-04-28	13	1920	1080
191	2013-03-12	73	1280	480
192	2014-09-27	24	720	1080
193	2014-10-30	16	720	1080
194	2013-01-01	63	720	1080
195	2012-05-23	6	1755	1586
196	2012-06-03	57	720	1080
197	2012-12-05	2	720	576
198	2013-07-16	73	720	480
199	2014-02-16	65	720	1080
200	2012-12-29	49	720	576
201	2014-10-25	80	1920	576
202	2014-01-20	64	1280	1080
203	2014-01-24	60	720	720
204	2014-01-20	66	1920	720
205	2014-09-06	62	1440	576
206	2013-10-17	41	1440	1080
207	2012-08-13	36	720	720
208	2014-05-27	45	1128	1461
209	2012-12-05	11	720	480
210	2012-06-29	8	1280	720
211	2012-07-12	71	720	576
212	2014-08-03	32	1280	720
213	2013-06-01	8	720	1080
214	2014-04-10	43	720	480
215	2013-06-17	58	720	1080
216	2012-07-16	73	1956	1352
217	2013-06-30	47	1440	576
218	2012-05-20	67	1440	720
219	2014-01-01	27	720	1080
220	2012-05-19	70	1440	480
221	2012-09-05	31	1920	1080
222	2013-12-07	4	720	576
223	2012-11-17	18	720	1080
224	2014-07-16	79	1440	480
225	2012-08-21	64	720	1080
226	2013-04-19	81	1280	720
227	2013-10-01	81	1280	576
228	2013-07-18	6	720	1080
229	2014-08-16	32	1920	720
230	2012-11-27	9	1280	576
231	2014-09-04	80	1000	1913
232	2014-08-02	30	1440	1080
233	2013-06-30	1	720	1080
234	2015-01-25	18	720	480
235	2014-12-31	5	720	720
236	2013-11-20	76	1440	1080
237	2014-04-30	49	1920	1080
238	2014-04-01	46	720	480
239	2013-07-07	74	720	480
240	2014-02-03	53	1440	576
241	2012-08-12	62	1440	720
242	2014-03-17	38	720	720
243	2013-08-14	47	720	1080
244	2014-02-19	72	1440	480
245	2012-11-18	38	1920	576
246	2013-09-03	26	720	720
247	2014-11-14	38	1440	480
248	2014-04-29	55	720	576
249	2014-10-25	47	1440	1080
250	2014-03-04	23	720	720
251	2013-10-17	70	1440	720
252	2013-11-19	77	1440	1080
253	2013-09-17	4	1114	1986
254	2014-08-13	3	720	1080
255	2013-08-01	54	1565	1454
256	2013-11-21	60	1754	1931
257	2012-06-09	33	1280	1080
258	2013-05-06	4	1440	720
259	2012-11-28	59	720	720
260	2013-05-22	34	720	720
261	2014-05-23	84	1920	576
262	2014-06-11	80	720	1080
263	2014-11-22	49	720	1080
264	2014-04-02	36	1484	1203
265	2014-08-21	80	1280	720
266	2013-03-31	78	1440	1080
267	2013-07-30	26	720	480
268	2014-10-23	3	720	576
269	2014-03-08	67	1440	720
270	2014-12-14	56	1280	1080
271	2012-09-14	12	1829	1855
272	2013-04-30	40	720	720
273	2014-07-29	52	1280	1080
274	2012-06-12	53	1280	1080
275	2012-09-19	42	1280	576
276	2013-02-21	45	720	1080
277	2013-08-19	36	720	1080
278	2012-06-16	28	1467	1457
279	2013-03-17	67	1920	576
280	2013-10-31	60	720	1080
281	2013-06-16	60	1440	480
282	2013-09-02	45	1440	720
283	2014-02-20	63	1920	1080
284	2012-07-07	38	1440	1080
285	2014-01-28	76	1280	720
286	2013-08-16	37	1920	1080
287	2013-09-18	81	1920	576
288	2012-10-14	50	720	576
289	2013-07-20	40	720	576
290	2013-12-08	58	1440	1080
291	2012-06-28	15	720	1080
292	2012-09-27	77	720	576
293	2013-02-18	46	720	576
294	2013-07-10	69	1920	480
295	2014-08-23	3	1280	576
296	2012-12-31	5	1920	576
297	2013-01-10	46	720	576
298	2013-10-01	10	1280	1080
299	2014-04-23	3	1920	1080
300	2012-12-06	79	1920	1080
301	2014-06-27	25	720	1080
302	2012-11-08	35	1280	480
303	2014-08-18	76	1280	720
304	2012-07-27	35	720	1080
305	2013-02-06	3	720	1080
306	2012-07-03	80	1280	576
307	2012-10-25	40	1440	480
308	2012-08-15	8	1263	1380
309	2013-04-03	30	1440	720
310	2014-08-03	74	1475	1675
311	2013-07-05	61	720	1080
312	2014-10-05	43	1920	1080
313	2014-06-01	37	1280	1080
314	2013-06-15	45	1920	1080
315	2014-08-09	24	1920	1080
316	2012-09-10	55	1440	480
317	2012-08-23	51	1920	480
318	2014-08-22	82	720	576
319	2014-07-28	78	1440	576
320	2014-11-18	73	1920	576
321	2014-06-06	17	720	480
322	2014-03-14	25	1280	720
323	2013-04-15	64	1280	480
324	2014-10-02	28	1280	1080
325	2012-10-25	44	720	1080
326	2013-03-03	59	720	1080
327	2013-03-05	78	1828	1530
328	2013-03-03	83	1920	480
329	2013-01-26	66	720	720
330	2015-01-10	16	1280	1080
331	2013-09-30	34	1280	1080
332	2013-11-20	57	1280	1080
333	2014-07-03	27	1920	1080
334	2014-04-04	7	1440	576
335	2013-12-06	39	720	480
336	2013-02-24	76	720	480
337	2013-10-02	36	720	480
338	2014-01-10	29	720	480
339	2013-10-05	31	720	576
340	2013-02-09	46	1440	1080
341	2014-09-23	45	1440	720
342	2014-09-12	55	720	720
343	2012-08-11	56	720	576
344	2014-07-02	67	1440	480
345	2014-07-21	34	1920	576
346	2014-12-15	37	1440	1080
347	2012-09-30	40	1440	720
348	2013-02-17	27	720	1080
349	2014-06-20	27	1280	1080
350	2014-10-20	82	720	1080
351	2014-07-14	74	720	1080
352	2012-12-11	10	1920	576
353	2012-06-20	28	720	1080
354	2013-04-13	21	720	480
355	2012-10-02	66	1920	720
356	2012-10-11	1	1440	480
357	2013-12-21	28	1440	1080
358	2012-06-21	29	720	720
359	2013-02-05	35	720	1080
360	2014-03-27	26	1440	1080
361	2014-04-12	8	1440	576
362	2013-09-24	83	720	1080
363	2014-02-04	42	720	1080
364	2013-03-24	62	720	720
365	2013-04-24	52	1440	576
366	2014-04-18	12	1920	480
367	2014-08-29	22	1924	1448
368	2012-12-03	59	1280	480
369	2014-05-04	30	720	576
370	2015-01-03	43	1440	1080
371	2014-12-24	66	1440	576
372	2014-04-15	77	720	720
373	2012-08-30	1	720	576
374	2013-01-05	40	1920	1080
375	2013-05-12	62	1280	720
376	2012-12-23	18	1440	720
377	2013-10-22	6	1084	1509
378	2012-09-29	49	720	1080
379	2014-11-08	5	1440	720
380	2012-12-19	6	1280	576
381	2014-06-13	77	720	720
382	2014-01-12	29	1280	720
383	2012-11-30	19	1920	480
384	2014-09-19	11	1280	1080
385	2013-04-29	21	1440	1080
386	2014-06-17	63	720	480
387	2014-11-03	7	720	1080
388	2012-07-10	41	720	576
389	2014-11-10	7	1920	1080
390	2012-07-22	71	720	576
391	2014-01-09	8	720	1080
392	2014-03-22	33	1353	1623
393	2013-12-30	21	1280	1080
394	2012-05-16	52	1920	480
395	2014-04-25	53	1440	1080
396	2013-05-30	12	1280	480
397	2014-06-12	54	1280	576
398	2014-09-10	53	720	576
399	2013-12-21	22	1440	720
400	2013-12-27	22	1920	720
401	2013-02-07	50	1920	480
402	2013-04-26	29	1440	480
403	2013-09-04	21	1920	720
404	2013-08-09	2	720	1080
405	2012-06-24	68	1280	480
406	2013-02-10	17	720	720
407	2014-09-07	78	1280	480
408	2013-05-26	45	1920	576
409	2014-07-20	18	720	576
410	2013-09-16	11	720	576
411	2013-07-02	24	720	576
412	2012-06-02	30	720	1080
413	2013-10-16	44	1280	480
414	2013-08-13	58	1920	1080
415	2012-07-01	6	1248	1531
416	2013-03-28	44	1440	1080
417	2014-04-03	30	720	720
418	2014-08-25	8	1280	1080
419	2014-11-19	18	1920	576
420	2012-10-09	48	1280	1080
421	2014-02-02	5	720	720
422	2015-01-31	84	1280	576
423	2014-05-03	62	1920	576
424	2012-07-30	16	1440	720
425	2014-03-01	39	720	576
426	2013-08-06	25	1440	1080
427	2013-11-27	52	720	576
428	2013-10-24	7	1280	480
429	2013-01-21	49	1440	1080
430	2014-05-07	42	720	1080
431	2012-08-13	30	720	720
432	2014-05-04	48	1280	576
433	2012-12-17	28	1222	1509
434	2012-09-23	49	1280	1080
435	2012-11-08	5	1920	480
436	2014-03-10	48	720	1080
437	2012-12-04	81	1280	1080
438	2012-08-03	48	1440	576
439	2015-01-08	8	720	480
440	2013-12-23	38	1280	480
441	2013-09-08	83	1280	480
442	2013-08-18	82	720	480
443	2013-02-18	71	1280	480
444	2012-06-04	35	720	720
445	2014-05-12	46	1920	576
446	2012-06-25	50	1280	576
447	2012-07-18	50	720	720
448	2013-07-29	57	1440	1080
449	2014-08-23	59	720	1080
450	2013-12-02	60	1280	720
451	2014-01-02	4	1179	1174
452	2013-11-07	47	1280	1080
453	2013-05-22	80	720	720
454	2012-11-01	37	1280	1080
455	2013-08-15	69	720	1080
456	2014-06-06	23	1920	576
457	2012-06-12	6	720	1080
458	2014-02-25	3	1487	1525
459	2014-03-14	67	1495	1991
460	2013-07-18	12	720	720
461	2013-10-16	83	1280	480
462	2014-12-10	16	720	576
463	2013-05-28	13	720	720
464	2014-05-25	55	720	720
465	2012-06-06	64	1920	576
466	2014-07-26	82	1440	576
467	2014-06-30	57	1964	1326
468	2014-08-01	25	1655	1630
469	2013-09-04	53	720	480
470	2014-03-22	31	1440	576
471	2014-06-01	45	1440	720
472	2012-12-21	54	720	1080
473	2014-02-08	12	720	1080
474	2014-10-03	1	720	720
475	2014-12-13	54	720	1080
476	2013-10-02	24	1440	1080
477	2012-12-15	23	1280	576
478	2014-07-12	52	1280	480
479	2014-12-29	23	720	480
480	2012-12-09	31	1280	480
481	2014-04-29	36	720	480
482	2013-12-21	21	720	720
483	2012-09-01	23	1440	480
484	2014-02-05	58	1440	1080
485	2012-10-04	3	720	720
486	2014-07-20	66	1440	576
487	2014-05-20	12	1920	480
488	2012-09-24	4	1440	720
489	2014-07-26	50	1440	1080
490	2014-01-10	73	1280	480
491	2012-12-29	2	1211	1619
492	2013-08-02	14	1920	576
493	2013-08-26	34	720	576
494	2013-06-14	36	720	1080
495	2014-12-24	5	1440	576
496	2014-12-22	7	720	1080
497	2014-01-10	54	1280	720
498	2014-01-04	44	1440	1080
499	2012-06-29	60	1813	1644
500	2012-10-07	45	1053	1853
501	2013-10-17	39	1440	576
502	2012-05-29	61	1920	480
503	2013-05-22	5	1920	576
504	2012-10-30	44	1280	1080
505	2013-06-05	42	1845	1413
506	2014-09-18	13	1280	1080
507	2012-05-14	70	720	480
508	2013-04-02	49	1920	720
509	2012-12-21	71	720	1080
510	2013-02-13	58	1920	480
511	2013-11-30	53	1440	1080
512	2012-09-11	15	1787	1624
513	2014-04-23	34	720	720
514	2014-09-19	20	1440	1080
515	2015-01-12	31	720	480
516	2013-06-24	74	720	1080
517	2014-07-14	49	720	576
518	2012-11-16	59	1440	576
519	2014-10-06	44	720	576
520	2013-03-13	81	720	480
521	2012-10-14	64	720	576
522	2014-04-14	65	1280	480
523	2012-10-27	14	1440	1080
524	2014-02-20	41	720	576
525	2014-09-05	66	1280	1080
526	2014-08-05	52	720	1080
527	2013-06-10	20	1706	1697
528	2012-05-27	67	1920	1080
529	2013-07-05	12	1440	1080
530	2012-10-29	44	720	576
531	2012-07-27	43	1280	720
532	2014-03-09	38	720	576
533	2012-09-07	22	1280	720
534	2013-08-04	59	720	480
535	2013-11-02	23	1801	1425
536	2013-11-11	73	1456	1965
537	2014-06-27	59	720	1080
538	2014-06-20	78	1280	576
539	2013-10-19	71	1250	1262
540	2013-09-22	19	1440	480
541	2014-08-29	65	1440	720
542	2013-12-13	38	720	576
543	2013-01-30	10	1111	1367
544	2014-08-27	31	720	1080
545	2014-08-24	65	720	720
546	2014-06-28	59	1920	1080
547	2013-02-04	68	1280	720
548	2014-10-28	5	720	1080
549	2012-05-30	76	720	1080
550	2012-08-31	44	1920	576
551	2013-10-11	78	1280	576
552	2012-07-20	44	720	576
553	2014-02-05	44	1280	1080
554	2014-11-28	23	720	1080
555	2012-11-03	57	720	1080
556	2013-10-09	37	720	1080
557	2012-09-14	46	720	1080
558	2013-09-15	10	1280	576
559	2012-10-17	23	1280	480
560	2013-07-17	14	1695	1548
561	2013-10-27	25	1280	480
562	2012-07-27	77	720	480
563	2014-04-21	29	1920	480
564	2015-01-17	61	1440	720
565	2014-04-07	19	1896	1926
566	2015-01-17	4	1440	576
567	2012-06-15	7	720	1080
568	2014-02-18	41	720	720
569	2013-01-04	78	720	720
570	2014-04-29	41	1920	480
571	2013-01-24	19	1280	480
572	2014-09-07	83	1440	480
573	2012-09-23	68	1440	1080
574	2013-04-17	73	720	1080
575	2013-04-22	16	1349	1034
576	2014-09-17	79	1920	480
577	2013-03-23	11	1920	480
578	2014-11-24	36	720	720
579	2012-09-20	12	1280	720
580	2014-08-30	24	1280	576
581	2012-08-10	53	1280	576
582	2014-02-21	72	720	1080
583	2013-07-30	40	720	480
584	2013-07-18	56	1440	576
585	2013-10-02	7	1440	720
586	2012-06-07	5	1541	1405
587	2013-08-18	37	1638	1395
588	2014-06-08	20	720	720
589	2013-06-24	57	1280	480
590	2014-01-19	83	1803	1899
591	2012-11-27	20	720	720
592	2014-11-13	28	1440	1080
593	2014-03-01	84	720	480
594	2013-12-06	59	720	576
595	2014-04-22	27	1498	1684
596	2013-11-25	10	720	720
597	2014-12-15	67	720	1080
598	2013-10-13	6	720	480
599	2013-08-02	70	1920	1080
600	2013-04-27	70	1920	1080
