Znajomy_1	Znajomy_2	Data
53	43	2015-01-14
66	27	2014-01-09
12	51	2015-01-01
11	44	2014-11-09
17	16	2013-11-06
38	53	2013-09-26
28	27	2013-10-23
17	3	2014-04-24
27	79	2015-01-31
28	84	2012-10-23
16	50	2013-04-05
39	43	2014-04-08
63	23	2013-12-14
51	53	2013-09-05
30	20	2013-02-15
57	41	2013-04-23
17	42	2014-10-27
25	52	2013-06-09
12	46	2015-01-09
1	69	2014-06-30
31	28	2012-07-19
18	35	2012-08-26
67	40	2013-12-16
64	15	2014-09-18
69	33	2012-11-23
57	16	2014-02-06
9	65	2013-01-08
74	65	2012-08-15
65	72	2014-12-01
67	54	2013-05-15
24	38	2012-06-29
6	13	2013-07-15
13	18	2014-03-27
7	20	2013-08-28
62	36	2014-07-13
25	62	2014-08-26
35	45	2012-11-26
38	21	2012-09-12
24	15	2013-07-10
54	69	2014-03-14
69	47	2014-03-13
12	50	2014-07-28
40	14	2013-03-10
78	36	2012-06-27
51	30	2012-10-01
59	74	2014-06-11
46	78	2014-07-15
83	65	2014-07-23
81	71	2014-03-20
7	3	2014-07-19
78	63	2014-08-30
18	26	2012-05-07
37	68	2013-01-08
21	75	2014-07-01
9	6	2014-06-17
78	7	2013-12-30
1	26	2013-07-09
12	55	2014-03-03
50	13	2015-01-08
33	43	2014-01-27
60	40	2014-07-07
69	66	2015-01-06
28	53	2013-12-25
27	58	2013-05-18
83	12	2012-05-19
54	2	2013-06-20
53	14	2013-08-23
62	50	2012-11-26
73	31	2012-11-11
12	29	2014-03-30
29	28	2013-08-02
20	59	2014-04-10
26	41	2014-04-18
31	42	2013-01-27
13	70	2013-05-25
51	13	2013-08-10
64	70	2013-02-24
49	47	2012-07-09
49	54	2013-10-01
9	30	2013-08-18
28	32	2014-11-09
73	30	2012-06-07
58	51	2014-11-30
54	72	2014-06-04
56	12	2012-12-18
32	48	2013-05-25
40	3	2013-06-06
1	47	2014-09-10
58	82	2012-08-20
57	29	2013-07-24
44	77	2014-03-05
58	67	2014-12-24
5	16	2015-01-18
65	38	2012-10-03
2	80	2012-08-27
72	36	2014-03-11
30	50	2012-09-29
13	53	2012-07-13
19	84	2013-12-17
59	22	2013-09-25
13	22	2013-12-02
7	17	2013-07-19
48	10	2015-01-09
83	18	2013-05-16
50	3	2014-04-20
3	45	2014-09-22
58	47	2013-05-11
63	70	2015-01-22
61	55	2012-10-04
2	45	2012-10-06
15	45	2013-06-17
33	15	2013-12-17
35	37	2014-08-12
73	79	2014-11-24
9	68	2014-06-26
4	17	2013-10-17
42	62	2013-03-30
53	80	2014-01-19
3	80	2014-11-03
79	17	2013-04-04
33	36	2013-08-12
41	40	2014-02-18
40	30	2013-03-29
38	68	2013-09-04
22	36	2012-07-25
82	34	2012-06-13
3	42	2014-06-07
3	65	2013-04-05
9	61	2014-11-25
46	62	2014-02-20
23	55	2015-01-31
28	67	2013-05-06
31	77	2014-07-15
37	61	2014-11-21
13	35	2013-02-11
50	61	2014-01-26
22	67	2014-06-04
45	40	2014-09-26
26	50	2014-09-24
78	33	2014-09-13
27	75	2013-02-24
13	69	2014-05-08
84	14	2012-10-26
14	20	2014-12-03
37	58	2014-01-24
1	74	2013-08-17
22	2	2013-07-08
65	48	2013-12-30
57	25	2014-06-09
24	42	2014-10-04
53	20	2012-08-03
69	14	2012-07-29
16	40	2014-05-14
44	3	2013-12-08
39	19	2014-01-07
81	35	2012-11-29
62	31	2015-01-17
46	17	2013-01-17
30	29	2013-03-03
68	78	2013-01-26
36	41	2013-07-20
30	5	2014-09-04
70	22	2013-09-27
46	83	2012-06-13
83	66	2013-02-11
64	59	2014-12-28
56	63	2012-07-23
29	82	2014-09-19
11	62	2013-03-04
70	24	2012-07-18
37	24	2013-10-23
83	74	2012-08-28
60	19	2013-10-02
70	35	2013-03-30
13	40	2012-12-05
50	4	2014-03-23
41	6	2013-01-31
34	13	2012-10-21
82	8	2013-02-17
44	80	2014-04-06
17	47	2014-06-18
41	22	2012-12-26
27	23	2012-05-17
41	3	2014-12-25
23	4	2012-11-16
69	45	2013-10-10
49	16	2014-01-06
66	14	2012-11-16
65	66	2012-05-10
9	83	2012-12-26
59	15	2013-06-21
32	63	2013-10-06
10	62	2012-08-19
56	43	2012-08-21
73	1	2013-10-27
20	74	2014-01-03
83	52	2014-06-12
51	65	2013-08-07
32	65	2014-12-01
3	74	2013-05-27
54	46	2012-08-17
1	36	2014-07-20
80	69	2013-10-31
65	54	2012-09-16
81	4	2012-10-21
13	76	2012-07-05
48	28	2014-11-26
45	26	2013-01-20
36	39	2014-11-02
62	14	2013-07-09
63	30	2014-08-03
19	55	2012-07-01
58	59	2013-10-12
79	21	2012-05-18
83	20	2013-12-08
21	78	2013-10-27
18	47	2013-03-07
19	51	2014-03-30
64	81	2015-01-22
6	26	2014-03-27
22	8	2014-08-24
2	42	2014-05-13
77	11	2013-03-29
7	38	2014-07-26
75	18	2012-05-15
34	39	2015-01-12
22	62	2013-11-29
24	18	2012-07-07
51	23	2012-11-20
40	27	2014-09-07
76	69	2013-08-20
73	24	2013-08-12
42	60	2013-05-26
61	76	2013-02-01
59	38	2014-01-25
13	3	2012-11-04
84	64	2013-04-30
81	37	2014-10-13
47	29	2012-12-02
17	1	2012-12-10
27	5	2012-12-29
64	26	2013-04-13
32	36	2014-10-06
31	55	2012-11-21
13	1	2014-06-18
53	27	2013-09-25
77	6	2012-08-07
8	47	2013-03-17
29	50	2013-07-01
49	56	2012-10-02
12	80	2014-08-27
50	60	2012-10-20
48	8	2013-11-02
46	69	2012-11-04
64	24	2013-06-15
70	73	2013-01-30
12	5	2014-10-17
78	72	2014-05-21
53	33	2014-12-21
29	70	2012-10-07
57	1	2013-02-23
27	18	2014-01-18
1	22	2013-02-08
81	44	2012-10-12
71	53	2012-10-23
3	6	2013-06-07
74	2	2013-02-16
5	37	2014-09-15
11	71	2014-11-08
22	75	2014-10-04
14	58	2014-05-15
6	44	2013-01-18
79	34	2014-04-11
7	65	2014-04-12
54	35	2013-01-03
5	52	2012-06-17
11	4	2012-10-21
5	51	2012-12-08
12	38	2013-12-28
14	3	2013-07-21
38	17	2015-01-10
61	75	2013-07-11
54	84	2014-04-04
54	7	2013-05-31
78	29	2014-01-28
65	56	2013-12-08
84	68	2012-07-13
27	42	2014-02-17
46	43	2014-06-29
43	61	2012-07-29
6	45	2014-09-19
24	55	2014-09-10
65	82	2013-07-18
44	14	2013-07-04
43	83	2014-05-20
83	33	2012-08-19
9	15	2015-01-30
49	67	2013-02-12
31	64	2012-09-07
4	60	2014-01-01
25	36	2013-12-18
62	81	2014-06-20
73	37	2013-03-22
61	12	2014-05-03
17	54	2013-07-13
73	59	2013-07-06
54	10	2013-12-11
34	18	2014-01-24
6	61	2014-02-16
29	66	2013-04-27
63	3	2013-11-21
21	69	2013-06-23
8	1	2013-02-22
80	26	2013-11-12
38	72	2014-02-28
2	31	2013-08-17
46	31	2015-01-25
35	27	2012-11-30
23	34	2014-03-07
69	39	2014-04-20
61	5	2012-06-16
49	62	2012-06-24
18	15	2012-07-15
69	17	2013-02-25
68	48	2013-05-18
35	49	2013-06-22
64	18	2014-06-03
33	74	2014-07-14
39	49	2014-07-30
28	73	2012-08-27
75	73	2012-10-14
38	3	2013-05-19
50	47	2014-08-07
3	57	2014-06-09
64	35	2012-10-21
68	79	2014-10-14
57	49	2013-01-26
2	20	2013-08-31
5	9	2015-01-01
