data	nazwa	ISIN	kurs_zamkniecia	wolumen	obrot	pakiet_wig				
2015-01-21	EKANCELAR	PLEKGPF00011	0,28	19097	5390	0				
2015-01-21	EKOEXPORT	PLEKEP000019	26,86	98677	2336380	7837000				
2015-01-21	ELBUDOWA	PLELTBD00017	81	2556	207120	4747000				
2015-01-21	ELEKTROTI	PLELEKT00016	10,71	235	2520	7051000				
2015-01-21	ELEMENTAL	PLELMTL00017	3,36	18650	62940	110913000				
2015-01-21	ELKOP	PLELKOP00013	1,45	9699	13810	3333000				
2015-01-21	ELZAB	PLELZAB00010	15,2	11828	179160	2716000				
2015-01-21	EMCINSMED	PLEMCIM00017	13,18	947	12840	3579000				
2015-01-21	EMPERIA	PLELDRD00017	49,63	2708	135400	13044000				
2015-01-21	ENAP	PLENAP000010	1,03	1945	1960	11545000				
2015-01-21	ENEA	PLENEA000013	16,43	296942	4802730	214078000				
2015-01-21	ENELMED	PLENLMD00017	11,55	1477	17000	7353000				
2015-01-21	ENERGA	PLENERG00022	22,19	505916	11116730	200740000				
2015-01-21	ENERGOINS	PLERGIN00015	10,8	76	830	5047000				
2015-01-21	ERBUD	PLERBUD00012	25,2	1454	36220	4986000				
2015-01-21	ERG	PLERGZB00014	16,57	1999	33370	530000				
2015-01-21	ERGIS	PLEUFLM00017	4,12	16757	68920	24228000				
2015-01-21	ESSYSTEM	PLESSYS00030	2,36	786	1830	13646000				
2015-01-21	ESTAR	HU0000089198	1,69	0	0	0				
2015-01-21	EUCO	PLERPCO00017	25,71	1807	46440	2121000				
2015-01-21	EUIMPLANT	PLERPLT00017	0,01	0	0	0				
2015-01-21	EUROCASH	PLEURCH00011	35,35	232991	8200880	77963000				
2015-01-21	EUROHOLD	BG1100114062	2,17	0	0	453000				
2015-01-21	EUROTEL	PLERTEL00011	13,54	5208	70960	1423000				
2015-01-21	EXILLON	IM00B58FMW76	7,14	0	0	14000				
2015-01-21	FAM	PLFAM0000012	0,43	0	0	0				
2015-01-21	FAMUR	PLFAMUR00012	3,26	2714	8840	138273000				
2015-01-21	FARMACOL	PLFRMCL00066	51	1714	86040	11601000				
2015-01-21	FASING	PLFSING00010	18,49	1579	28690	1239000				
2015-01-21	FASTFIN	PLFSTFC00012	1,47	0	0	0				
2015-01-21	FEERUM	PLFEERM00018	16,25	110	1820	3144000				
2015-01-21	FENGHUA	DE000A13SX89	26	1	30	3305000				
2015-01-21	FERRO	PLFERRO00016	8,81	26757	235580	17846000				
2015-01-21	FERRUM	PLFERUM00014	4,64	41	180	4501000				
2015-01-21	FON	PLCASPL00019	0,92	7024	6480	11150000				
2015-01-21	FORTE	PLFORTE00012	50	3230	160430	16737000				
2015-01-21	FORTUNA	NL0009604859	18,73	178	3330	17024000				
2015-01-21	FOTA	PLFOTA000014	0,86	80752	69900	0				
2015-01-21	GANT	PLGANT000014	0,33	10110	3340	0				
2015-01-21	GETIN	PLGSPR000014	1,98	79169	156980	293645000				
2015-01-21	GETINOBLE	PLGETBK00012	1,77	3861519	6824130	1095354000				
2015-01-21	GINOROSSI	PLGNRSI00015	3,4	318015	1091190	43628000				
2015-01-21	GLCOSMED	PLGLBLC00011	6,89	2478	16950	6721000				
2015-01-21	GLOBCITYHD	NL0000687309	41,95	374	15690	20769000				
2015-01-21	GORENJE	SI0031104076	24,3	1	20	1991000				
2015-01-21	GPW	PLGPW0000017	43,4	8995	390700	27164000				
2015-01-21	GRAAL	PLGRAAL00022	17,05	80257	1368700	3502000				
2015-01-21	GRAJEWO	PLZPW0000017	30,5	65	1990	17315000				
2015-01-21	GREMMEDIA	PLERFKT00010	1,51	0	0	0				
2015-01-21	GROCLIN	PLINTGR00013	9,8	31212	306500	3233000				
2015-01-21	GRUPAAZOTY	PLZATRM00012	71,99	22673	1607120	40919000				
2015-01-21	GTC	PLGTC0000037	4,8	271444	1314780	245350000				
2015-01-21	HANDLOWY	PLBH00000012	103,5	83808	8680820	30584000				
2015-01-21	HARPER	PLHRPHG00023	3,3	678	2240	25500000				
2015-01-21	HAWE	PLVENTS00019	1,83	704651	1242180	70928000				
2015-01-21	HELIO	PLHELIO00014	4,87	22	110	1143000				
2015-01-21	HERKULES	PLZRWZW00012	3,15	398899	1248650	36119000				
2015-01-21	HUTMEN	PLHUTMN00017	5,01	6119	31310	4199000				
2015-01-21	HYDROTOR	PLHDRTR00013	31,24	3004	93130	1839000				
2015-01-21	HYPERION	PLHPRON00017	3	19017	55740	7831000				
2015-01-21	IDEON	PLCNTZP00010	0,02	0	0	0				
2015-01-21	IDMSA	PLIDMSA00044	0,1	311505	31280	0				
2015-01-21	IFCAPITAL	PLHRMAN00039	1,09	2252	2400	4084000				
2015-01-21	IFSA	PLBDVR000018	0,99	93994	92500	5438000				
2015-01-21	IIAAV	AT0000809058	9,01	0	0	15129000				
2015-01-21	IMCOMPANY	LU0607203980	5,9	1040	6130	9809000				
2015-01-21	IMMOBILE	PLMAKRM00019	2,1	26	50	11568000				
2015-01-21	IMPEL	PLIMPEL00011	29,9	7	210	4187000				
2015-01-21	IMPERA	PLNFI0700018	1,56	6	10	3715000				
2015-01-21	IMPEXMET	PLIMPXM00019	2,63	20351	53450	93737000				
2015-01-21	IMS	PLINTMS00019	2,24	6475	14500	7444000				
2015-01-21	INC	PLINCLT00015	1,73	5847	10000	5435000				
2015-01-21	INDYGO	PLLSTIA00018	0,76	68752	52950	23452000				
2015-01-21	INDYKPOL	PLINDKP00013	56,85	750	42630	1165000				
2015-01-21	INGBSK	PLBSK0000017	137,9	101554	14003930	30454000				
2015-01-21	INPRO	PLINPRO00015	3,5	76	270	12110000				
2015-01-21	INSTALKRK	PLINSTK00013	16,14	510	8230	6189000				
2015-01-21	INTAKUS	PLINTKS00013	12,97	55	700	0				
2015-01-21	INTEGERPL	PLINTEG00011	159,95	10724	1699750	5028000				
2015-01-21	INTERAOLT	LT0000128621	18,44	728	13450	4000000				
2015-01-21	INTERBUD	PLINTBD00014	0,92	0	0	0				
2015-01-21	INTERCARS	PLINTCS00010	204	6595	1344550	8393000				
2015-01-21	INTERFERI	PLINTFR00023	4	0	0	2639000				
2015-01-21	INTERSPPL	PLINTSP00038	1,06	15193	15860	0				
2015-01-21	INTROL	PLINTRL00013	9,05	455	4120	5944000				
2015-01-21	INVENTUM	PLIDATF00012	0,08	3550	280	0				
2015-01-21	INVISTA	PLECMNG00019	2,2	100	220	0				
2015-01-21	IPOPEMA	PLIPOPM00011	4,07	11117	44830	18968000				
2015-01-21	IQP	PLIQPRT00017	0,83	14	10	8070000				
2015-01-21	IVMX	PLMATRX00017	3,34	404	1290	3600000				
2015-01-21	IZOLACJA	PLIZCJR00017	1,62	504	820	0				
2015-01-21	IZOSTAL	PLIZSTL00015	5	1	5	11334000				
2015-01-21	JHMDEV	PLJHMDL00018	1,93	10718	20230	0				
2015-01-21	JJAUTO	DE000A1TNS70	22	40	880	0				
2015-01-21	JSW	PLJSW0000015	20,89	347328	7153770	52636000				
2015-01-21	JUPITER	PLNFI0300017	0,29	2216	640	0				
2015-01-21	JWCONSTR	PLJWC0000019	2,6	23437	61320	32447000				
2015-01-21	K2INTERNT	PLK2ITR00010	9,65	1036	9900	1509000				
2015-01-21	KANIA	PLIZNS000022	2,87	47950	135790	26333000				
2015-01-21	KBDOM	PLTRAST00020	2,24	5	10	4047000				
2015-01-21	KCI	PLPONAR00012	0,02	0	0	0				
2015-01-21	KDMSHIPNG	CY0102492119	6,66	0	0	3329000				
2015-01-21	KERDOS	PLHGNKA00028	1,22	368872	444170	45144000				
2015-01-21	KERNEL	LU0327357389	33,4	97681	3223540	48500000				
2015-01-21	KETY	PLKETY000011	271	5543	1501260	9380000				
2015-01-21	KGHM	PLKGHM000017	107,5	956444	101259470	136410000				
2015-01-21	KINOPOL	PLKNOPL00014	12,64	46733	574930	6739000				
2015-01-21	KOFOLA	PLHOOP000010	39,24	37	1350	13085000				
2015-01-21	KOGENERA	PLKGNRC00015	51,75	63	3260	7449000				
2015-01-21	KOMPAP	PLKOMPP00017	7,38	5	40	0				
2015-01-21	KOMPUTRON	PLKMPTR00012	7,6	8098	61590	4222000				
2015-01-21	KONSSTALI	PLKCSTL00010	20,98	131265	2690930	3459000				
2015-01-21	KOPEX	PLKOPEX00018	10,73	16767	179990	23006000				
2015-01-21	KPPD	PLKPPD000017	29,25	240	7020	184000				
2015-01-21	KRAKCHEM	PLKRKCH00019	3,84	390	1500	4815000				
2015-01-21	KREC	PLKRNRC00012	9,38	1766	16480	6713000				
2015-01-21	KREDYTIN	PLKRINK00014	19,14	443	8330	10769000				
2015-01-21	KREZUS	PLNFI0200019	3,33	15993	52860	11880000				
2015-01-21	KRKA	SI0031102120	260	0	0	1231000				
2015-01-21	KRUK	PLKRK0000010	115	8413	969190	14953000				
2015-01-21	KRUSZWICA	PLKRUSZ00016	52	1186	61860	2418000				
2015-01-21	KSGAGRO	LU0611262873	1,1	39264	42250	5093000				
2015-01-21	LCCORP	PLLCCRP00017	1,77	59884	105420	218198000				
2015-01-21	LENA	PLLENAL00015	4,22	21572	91010	10150000				
2015-01-21	LENTEX	PLLENTX00010	8,31	2966	24650	30148000				
2015-01-21	LIBET	PLLBT0000013	2,45	40672	98030	34971000				
2015-01-21	LIVECHAT	PLLVTSF00010	27,4	6092	164600	5128000				
2015-01-21	LOTOS	PLLOTOS00025	24,38	246690	5975090	60796000				
2015-01-21	LPP	PLLPP0000011	7539	2159	16161920	1279000				
2015-01-21	LSISOFT	PLLSSFT00016	4,1	6185	24870	1827000				
2015-01-21	LUBAWA	PLLUBAW00013	1,07	179615	194270	72970000				
2015-01-21	MABION	PLMBION00016	41,22	1558	64880	5975000				
2015-01-21	MAGELLAN	PLMGLAN00018	66,05	5155	340320	6611000				
2015-01-21	MAKARONPL	PLMKRNP00015	5,84	11	60	3832000				
2015-01-21	MARVIPOL	PLMRVPL00016	7,5	4397	33160	11888000				
2015-01-21	MBANK	PLBRE0000012	452,1	39445	17512530	12038000				
2015-01-21	MCI	PLMCIMG00012	10,26	69138	701790	30174000				
2015-01-21	MCLOGIC	PLMCSFT00018	35,2	103	3630	689000				
2015-01-21	MEDIATEL	PLSMMDA00012	0,5	3174	1590	0				
2015-01-21	MEDICALG	PLMDCLG00015	201,7	827	165650	2559000				
2015-01-21	MEGARON	PLMGRON00016	21	0	0	0				
2015-01-21	MENNICA	PLMNNCP00011	13,25	609	8100	23198000				
2015-01-21	MERCATOR	PLMRCTR00015	13,69	304	4120	2276000				
2015-01-21	MERCOR	PLMRCOR00016	8,5	7558	63090	9921000				
2015-01-21	MEWA	PLMEWA000012	0,07	1000	70	0				
2015-01-21	MEXPOLSKA	PLMEXPL00010	2,09	22656	45360	2516000				
2015-01-21	MFO	PLMFO0000013	10,52	0	0	2000000				
2015-01-21	MIDAS	PLNFI0900014	0,56	514069	286230	503124000				
2015-01-21	MILKILAND	NL0009508712	1,54	4015	6320	8276000				
2015-01-21	MILLENNIUM	PLBIG0000016	7,09	721057	5046670	391726000				
2015-01-21	MIRACULUM	PLKLSTN00017	1,5	9343	13970	3254000				
2015-01-21	MIRBUD	PLMRBUD00015	1,34	68803	91760	50027000				
2015-01-21	MIT	PLPPWK000014	0,16	332230	53160	0				
2015-01-21	MLPGROUP	PLMLPGR00017	33,8	146	4930	3773000				
2015-01-21	MNI	PLSZPTL00010	1,46	4440	6480	42888000				
2015-01-21	MOBRUK	PLMOBRK00013	10	0	0	356000				
2015-01-21	MOJ	PLMOJ0000015	1,46	0	0	4265000				
2015-01-21	MOL	HU0000068952	149,9	113	16940	3703000				
2015-01-21	MONNARI	PLMNRTR00012	12,5	233865	2899770	16905000				
2015-01-21	MOSTALPLC	PLMSTPL00018	10,5	137	1380	1026000				
2015-01-21	MOSTALWAR	PLMSTWS00019	6,13	8681	53100	9981000				
2015-01-21	MOSTALZAB	PLMSTZB00018	2,16	339582	730420	95095000				
2015-01-21	MSXRESOUR	PLMSTEX00017	1,64	13933	22920	9957000				
2015-01-21	MUZA	PLMUZA000019	3,05	723	2330	1453000				
2015-01-21	MWTRADE	PLMWTRD00013	17,5	3671	63550	2386000				
2015-01-21	NETIA	PLNETIA00014	5,59	7080	39600	257931000				
2015-01-21	NETMEDIA	PLNTMDA00018	4,92	882	4250	3499000				
2015-01-21	NEUCA	PLTRFRM00018	244,45	8582	2093130	1930000				
2015-01-21	NEWAG	PLNEWAG00012	23,7	11400	270440	25618000				
2015-01-21	NEWWORLDR	GB00B42CTW68	0,07	25961	1820	0				
2015-01-21	NFIEMF	PLNFI1500011	4,28	5696	25180	24936000				
2015-01-21	NOKAUT	PLGRNKT00019	1,2	165	200	4052000				
2015-01-21	NORTCOAST	PLNRTHC00014	3,87	20	80	1500000				
2015-01-21	NOVITA	PLNVITA00018	49,2	120	5890	297000				
2015-01-21	NOWAGALA	PLCRMNG00029	1,15	8538	9790	36087000				
2015-01-21	NTTSYSTEM	PLNTSYS00013	2,1	46	100	4803000				
2015-01-21	ODLEWNIE	PLODLPL00013	2,07	0	0	8487000				
2015-01-21	OLYMPIC	EE3100084021	7,05	0	0	247000				
2015-01-21	ONE2ONE	PLONE0000014	0,11	0	0	0				
2015-01-21	OPENFIN	PLOPNFN00010	2,8	42898	122320	24856000				
2015-01-21	OPONEO.PL	PLOPNPL00013	10	883	8770	6624000				
2015-01-21	OPTEAM	PLOPTEM00012	5,11	1535	7840	1399000				
2015-01-21	ORANGEPL	PLTLKPL00017	7,78	2730298	21095360	647357000				
2015-01-21	ORBIS	PLORBIS00014	41	50325	2076330	21800000				
2015-01-21	ORCOGROUP	LU0122624777	1,52	8500	12960	2352000				
2015-01-21	ORZBIALY	PLORZBL00013	6,15	668	4110	6568000				
2015-01-21	OTLOG	PLODRTS00017	226,5	60	13690	349000				
2015-01-21	OTMUCHOW	PLZPCOT00018	8,21	755	6220	6256000				
2015-01-21	OVOSTAR	NL0009805613	73,5	300	22050	1725000				
2015-01-21	PAGED	PLPAGED00017	47,5	686	32630	1688000				
2015-01-21	PAMAPOL	PLPMPOL00031	1,15	5970	6750	6642000				
2015-01-21	PANOVA	PLPANVA00013	15	695	10430	5551000				
2015-01-21	PATENTUS	PLPTNTS00019	1,15	5537	6400	5959000				
2015-01-21	PBG	PLPBG0000029	1,62	38265	61110	0				
2015-01-21	PBOANIOLA	PLPBONL00013	0,26	0	0	0				
2015-01-21	PBSFINANSE	PLBEFSN00010	3,8	324	1180	3736000				
2015-01-21	PCCEXOL	PLPCCEX00010	3,23	10	30	0				
2015-01-21	PCCINTER	PLPCCIM00014	1,54	30	50	18756000				
2015-01-21	PCCROKITA	PLPCCRK00076	37,44	49291	1823550	3144000				
2015-01-21	PCGUARD	PLGUARD00019	0,22	18496	4070	0				
2015-01-21	PCM	PLPRMCM00048	50,95	92	4680	4763000				
2015-01-21	PEGAS	LU0275164910	100	203	20300	826000				
2015-01-21	PEIXIN	NL0010577052	7,3	14343	108660	2500000				
2015-01-21	PEKAES	PLPEKAS00017	10,8	20821	224450	11288000				
2015-01-21	PEKAO	PLPEKAO00016	178	396390	70283160	122632000				
2015-01-21	PELION	PLMEDCS00015	87,39	68	5900	7304000				
2015-01-21	PEMUG	PLPEMUG00016	0,49	0	0	0				
2015-01-21	PEP	PLPLSEP00013	29,99	1	30	8365000				
2015-01-21	PEPEES	PLPEPES00018	0,49	25057	12010	49286000				
2015-01-21	PETROLINV	PLPTRLI00018	0,16	416157	66590	0				
2015-01-21	PGE	PLPGER000010	19,19	2011781	38539850	778079000				
2015-01-21	PGNIG	PLPGNIG00014	4,39	3242000	14177480	1628262000				
2015-01-21	PGODLEW	PLPGO0000014	5,2	1	10	31779000				
2015-01-21	PHN	PLPHN0000014	25,1	399	9940	13699000				
2015-01-21	PKNORLEN	PLPKN0000018	53	1100900	57857050	309998000				
2015-01-21	PKOBP	PLPKO0000016	33,17	4930790	160083160	783205000				
2015-01-21	PKPCARGO	PLPKPCR00011	88,4	51644	4539480	25336000				
2015-01-21	PLASTBOX	PLPSTBX00016	2,47	5085	12450	17382000				
2015-01-21	PLAZACNTR	NL0000686772	0,2	67220	13440	0				
2015-01-21	POINTGROUP	PLPEKPL00010	2,25	2200	4960	0				
2015-01-21	POLCOLORIT	PLPCLRT00029	0,7	62	40	0				
2015-01-21	POLICE	PLZCPLC00036	17,4	4454	78070	15164000				
2015-01-21	POLIMEXMS	PLMSTSD00019	0,09	3509132	315820	0				
2015-01-21	POLMED	PLPOLMD00011	2,11	3	10	0				
2015-01-21	POLNA	PLPOLNA00015	26,65	748	20220	794000				
2015-01-21	POLNORD	PLPOLND00019	6,25	24081	151740	25585000				
2015-01-21	POLWAX	PLPOLWX00026	16,08	483	7750	5930000				
2015-01-21	POZBUD	PLPZBDT00013	4,44	510	2230	21432000				
2015-01-21	PPG	PLPLPGR00010	1,34	590	790	0				
2015-01-21	PRAGMAFA	PLGFPRE00040	13	0	0	423000				
2015-01-21	PRAGMAINK	PLPRGNK00017	15,05	85	1280	1032000				
2015-01-21	PRESCO	PLPRESC00018	2,83	2845	8050	2631000				
2015-01-21	PRIMAMODA	PLPRMMD00012	1,13	8963	10180	0				
2015-01-21	PROCAD	PLPRCAD00018	1,04	4008	4010	0				
2015-01-21	PROCHEM	PLPRCHM00014	16,2	1132	18060	2716000				
2015-01-21	PROCHNIK	PLPRCHK00018	1,37	316487	453350	21115000				
2015-01-21	PROJPRZEM	PLPROJP00018	5,88	4915	28490	5439000				
2015-01-21	PROTEKTOR	PLLZPSK00019	2,94	7770	22700	14959000				
2015-01-21	PROVIDENT	GB00B1YKG049	23,75	85	2030	93000				
2015-01-21	PTI	PLPTIW000014	14,58	10189	147490	8907000				
2015-01-21	PULAWY	PLZAPUL00057	139	65	9070	3122000				
2015-01-21	PWRMEDIA	PLPWRMD00011	1,19	25	30	0				
2015-01-21	PZU	PLPZU0000011	485,5	125505	60438680	55967000				
2015-01-21	QUANTUM	PLQNTUM00018	4,2	0	0	0				
2015-01-21	QUERCUS	PLQRCUS00012	6,47	14994	96410	35376000				
2015-01-21	QUMAK	PLQMKSK00017	12,8	673	8620	10375000				
2015-01-21	RADPOL	PLRDPOL00010	8,03	28039	218920	19626000				
2015-01-21	RAFAKO	PLRAFAK00018	5,97	14489	85090	27134000				
2015-01-21	RAFAMET	PLRFMET00016	16,31	23	380	1469000				
2015-01-21	RAINBOW	PLRNBWT00031	18,35	9551	177690	6355000				
2015-01-21	RANKPROGR	PLRNKPR00014	2,18	24179	53260	19987000				
2015-01-21	RAWLPLUG	PLKLNR000017	6,41	4717	30250	12912000				
2015-01-21	REDAN	PLREDAN00019	1,98	18975	38040	13353000				
2015-01-21	REDWOOD	PLCMPLX00014	5,75	8	50	0				
2015-01-21	REGNON	PLPRNTC00017	0,04	13925	440	6100000				
2015-01-21	REINHOLD	SE0001856519	0,69	127	90	0				
2015-01-21	RELPOL	PLRELPL00014	5,85	2831	16150	5343000				
2015-01-21	REMAK	PLREMAK00016	12,1	266	3160	1451000				
2015-01-21	RESBUD	PLRESBD00016	2,38	23039	53120	3055000				
2015-01-21	ROBYG	PLROBYG00016	2,18	27934	60390	121599000				
2015-01-21	RONSON	NL0006106007	1,45	4388	6460	55661000				
