ROK	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1966	3,8	5,0	4,8	4,8	4,8	4,9	4,8	4,8	4,8	4,7	4,7	4,6
1967	3,8	4,9	4,8	4,8	4,8	4,8	4,9	4,8	4,8	4,8	5,0	4,9
1968	3,4	4,7	4,8	4,7	4,5	4,5	4,7	4,7	4,5	4,4	4,4	4,4
1969	3,5	4,4	4,4	4,4	4,4	4,4	4,5	4,5	4,5	4,7	4,7	4,5
1970	6,1	4,9	5,2	5,4	5,6	5,8	5,9	6,0	6,1	6,4	6,5	6,9
1971	6,0	6,9	6,9	7,0	6,9	6,9	6,9	7,0	7,1	7,0	6,8	7,0
1972	5,2	6,8	6,7	6,8	6,7	6,7	6,7	6,6	6,6	6,5	6,6	6,3
1973	4,9	5,9	6,0	5,9	6,0	5,9	5,9	5,8	5,8	5,8	5,6	5,8
1974	7,2	6,1	6,2	6,1	6,1	6,1	6,4	6,5	6,5	6,9	7,0	7,6
1975	8,2	9,1	9,1	9,6	9,8	10,0	9,8	9,6	9,4	9,4	9,4	9,3
1976	7,8	8,9	8,7	8,6	8,7	8,4	8,6	8,8	8,8	8,6	8,7	8,8
1977	6,4	8,5	8,6	8,4	8,2	8,0	8,2	7,9	8,0	7,8	7,8	7,8
1978	6,0	7,4	7,3	7,3	7,1	7,0	6,9	7,2	6,9	7,0	6,8	6,9
1979	6,0	6,9	6,9	6,8	6,8	6,6	6,7	6,7	7,0	6,9	7,0	6,9
1980	7,2	7,3	7,3	7,3	7,9	8,5	8,6	8,8	8,7	8,5	8,5	8,5
1981	8,5	8,5	8,4	8,4	8,2	8,5	8,5	8,2	8,4	8,6	8,9	9,3
1982	10,8	9,9	9,9	10,1	10,3	10,7	10,8	10,9	11,1	11,4	11,9	12,4
1983	8,3	11,4	11,4	11,3	11,2	11,1	11,1	10,4	10,5	10,2	9,8	9,5
1984	7,3	9,0	8,8	8,8	8,7	8,4	8,2	8,5	8,5	8,3	8,4	8,2
1985	7,0	8,3	8,2	8,2	8,3	8,2	8,4	8,4	8,1	8,1	8,1	8,0
1986	6,6	7,7	8,2	8,2	8,1	8,2	8,2	8,0	7,9	8,0	8,0	7,9
1987	5,7	7,6	7,6	7,6	7,3	7,3	7,2	7,1	7,0	6,9	7,0	6,8
1988	5,3	6,7	6,7	6,7	6,4	6,6	6,4	6,4	6,6	6,4	6,4	6,3
1989	5,4	6,4	6,2	6,0	6,2	6,2	6,3	6,2	6,2	6,3	6,3	6,4
1990	6,3	6,4	6,3	6,2	6,4	6,4	6,2	6,5	6,7	6,9	6,9	7,2
1991	7,3	7,4	7,6	7,8	7,7	7,9	7,9	7,8	7,9	7,9	8,0	8,0
1992	7,4	8,3	8,4	8,4	8,4	8,6	8,8	8,7	8,6	8,6	8,3	8,4
1993	6,5	8,3	8,1	8,0	8,1	8,1	8,0	7,9	7,8	7,7	7,8	7,6
1994	5,5	7,6	7,6	7,5	7,4	7,1	7,1	7,1	7,0	6,9	6,8	6,6
1995	5,6	5,6	6,4	6,4	6,8	6,6	6,6	6,7	6,7	6,6	6,5	6,6
1996	5,4	6,6	6,5	6,5	6,6	6,6	6,3	6,5	6,1	6,2	6,2	6,4
1997	4,7	6,3	6,2	6,2	6,1	5,9	6,0	5,9	5,8	5,9	5,7	5,6
1998	4,4	5,6	5,6	5,7	5,3	5,4	5,5	5,5	5,5	5,6	5,5	5,4
1999	4,0	5,3	5,4	5,2	5,3	5,2	5,3	5,3	5,2	5,2	5,1	5,1
2000	3,9	5,0	5,1	5,0	4,8	5,0	5,0	5,0	5,1	4,9	4,9	4,9
2001	5,7	5,2	5,2	5,3	5,4	5,3	5,5	5,6	5,9	6,0	6,3	6,5
2002	6,0	6,7	6,7	6,7	6,9	6,8	6,8	6,8	6,7	6,7	6,7	6,9
2003	5,7	6,8	6,9	6,9	7,0	7,1	7,3	7,2	7,1	7,1	7,0	6,8
2004	5,4	6,7	6,6	6,8	6,6	6,6	6,6	6,5	6,4	6,4	6,5	6,4
2005	4,9	6,3	6,4	6,2	6,2	6,1	6,0	6,0	5,9	6,0	6,0	6,0
2006	4,4	5,7	5,8	5,7	5,7	5,6	5,6	5,7	5,7	5,5	5,4	5,5
2007	5,0	5,6	5,5	5,4	5,5	5,4	5,6	5,6	5,6	5,7	5,7	5,7
2008	7,4	6,0	5,8	6,1	6,0	6,4	6,5	6,8	7,1	7,2	7,6	7,9
2009	10,0	8,7	9,2	9,6	9,9	10,4	10,5	10,4	10,7	10,8	11,1	11,0
2010	9,4	10,7	10,7	10,7	10,9	10,7	10,5	10,5	10,6	10,6	10,6	10,8
2011	8,5	10,0	9,9	9,8	10,0	10,1	10,2	10,1	10,1	10,1	10,0	9,6
2012	7,8	9,3	9,3	9,2	9,1	9,2	9,2	9,3	9,1	8,8	8,8	8,8
2013	6,7	8,9	8,7	8,6	8,5	8,6	8,6	8,4	8,3	8,2	8,3	8,0
2014	5,7	7,6	7,7	7,7	7,3	7,3	7,1	7,2	7,1	6,9	6,8	6,8
