Lp ;Id_uzytkownika;Data;Id_zajec
127;266;2014-04-20;48
128;267;2014-04-21;7
129;272;2014-04-22;60
130;273;2014-04-23;8
131;274;2014-04-24;15
132;275;2014-04-25;5
133;277;2014-04-26;10
134;284;2014-04-27;24
135;288;2014-04-28;31
136;290;2014-04-29;38
137;293;2014-04-30;56
138;295;2014-04-23;6
139;296;2014-04-24;12
140;298;2014-04-25;26
141;299;2014-04-26;33
142;301;2014-04-27;40
143;306;2014-04-03;58
144;307;2014-04-04;11
145;309;2014-04-05;20
146;311;2014-04-06;25
147;312;2014-04-07;32
148;313;2014-04-08;39
149;315;2014-04-09;57
150;317;2014-04-10;23
151;321;2014-04-11;52
152;322;2014-04-12;45
153;323;2014-04-13;14
154;327;2014-04-14;27
155;329;2014-04-15;34
156;330;2014-04-16;46
157;331;2014-04-17;13
158;332;2014-04-18;22
159;337;2014-04-03;30
160;338;2014-04-04;37
161;340;2014-04-05;42
162;345;2014-04-06;43
163;346;2014-04-07;51
164;347;2014-04-08;59
165;348;2014-04-09;3
166;349;2014-04-10;18
167;350;2014-04-11;21
168;352;2014-04-12;53
169;354;2014-04-13;17
170;355;2014-04-14;29
171;356;2014-04-15;36
172;357;2014-04-16;44
173;359;2014-04-17;50
174;360;2014-04-18;9
175;363;2014-04-19;19
176;364;2014-04-20;28
177;373;2014-04-21;35
178;374;2014-04-22;41
179;375;2014-04-23;49
180;376;2014-04-24;55
181;377;2014-04-25;16
182;378;2014-04-26;4
183;380;2014-04-27;2
184;383;2014-04-03;47
185;384;2014-04-04;54
186;386;2014-04-05;1
187;387;2014-04-06;48
188;388;2014-04-07;7
189;390;2014-04-08;60
190;393;2014-04-09;8
191;394;2014-04-10;15
192;395;2014-04-11;5
193;396;2014-04-12;10
194;397;2014-04-13;24
195;398;2014-04-14;31
196;400;2014-04-15;38
197;401;2014-04-16;56
198;402;2014-04-17;6
199;403;2014-04-18;12
200;404;2014-04-19;26
201;405;2014-04-20;33
202;406;2014-04-21;40
203;407;2014-04-22;58
204;410;2014-04-23;11
205;415;2014-04-24;20
206;416;2014-04-25;25
207;419;2014-04-26;32
208;424;2014-04-27;39
209;425;2014-04-28;57
210;426;2014-04-29;23
211;427;2014-04-30;52
212;429;2014-04-25;45
213;430;2014-04-26;14
214;431;2014-04-27;27
215;432;2014-04-03;34
216;433;2014-04-04;46
217;434;2014-04-05;13
218;437;2014-04-06;22
219;439;2014-04-07;30
220;440;2014-04-08;37
221;441;2014-04-09;42
222;444;2014-04-10;43
223;445;2014-04-11;51
224;446;2014-04-12;59
225;447;2014-04-13;3
226;448;2014-04-14;18
227;449;2014-04-15;21
228;452;2014-04-16;53
229;453;2014-04-17;17
230;455;2014-04-18;29
231;465;2014-04-19;36
232;467;2014-04-20;44
233;468;2014-04-21;50
234;469;2014-04-22;9
235;471;2014-04-23;19
236;472;2014-04-24;28
237;473;2014-04-25;35
238;479;2014-04-26;41
239;481;2014-04-27;49
240;483;2014-04-28;55
241;484;2014-04-29;16
242;485;2014-04-30;4
243;486;2014-04-17;2
244;490;2014-04-18;47
245;491;2014-04-19;54
246;492;2014-04-20;1
247;493;2014-04-21;48
248;494;2014-04-22;7
249;496;2014-04-23;60
250;497;2014-04-24;8
251;500;2014-04-25;15
252;502;2014-04-26;5
253;503;2014-04-27;10
254;504;2014-04-03;24
255;505;2014-04-04;31
256;510;2014-04-05;38
257;511;2014-04-06;56
258;512;2014-04-07;6
259;514;2014-04-08;12
260;515;2014-04-09;26
261;519;2014-04-10;33
262;523;2014-04-11;40
263;524;2014-04-12;58
264;531;2014-04-13;11
265;1;2014-04-14;20
266;4;2014-04-15;25
267;5;2014-04-16;32
268;8;2014-04-17;39
269;12;2014-04-18;57
270;13;2014-04-03;23
271;16;2014-04-04;52
272;19;2014-04-05;45
273;20;2014-04-06;14
274;22;2014-04-07;27
275;23;2014-04-08;34
276;24;2014-04-09;46
277;27;2014-04-10;13
278;36;2014-04-11;22
279;37;2014-04-12;30
280;40;2014-04-13;37
281;42;2014-04-14;42
282;45;2014-04-15;43
283;46;2014-04-16;51
284;47;2014-04-17;59
285;48;2014-04-18;3
286;49;2014-04-19;18
287;50;2014-04-20;21
288;51;2014-04-21;53
289;53;2014-04-22;17
290;54;2014-04-23;29
291;57;2014-04-24;36
292;58;2014-04-25;44
293;60;2014-04-26;50
294;61;2014-04-27;9
295;63;2014-04-03;19
296;65;2014-04-04;28
297;66;2014-04-05;35
298;71;2014-04-06;41
299;72;2014-04-07;49
300;73;2014-04-08;55
301;77;2014-04-09;26
302;78;2014-04-10;33
303;79;2014-04-11;40
304;80;2014-04-12;58
305;83;2014-04-13;11
306;86;2014-04-14;20
307;87;2014-04-15;25
308;89;2014-04-16;32
309;90;2014-04-17;39
310;96;2014-04-18;57
311;97;2014-04-19;23
312;98;2014-04-20;52
313;99;2014-04-21;45
314;100;2014-04-22;14
315;105;2014-04-23;27
316;106;2014-04-24;34
317;107;2014-04-25;46
318;108;2014-04-26;13
319;109;2014-04-27;22
320;112;2014-04-28;30
321;114;2014-04-29;37
322;119;2014-04-30;42
323;120;2014-04-25;43
324;121;2014-04-26;51
325;124;2014-04-27;59
326;125;2014-04-03;3
327;126;2014-04-04;18
328;127;2014-04-05;21
329;129;2014-04-06;53
330;130;2014-04-07;17
331;132;2014-04-08;29
332;133;2014-04-09;36
333;134;2014-04-10;44
334;136;2014-04-11;50
335;139;2014-04-12;9
336;141;2014-04-13;19
337;142;2014-04-14;28
338;144;2014-04-15;35
339;153;2014-04-16;41
340;155;2014-04-17;49
341;157;2014-04-18;55
342;161;2014-04-19;16
343;162;2014-04-20;4
344;163;2014-04-21;2
345;166;2014-04-22;47
346;169;2014-04-23;54
347;170;2014-04-24;1
348;173;2014-04-25;48
349;179;2014-04-26;7
350;181;2014-04-27;60
351;184;2014-04-28;8
352;185;2014-04-29;15
353;188;2014-04-30;5
354;189;2014-04-01;10
355;192;2014-04-02;24
356;195;2014-04-03;31
357;196;2014-04-04;38
358;198;2014-04-13;56
359;201;2014-04-14;6
360;202;2014-04-15;12
361;204;2014-04-16;26
362;205;2014-04-17;33
363;206;2014-04-18;40
364;207;2014-04-19;58
365;209;2014-04-20;11
366;210;2014-04-21;20
367;215;2014-04-22;25
368;218;2014-04-23;32
369;226;2014-04-24;39
370;228;2014-04-25;57
371;230;2014-04-26;23
372;231;2014-04-27;52
373;235;2014-04-28;45
374;240;2014-04-29;14
375;241;2014-04-30;27
376;244;2014-04-01;34
377;245;2014-04-02;46
378;247;2014-04-03;13
379;248;2014-04-04;22
380;249;2014-04-25;30
381;250;2014-04-26;37
382;252;2014-04-27;42
383;254;2014-04-28;43
384;255;2014-04-29;51
385;256;2014-04-30;59
386;257;2014-04-01;3
387;258;2014-04-02;18
388;260;2014-04-03;21
389;264;2014-04-04;53
390;265;2014-04-13;17
391;266;2014-04-14;29
392;267;2014-04-15;36
393;272;2014-04-16;44
394;273;2014-04-17;50
395;274;2014-04-13;9
396;275;2014-04-14;19
397;277;2014-04-15;28
398;284;2014-04-16;35
399;288;2014-04-17;41
400;290;2014-04-05;49
401;293;2014-04-06;55
402;295;2014-04-07;16
403;296;2014-04-08;4
404;298;2014-04-09;2
405;299;2014-04-10;47
406;301;2014-04-11;54
407;306;2014-04-12;1
408;307;2014-04-13;48
409;309;2014-04-14;7
410;311;2014-04-15;60
411;312;2014-04-16;8
412;313;2014-04-17;15
413;315;2014-04-18;5
414;317;2014-04-19;10
415;321;2014-04-20;24
416;322;2014-04-21;31
417;323;2014-04-22;38
418;327;2014-04-23;56
419;329;2014-04-24;6
420;330;2014-04-25;12
421;331;2014-04-26;26
422;332;2014-04-27;33
423;337;2014-04-28;40
424;338;2014-04-29;58
425;340;2014-04-30;11
426;345;2014-04-17;20
427;346;2014-04-18;25
428;347;2014-04-19;32
429;348;2014-04-20;39
430;349;2014-04-21;57
431;350;2014-04-22;23
432;352;2014-04-23;52
433;354;2014-04-24;45
434;355;2014-04-25;14
435;356;2014-04-26;27
436;357;2014-04-27;34
437;359;2014-04-03;46
438;360;2014-04-04;13
439;363;2014-04-05;22
440;364;2014-04-06;30
441;373;2014-04-07;37
442;374;2014-04-08;42
443;375;2014-04-09;43
444;376;2014-04-10;51
445;377;2014-04-11;59
446;378;2014-04-12;3
447;380;2014-04-13;18
448;383;2014-04-14;21
449;384;2014-04-15;53
450;386;2014-04-16;17
451;387;2014-04-17;29
452;388;2014-04-18;36
453;390;2014-04-03;44
454;393;2014-04-04;50
455;394;2014-04-05;9
456;395;2014-04-06;19
457;396;2014-04-07;28
458;397;2014-04-08;35
459;398;2014-04-09;41
460;400;2014-04-10;49
461;401;2014-04-11;55
462;402;2014-04-12;16
463;403;2014-04-13;4
464;404;2014-04-14;2
465;405;2014-04-15;47
466;406;2014-04-16;54
467;407;2014-04-17;1
468;410;2014-04-18;48
469;415;2014-04-19;7
470;416;2014-04-20;60
471;419;2014-04-21;8
472;424;2014-04-22;15
473;425;2014-04-23;5
474;426;2014-04-24;10
475;427;2014-04-25;24
476;429;2014-04-26;31
477;430;2014-04-27;38
478;431;2014-04-03;56
479;432;2014-04-04;6
480;433;2014-04-05;12
481;434;2014-04-06;26
482;437;2014-04-07;33
483;439;2014-04-08;40
484;440;2014-04-09;58
485;441;2014-04-10;11
486;444;2014-04-11;20
487;445;2014-04-12;25
488;446;2014-04-13;32
489;447;2014-04-14;39
490;448;2014-04-15;57
491;449;2014-04-16;23
492;452;2014-04-17;52
493;453;2014-04-18;45
494;455;2014-04-19;14
495;465;2014-04-20;27
496;467;2014-04-21;34
497;468;2014-04-22;46
498;469;2014-04-23;13
499;471;2014-04-24;22
500;472;2014-04-25;30
501;473;2014-04-26;37
502;479;2014-04-27;42
503;481;2014-04-28;43
504;483;2014-04-29;51
505;484;2014-04-30;59
506;485;2014-04-25;3
507;486;2014-04-26;18
508;490;2014-04-27;21
509;491;2014-04-03;53
510;492;2014-04-04;17
511;493;2014-04-05;29
512;494;2014-04-06;36
513;496;2014-04-07;44
514;497;2014-04-08;50
515;500;2014-04-09;9
516;502;2014-04-10;19
517;503;2014-04-11;28
518;504;2014-04-12;35
519;505;2014-04-13;41
520;510;2014-04-14;49
521;511;2014-04-15;55
522;512;2014-04-16;16
523;514;2014-04-17;4
524;515;2014-04-18;2
525;519;2014-04-19;47
526;523;2014-04-20;54
527;524;2014-04-21;1
528;531;2014-04-22;48
529;1;2014-04-23;7
530;4;2014-04-24;60
531;5;2014-04-25;8
532;8;2014-04-26;15
533;12;2014-04-27;5
534;13;2014-04-28;10
535;16;2014-04-29;24
536;19;2014-04-30;31
537;20;2014-04-23;38
538;22;2014-04-24;56
539;23;2014-04-25;6
540;24;2014-04-26;12
541;27;2014-04-27;26
542;36;2014-04-03;33
543;37;2014-04-04;40
544;40;2014-04-05;58
545;42;2014-04-06;11
546;45;2014-04-07;11
547;46;2014-04-08;16
548;47;2014-04-09;4
549;48;2014-04-10;2
550;49;2014-04-11;47
551;50;2014-04-12;54
552;51;2014-04-13;1
553;53;2014-04-14;48
554;54;2014-04-15;7
555;57;2014-04-16;60
556;58;2014-04-17;8
557;60;2014-04-18;15
558;61;2014-04-03;5
559;63;2014-04-04;10
560;65;2014-04-05;24
561;66;2014-04-06;31
562;71;2014-04-07;38
563;72;2014-04-08;56
564;73;2014-04-09;6
565;77;2014-04-10;12
566;78;2014-04-11;26
567;79;2014-04-12;33
568;80;2014-04-13;40
569;83;2014-04-14;58
570;86;2014-04-15;11
571;87;2014-04-16;20
572;89;2014-04-17;25
573;90;2014-04-18;32
574;96;2014-04-19;39
575;97;2014-04-20;57
576;98;2014-04-21;23
577;99;2014-04-22;52
578;100;2014-04-23;45
579;105;2014-04-24;14
580;106;2014-04-25;27
581;107;2014-04-26;34
582;108;2014-04-27;46
583;109;2014-04-03;13
584;112;2014-04-04;22
585;114;2014-04-05;30
586;119;2014-04-06;37
587;120;2014-04-07;42
588;121;2014-04-08;43
589;124;2014-04-09;51
590;125;2014-04-10;59
591;126;2014-04-11;3
592;127;2014-04-12;18
593;129;2014-04-13;21
594;130;2014-04-14;53
595;132;2014-04-15;17
596;133;2014-04-16;29
597;134;2014-04-17;36
598;136;2014-04-18;44
599;139;2014-04-19;50
600;141;2014-04-20;9
601;142;2014-04-21;19
602;144;2014-04-22;28
603;153;2014-04-23;35
604;155;2014-04-24;41
605;157;2014-04-25;49
606;161;2014-04-26;55
607;162;2014-04-27;16
608;163;2014-04-28;4
609;166;2014-04-29;2
610;169;2014-04-30;47
611;170;2014-04-25;54
612;173;2014-04-26;1
613;179;2014-04-27;48
614;181;2014-04-03;7
615;184;2014-04-04;60
616;185;2014-04-05;8
617;188;2014-04-06;15
618;189;2014-04-07;5
619;192;2014-04-08;10
620;195;2014-04-09;24
621;196;2014-04-10;31
622;198;2014-04-11;38
623;201;2014-04-12;56
624;202;2014-04-13;6
625;204;2014-04-14;12
626;205;2014-04-15;26
627;114;2014-04-16;33
628;207;2014-04-17;40
629;209;2014-04-18;58
630;210;2014-04-19;11
631;215;2014-04-20;20
632;218;2014-04-21;25
633;226;2014-04-22;32
634;228;2014-04-23;39
635;230;2014-04-24;57
636;231;2014-04-25;23
637;235;2014-04-26;52
638;240;2014-04-27;45
639;241;2014-04-28;14
640;244;2014-04-29;27
641;245;2014-04-30;34
642;247;2014-04-17;46
643;248;2014-04-18;13
644;249;2014-04-19;22
645;250;2014-04-20;30
646;252;2014-04-21;37
647;254;2014-04-22;42
648;255;2014-04-23;43
649;256;2014-04-24;51
650;257;2014-04-25;59
651;258;2014-04-26;3
652;260;2014-04-27;18
653;264;2014-04-03;21
654;265;2014-04-04;53
655;266;2014-04-05;17
656;267;2014-04-06;29
657;272;2014-04-07;36
658;273;2014-04-08;44
659;274;2014-04-09;50
660;275;2014-04-10;9
661;277;2014-04-11;19
662;284;2014-04-12;28
663;288;2014-04-13;35
664;290;2014-04-14;41
665;293;2014-04-15;49
666;295;2014-04-16;55
667;296;2014-04-17;16
668;298;2014-04-18;4
669;299;2014-04-03;2
670;301;2014-04-04;47
671;306;2014-04-05;54
672;307;2014-04-06;1
673;309;2014-04-07;48
674;311;2014-04-08;7
675;312;2014-04-09;60
676;313;2014-04-10;8
677;315;2014-04-11;15
678;317;2014-04-12;5
679;321;2014-04-13;10
680;322;2014-04-14;24
681;323;2014-04-15;31
682;327;2014-04-16;38
683;329;2014-04-17;56
684;330;2014-04-18;6
685;331;2014-04-19;12
686;332;2014-04-20;26
687;337;2014-04-21;33
688;338;2014-04-22;40
689;340;2014-04-23;58
690;345;2014-04-24;11
691;346;2014-04-25;20
692;347;2014-04-26;25
693;348;2014-04-27;32
694;349;2014-04-03;39
695;350;2014-04-04;57
696;352;2014-04-05;23
697;354;2014-04-06;52
698;355;2014-04-07;45
699;356;2014-04-08;14
700;357;2014-04-09;27
701;359;2014-04-10;34
702;360;2014-04-11;46
703;363;2014-04-12;13
704;364;2014-04-13;22
705;373;2014-04-14;30
706;374;2014-04-15;37
707;375;2014-04-16;42
708;376;2014-04-17;43
709;377;2014-04-18;51
710;378;2014-04-19;59
711;380;2014-04-20;3
712;383;2014-04-21;18
713;384;2014-04-22;21
714;386;2014-04-23;53
715;387;2014-04-24;17
716;388;2014-04-25;29
717;390;2014-04-26;36
718;393;2014-04-27;44
719;394;2014-04-28;50
720;395;2014-04-29;9
721;396;2014-04-30;19
722;397;2014-04-25;28
723;398;2014-04-26;35
724;400;2014-04-27;41
725;401;2014-04-03;49
726;402;2014-04-04;55
727;403;2014-04-05;16
728;404;2014-04-06;4
729;405;2014-04-07;2
730;406;2014-04-08;47
731;407;2014-04-09;54
732;410;2014-04-10;1
733;415;2014-04-11;48
734;416;2014-04-12;7
735;419;2014-04-13;60
736;424;2014-04-14;8
737;425;2014-04-15;15
738;426;2014-04-16;5
739;427;2014-04-17;10
740;429;2014-04-18;24
741;430;2014-04-19;31
742;431;2014-04-20;38
743;432;2014-04-21;56
744;433;2014-04-22;6
745;434;2014-04-23;12
746;437;2014-04-24;26
747;439;2014-04-25;33
748;440;2014-04-26;40
749;441;2014-04-27;58
750;444;2014-04-28;11
751;445;2014-04-29;20
752;446;2014-04-30;25
753;447;2014-04-01;32
754;448;2014-04-02;39
755;449;2014-04-03;57
756;452;2014-04-04;23
757;453;2014-04-13;52
758;455;2014-04-14;45
759;465;2014-04-15;14
760;467;2014-04-16;27
761;468;2014-04-17;34
762;469;2014-04-18;46
763;471;2014-04-19;13
764;472;2014-04-20;22
765;473;2014-04-21;30
766;479;2014-04-22;37
767;481;2014-04-23;42
768;483;2014-04-24;43
769;484;2014-04-25;51
770;485;2014-04-26;59
771;486;2014-04-27;3
772;490;2014-04-28;18
773;491;2014-04-29;21
774;492;2014-04-30;53
775;493;2014-04-01;17
776;494;2014-04-02;29
777;496;2014-04-03;36
778;497;2014-04-04;44
779;500;2014-04-25;50
780;502;2014-04-26;9
781;503;2014-04-27;19
782;504;2014-04-28;28
783;505;2014-04-29;35
784;510;2014-04-30;41
785;511;2014-04-01;49
786;512;2014-04-02;55
787;514;2014-04-03;16
788;515;2014-04-04;4
789;519;2014-04-13;2
790;523;2014-04-14;47
791;524;2014-04-15;54
792;531;2014-04-16;1
793;1;2014-04-17;48
794;4;2014-04-13;7
795;5;2014-04-14;60
796;8;2014-04-15;8
797;12;2014-04-16;15
798;13;2014-04-17;5
799;16;2014-04-05;10
800;19;2014-04-06;24
801;20;2014-04-07;31
802;22;2014-04-08;38
803;23;2014-04-09;56
804;24;2014-04-10;6
805;27;2014-04-11;12
806;36;2014-04-12;26
807;37;2014-04-13;33
808;40;2014-04-14;40
809;42;2014-04-15;58
810;45;2014-04-16;11
811;46;2014-04-17;20
812;47;2014-04-18;25
813;48;2014-04-19;32
814;49;2014-04-20;39
815;50;2014-04-21;57
816;51;2014-04-22;23
817;53;2014-04-23;52
818;54;2014-04-24;45
819;57;2014-04-25;14
820;58;2014-04-26;27
821;60;2014-04-27;34
822;61;2014-04-28;46
823;63;2014-04-29;13
824;65;2014-04-30;22
825;66;2014-04-17;30
826;71;2014-04-18;37
827;72;2014-04-19;42
828;73;2014-04-20;43
829;77;2014-04-21;51
830;78;2014-04-22;59
831;79;2014-04-23;3
832;80;2014-04-24;18
833;83;2014-04-25;21
834;86;2014-04-26;53
835;87;2014-04-27;17
836;89;2014-04-03;29
837;90;2014-04-04;36
838;96;2014-04-05;44
839;97;2014-04-06;50
840;98;2014-04-07;9
841;99;2014-04-08;19
842;100;2014-04-09;28
843;105;2014-04-10;35
844;106;2014-04-11;41
845;107;2014-04-12;49
846;108;2014-04-13;55
847;109;2014-04-14;26
848;112;2014-04-15;33
849;114;2014-04-16;40
850;119;2014-04-17;58
851;120;2014-04-18;11
852;121;2014-04-03;20
853;124;2014-04-04;25
854;125;2014-04-05;32
855;126;2014-04-06;39
856;127;2014-04-07;57
857;129;2014-04-08;23
858;130;2014-04-09;52
859;132;2014-04-10;45
860;133;2014-04-11;14
861;134;2014-04-12;27
862;136;2014-04-13;34
863;139;2014-04-14;46
864;141;2014-04-15;13
865;142;2014-04-16;22
866;144;2014-04-17;30
867;153;2014-04-18;37
868;155;2014-04-19;42
869;157;2014-04-20;43
870;161;2014-04-21;51
871;162;2014-04-22;59
872;163;2014-04-23;3
873;166;2014-04-24;18
874;169;2014-04-25;21
875;170;2014-04-26;53
876;173;2014-04-27;17
877;179;2014-04-03;29
878;181;2014-04-04;36
879;184;2014-04-05;44
880;185;2014-04-06;50
881;188;2014-04-07;9
882;189;2014-04-08;19
883;192;2014-04-09;28
884;195;2014-04-10;35
885;196;2014-04-11;41
886;198;2014-04-12;49
887;201;2014-04-13;55
888;202;2014-04-14;16
889;204;2014-04-15;4
890;205;2014-04-16;2
891;206;2014-04-17;47
892;207;2014-04-18;54
893;209;2014-04-19;1
894;210;2014-04-20;48
895;215;2014-04-21;7
896;218;2014-04-22;60
897;226;2014-04-23;8
898;228;2014-04-24;15
899;230;2014-04-25;5
900;231;2014-04-26;10
901;235;2014-04-27;24
902;240;2014-04-28;31
903;241;2014-04-29;38
904;244;2014-04-30;56
905;245;2014-04-25;6
906;247;2014-04-26;12
907;248;2014-04-27;26
908;249;2014-04-03;33
909;250;2014-04-04;40
910;252;2014-04-05;58
911;254;2014-04-06;11
912;255;2014-04-07;20
913;256;2014-04-08;25
914;257;2014-04-09;32
915;258;2014-04-10;39
916;260;2014-04-11;57
917;264;2014-04-12;23
918;265;2014-04-13;52
919;266;2014-04-14;45
920;267;2014-04-15;14
921;272;2014-04-16;27
922;273;2014-04-17;34
923;274;2014-04-18;46
924;275;2014-04-19;13
925;277;2014-04-20;22
926;284;2014-04-21;30
927;288;2014-04-22;37
928;290;2014-04-23;42
929;293;2014-04-24;43
930;295;2014-04-25;51
931;296;2014-04-26;59
932;298;2014-04-27;3
933;299;2014-04-28;18
934;301;2014-04-29;21
935;306;2014-04-30;53
936;307;2014-04-23;17
937;309;2014-04-24;29
938;311;2014-04-25;36
939;312;2014-04-26;44
940;313;2014-04-27;50
941;315;2014-04-03;9
942;317;2014-04-04;19
943;321;2014-04-05;28
944;322;2014-04-06;35
945;323;2014-04-07;41
946;327;2014-04-08;49
947;329;2014-04-09;55
948;330;2014-04-10;16
949;331;2014-04-11;4
950;332;2014-04-12;2
951;337;2014-04-13;47
952;338;2014-04-14;54
953;340;2014-04-15;1
954;345;2014-04-16;48
955;346;2014-04-17;7
956;347;2014-04-18;60
957;348;2014-04-03;8
958;349;2014-04-04;15
959;350;2014-04-05;5
960;352;2014-04-06;10
961;354;2014-04-07;24
962;355;2014-04-08;31
963;356;2014-04-09;38
964;357;2014-04-10;56
965;359;2014-04-11;6
966;360;2014-04-12;12
967;363;2014-04-13;26
968;364;2014-04-14;33
969;373;2014-04-15;40
970;374;2014-04-16;58
971;375;2014-04-17;11
972;376;2014-04-18;20
973;377;2014-04-19;25
974;378;2014-04-20;32
975;380;2014-04-21;39
976;383;2014-04-22;57
977;384;2014-04-23;23
978;386;2014-04-24;52
979;387;2014-04-25;45
980;388;2014-04-26;14
981;390;2014-04-27;27
982;393;2014-04-03;34
983;394;2014-04-04;46
984;395;2014-04-05;13
985;396;2014-04-06;22
986;397;2014-04-07;30
987;398;2014-04-08;37
988;400;2014-04-09;42
989;401;2014-04-10;43
990;402;2014-04-11;51
991;403;2014-04-12;59
992;404;2014-04-13;3
993;405;2014-04-14;18
994;406;2014-04-15;21
995;407;2014-04-16;53
996;410;2014-04-17;17
997;415;2014-04-18;29
998;416;2014-04-19;36
999;419;2014-04-20;44
1000;424;2014-04-21;50
1001;425;2014-04-22;9
1002;426;2014-04-23;19
1003;427;2014-04-24;28
1004;429;2014-04-25;35
1005;430;2014-04-26;41
1006;431;2014-04-27;49
1007;432;2014-04-28;55
1008;433;2014-04-29;16
1009;434;2014-04-30;4
1010;437;2014-04-25;2
1011;439;2014-04-26;47
1012;440;2014-04-27;54
1013;441;2014-04-03;1
1014;444;2014-04-04;48
1015;445;2014-04-05;7
1016;446;2014-04-06;60
1017;447;2014-04-07;8
1018;448;2014-04-08;15
1019;449;2014-04-09;5
1020;452;2014-04-10;10
1021;453;2014-04-11;24
1022;455;2014-04-12;31
1023;465;2014-04-13;38
1024;467;2014-04-14;56
1025;468;2014-04-15;6
1026;469;2014-04-16;12
1027;471;2014-04-17;26
1028;472;2014-04-18;33
1029;473;2014-04-19;40
1030;479;2014-04-20;58
1031;481;2014-04-21;11
1032;483;2014-04-22;20
1033;484;2014-04-23;25
1034;485;2014-04-24;32
1035;486;2014-04-25;39
1036;490;2014-04-26;57
1037;491;2014-04-27;23
1038;492;2014-04-28;52
1039;493;2014-04-29;45
1040;494;2014-04-30;14
1041;496;2014-04-17;27
1042;497;2014-04-18;34
1043;500;2014-04-19;46
1044;502;2014-04-20;13
1045;503;2014-04-21;22
1046;504;2014-04-22;30
1047;505;2014-04-23;37
1048;510;2014-04-24;42
1049;511;2014-04-25;43
1050;512;2014-04-26;51
1051;514;2014-04-27;59
1052;515;2014-04-03;3
1053;519;2014-04-04;18
1054;523;2014-04-05;21
1055;524;2014-04-06;53
1056;531;2014-04-07;17
1057;1;2014-04-08;29
1058;4;2014-04-09;36
1059;5;2014-04-10;44
1060;8;2014-04-11;50
1061;12;2014-04-12;9
1062;13;2014-04-13;19
1063;16;2014-04-14;28
1064;19;2014-04-15;35
1065;20;2014-04-16;41
1066;22;2014-04-17;49
1067;23;2014-04-18;55
