lp	id_osoby	id_listy	punkty	data
67	7	9	20	2014-12-03
68	7	4	9	2014-12-08
69	7	5	12	2014-12-16
70	7	10	20	2015-01-12
71	7	6	12	2015-01-19
72	7	7	13	2015-01-26
73	7	11	23	2015-02-02
74	8	1	12	2014-10-20
75	8	2	12	2014-11-03
76	8	8	14	2014-11-14
77	8	3	4	2014-11-17
78	8	9	22	2014-12-02
79	8	4	10	2014-12-08
80	8	5	10	2015-01-07
81	8	10	17,5	2015-01-13
82	8	6	12	2015-01-19
83	8	7	9	2015-01-26
84	8	11	18	2015-02-02
85	9	1	12	2014-10-20
86	9	2	12	2014-11-04
87	9	8	16	2014-11-10
88	9	3	10	2014-11-17
89	9	9	17,5	2014-12-01
90	9	4	9	2014-12-08
91	9	5	5,5	2014-12-15
92	9	10	14,5	2015-01-19
93	9	6	11	2015-01-19
94	9	7	10	2015-01-26
95	10	1	12	2014-11-17
96	10	2	12	2014-11-03
97	10	8	13,5	2014-11-11
98	10	3	4	2014-11-17
99	10	9	0	2014-12-15
100	10	4	2,5	2015-01-13
101	10	5	3	2015-01-12
102	10	10	14	2015-01-20
103	10	6	11	2015-01-19
104	10	7	10	2015-01-25
105	10	11	16	2015-02-02
106	11	1	12	2014-10-18
107	11	2	11	2014-11-04
108	11	3	7	2014-11-17
109	11	4	12	2014-12-08
110	11	5	12	2014-12-15
111	11	6	12	2015-01-19
112	11	7	10	2015-01-26
113	11	8	21	2014-11-10
114	11	9	19	2014-12-01
115	11	10	13	2015-01-17
116	11	11	24	2015-02-02
117	12	1	12	2014-10-20
118	12	2	11	2014-11-03
119	12	3	5	2014-11-17
120	12	4	11	2014-12-08
121	12	5	6	2014-12-15
122	12	6	9	2015-01-19
123	12	7	12	2015-01-26
124	12	8	18	2014-11-10
125	12	9	23	2014-12-01
126	12	10	11	2015-01-13
127	12	11	22	2015-02-02
128	13	1	12	2014-10-20
129	13	2	11	2014-11-03
130	13	3	7	2014-11-17
131	13	4	8	2014-12-08
132	13	5	8	2014-12-15
133	13	6	12	2015-01-19
134	13	7	10	2015-01-26
135	13	8	16	2014-11-10
136	13	9	18	2014-12-01
137	13	10	22	2015-01-09
138	14	1	12	2014-10-20
139	14	2	10	2014-11-12
140	14	3	5	2014-11-17
141	14	4	9	2014-12-08
142	14	5	8	2014-12-15
143	14	6	11	2015-01-19
144	14	7	12	2015-01-26
145	14	8	20	2014-11-10
146	14	9	20	2014-12-01
147	14	10	20	2015-01-05
148	14	11	24	2015-02-02
149	15	1	12	2014-10-20
150	15	2	11	2014-11-03
151	15	3	8	2014-11-17
152	15	4	10	2014-12-08
153	15	5	12	2014-12-15
154	15	6	11	2015-01-19
155	15	7	11	2015-01-26
156	15	8	24	2014-11-10
157	15	9	24	2014-12-01
158	15	10	19	2015-01-13
159	15	11	23	2015-02-02
160	16	1	12	2014-10-20
161	16	2	11	2014-11-03
162	16	3	7	2014-11-17
163	16	4	12	2014-12-08
164	16	5	4	2014-12-15
165	16	6	9	2015-01-19
166	16	7	10	2015-01-26
167	16	8	23	2014-11-10
168	16	9	21	2014-12-01
169	16	10	20	2015-01-19
170	16	11	18	2015-02-02
171	17	1	12	2014-10-20
172	17	2	12	2014-11-03
173	17	3	5	2014-11-17
174	17	4	8	2014-12-08
175	17	5	7	2014-12-15
176	17	6	9	2015-01-19
177	17	7	12	2015-01-26
178	17	8	14	2014-11-10
179	17	9	24	2014-12-01
180	17	10	20	2015-01-25
181	17	11	16	2015-02-02
182	18	1	12	2014-10-18
183	18	2	12	2014-11-03
184	18	3	11	2014-11-17
185	18	4	8	2014-12-08
186	18	5	4	2014-12-15
187	18	6	9	2015-01-19
188	18	7	11	2015-01-29
189	18	8	19	2014-11-10
190	18	9	18	2014-12-01
191	18	10	21	2015-01-17
192	18	11	24	2015-02-02
193	19	1	12	2014-10-20
194	19	2	10	2014-11-04
195	19	3	7	2014-11-17
196	19	4	12	2014-12-08
197	19	5	9	2014-12-15
198	19	6	11	2015-01-19
199	19	7	12	2015-01-26
200	19	8	13	2014-11-10
201	19	9	18	2014-12-01
202	19	10	14	2015-01-13
203	19	11	21	2015-02-02
204	20	1	12	2014-10-20
205	20	2	12	2014-11-03
206	20	3	7	2014-11-17
207	20	4	9	2014-12-08
208	20	5	12	2014-12-15
209	20	6	10	2015-01-19
210	20	7	12	2015-01-30
211	20	8	14	2014-11-10
212	20	9	24	2014-12-01
213	20	10	13	2015-01-17
214	20	11	24	2015-02-02
215	21	1	12	2014-10-20
216	21	2	12	2014-11-04
217	21	3	4	2014-11-17
218	21	4	9	2014-12-08
219	21	5	6	2014-12-15
220	21	6	9	2015-01-19
221	21	7	12	2015-01-26
222	21	8	22	2014-11-10
223	21	9	21	2014-12-01
224	21	10	20	2015-01-13
225	21	11	23	2015-02-02
226	22	1	12	2014-10-20
227	22	2	11	2014-11-05
228	22	3	8	2014-11-17
229	22	4	12	2014-12-08
230	22	5	12	2014-12-15
231	22	6	11	2015-01-19
232	22	7	11	2015-01-26
233	22	8	16	2014-11-10
234	22	9	18	2014-12-01
235	22	10	17	2015-01-17
236	22	11	18	2015-02-02
237	23	1	12	2014-10-20
238	23	2	10	2014-11-06
239	23	3	10	2014-11-17
240	23	4	11	2014-12-08
241	23	5	5	2014-12-15
242	23	6	9	2015-01-19
243	23	7	13	2015-01-26
244	23	8	13	2014-11-12
245	23	9	24	2014-12-01
246	23	10	20	2015-01-13
247	23	11	16	2015-02-02
248	24	1	12	2014-10-20
249	25	1	12	2014-10-20
250	26	1	12	2014-10-20
251	27	1	12	2014-10-20
252	28	1	12	2014-10-20
253	29	1	12	2014-10-20
254	30	1	12	2014-10-20
255	31	1	12	2014-10-20
256	32	1	12	2014-10-20
257	33	1	12	2014-10-20
258	34	1	12	2014-10-20
259	35	1	12	2014-10-20
260	36	1	12	2014-10-20
261	37	1	12	2014-10-20
262	38	1	12	2014-10-20
263	39	1	12	2014-10-20
264	40	1	12	2014-10-20
265	41	1	12	2014-10-20
266	42	1	12	2014-10-20
267	43	1	12	2014-10-20
268	44	1	12	2014-10-20
269	45	1	12	2014-10-20
270	46	1	12	2014-10-20
271	47	1	12	2014-10-20
272	48	1	12	2014-10-20
273	49	1	12	2014-10-20
274	50	1	12	2014-10-20
275	51	1	12	2014-10-20
276	52	1	12	2014-10-20
277	53	1	12	2014-10-20
278	54	1	12	2014-10-20
279	55	1	12	2014-10-20
280	56	1	12	2014-10-20
281	57	1	12	2014-10-20
282	58	1	12	2014-10-20
283	59	1	12	2014-10-20
284	60	1	12	2014-10-20
285	24	2	12	2014-11-03
286	25	2	10	2014-11-03
287	26	2	11	2014-11-03
288	27	2	7	2014-11-03
289	28	2	12	2014-11-03
290	29	2	11	2014-11-03
291	30	2	12	2014-11-03
292	31	2	12	2014-11-03
293	32	2	12	2014-11-03
294	33	2	12	2014-11-03
295	34	2	11	2014-11-03
296	35	2	11	2014-11-03
297	36	2	11	2014-11-03
298	37	2	10	2014-11-03
299	38	2	11	2014-11-03
300	39	2	11	2014-11-03
301	40	2	12	2014-11-03
302	41	2	12	2014-11-03
303	42	2	10	2014-11-03
304	43	2	12	2014-11-03
305	44	2	12	2014-11-03
306	45	2	11	2014-11-03
307	46	2	10	2014-11-03
308	47	2	12	2014-11-03
309	48	2	10	2014-11-03
310	49	2	11	2014-11-03
311	50	2	7	2014-11-03
312	51	2	12	2014-11-03
313	52	2	11	2014-11-03
314	53	2	12	2014-11-03
315	54	2	12	2014-11-03
316	55	2	12	2014-11-03
317	56	2	12	2014-11-03
318	57	2	11	2014-11-03
319	58	2	11	2014-11-03
320	59	2	11	2014-11-03
321	60	2	10	2014-11-03
322	24	3	11	2014-11-17
323	25	3	11	2014-11-17
324	26	3	11	2014-11-17
325	27	3	11	2014-11-17
326	28	3	12	2014-11-17
327	29	3	10	2014-11-17
328	30	3	10	2014-11-17
329	31	3	11	2014-11-17
330	32	3	10	2014-11-17
331	33	3	12	2014-11-17
332	34	3	12	2014-11-17
333	35	3	11	2014-11-17
334	36	3	11	2014-11-17
335	37	3	11	2014-11-17
336	38	3	11	2014-11-17
337	39	3	10	2014-11-17
338	40	3	12	2014-11-17
339	41	3	12	2014-11-17
340	42	3	11	2014-11-17
341	43	3	11	2014-11-17
342	44	3	12	2014-11-17
343	45	3	10	2014-11-17
344	46	3	12	2014-11-17
345	47	3	12	2014-11-17
346	48	3	12	2014-11-17
347	49	3	10	2014-11-17
348	50	3	12	2014-11-17
349	51	3	11	2014-11-17
350	52	3	10	2014-11-17
351	53	3	11	2014-11-17
352	54	3	10	2014-11-17
353	55	3	11	2014-11-17
354	56	3	12	2014-11-17
355	57	3	11	2014-11-17
356	58	3	12	2014-11-17
357	59	3	12	2014-11-17
358	60	3	11	2014-11-17
359	24	4	11	2014-12-08
360	25	4	11	2014-12-08
361	26	4	11	2014-12-08
362	27	4	12	2014-12-08
363	28	4	11	2014-12-08
364	29	4	12	2014-12-08
365	30	4	11	2014-12-08
366	31	4	10	2014-12-10
367	32	4	11	2014-12-08
368	33	4	12	2014-12-08
369	34	4	11	2014-12-08
370	35	4	10	2014-12-08
371	36	4	11	2014-12-08
372	37	4	10	2014-12-08
373	38	4	11	2014-12-08
374	39	4	10	2014-12-10
375	40	4	11	2014-12-08
376	41	4	10	2014-12-08
377	42	4	12	2014-12-08
378	43	4	12	2014-12-08
379	44	4	12	2014-12-08
380	45	4	12	2014-12-08
381	46	4	11	2014-12-08
382	47	4	12	2014-12-08
383	48	4	12	2014-12-08
384	49	4	12	2014-12-08
385	50	4	12	2014-12-08
386	51	4	11	2014-12-08
387	52	4	12	2014-12-08
388	53	4	10	2014-12-08
389	54	4	10	2014-12-08
390	55	4	10	2014-12-08
391	56	4	10	2014-12-08
392	57	4	11	2014-12-08
393	58	4	12	2014-12-08
394	59	4	12	2014-12-08
395	60	4	12	2014-12-08
396	24	5	11	2014-12-15
397	25	5	10	2014-12-15
398	26	5	10	2014-12-15
399	27	5	12	2014-12-15
400	28	5	12	2014-12-15
401	29	5	10	2014-12-15
402	30	5	12	2014-12-15
403	31	5	11	2014-12-15
404	32	5	12	2014-12-15
405	33	5	12	2014-12-15
406	34	5	10	2014-12-15
407	35	5	12	2014-12-15
408	36	5	11	2014-12-15
409	37	5	11	2014-12-15
410	38	5	11	2014-12-15
411	39	5	10	2014-12-15
412	40	5	10	2014-12-15
413	41	5	12	2014-12-15
414	42	5	12	2014-12-15
415	43	5	12	2014-12-15
416	44	5	11	2014-12-15
417	45	5	12	2014-12-15
418	46	5	12	2014-12-15
419	47	5	12	2014-12-15
420	48	5	10	2014-12-15
421	49	5	10	2014-12-15
422	50	5	12	2014-12-15
423	51	5	11	2014-12-15
424	52	5	11	2014-12-15
425	53	5	12	2014-12-15
426	54	5	10	2014-12-15
427	55	5	12	2014-12-15
428	56	5	11	2014-12-15
429	57	5	10	2014-12-15
430	58	5	10	2014-12-15
431	59	5	12	2014-12-15
432	60	5	12	2014-12-15
433	24	6	12	2015-01-18
434	25	6	11	2015-01-19
435	26	6	11	2015-01-19
436	27	6	10	2015-01-19
437	28	6	11	2015-01-19
438	29	6	12	2015-01-17
439	30	6	12	2015-01-19
440	31	6	11	2015-01-19
441	32	6	12	2015-01-19
442	33	6	9	2015-01-19
443	34	6	10	2015-01-19
444	35	6	10	2015-01-19
445	36	6	11	2015-01-19
446	37	6	9	2015-01-19
447	38	6	9	2015-01-19
448	39	6	12	2015-01-19
449	40	6	10	2015-01-19
450	41	6	12	2015-01-17
451	42	6	10	2015-01-19
452	43	6	10	2015-01-19
453	44	6	12	2015-01-19
454	45	6	9	2015-01-19
455	46	6	9	2015-01-19
456	47	6	9	2015-01-19
457	48	6	12	2015-01-19
458	49	6	11	2015-01-19
459	50	6	9	2015-01-19
460	51	6	10	2015-01-19
461	52	6	9	2015-01-19
462	53	6	10	2015-01-19
463	54	6	9	2015-01-19
464	55	6	9	2015-01-19
465	56	6	12	2015-01-19
466	57	6	9	2015-01-19
467	58	6	12	2015-01-19
468	59	6	10	2015-01-19
469	60	6	10	2015-01-19
470	24	7	11	2015-01-26
471	25	7	11	2015-01-26
472	26	7	12	2015-01-26
473	27	7	10	2015-01-26
474	28	7	11	2015-01-26
475	29	7	12	2015-01-26
476	30	7	10	2015-01-26
477	31	7	10	2015-01-26
478	32	7	10	2015-01-26
479	33	7	10	2015-01-26
480	34	7	12	2015-01-26
481	35	7	11	2015-01-26
482	36	7	11	2015-01-26
483	37	7	12	2015-01-26
484	38	7	12	2015-01-26
485	39	7	12	2015-01-26
486	40	7	12	2015-01-26
487	41	7	10	2015-01-26
488	42	7	12	2015-01-26
489	43	7	10	2015-01-26
490	44	7	11	2015-01-26
491	45	7	11	2015-01-26
492	46	7	12	2015-01-26
493	47	7	10	2015-01-26
494	48	7	11	2015-01-26
495	49	7	10	2015-01-26
496	50	7	12	2015-01-26
497	51	7	10	2015-01-26
498	52	7	12	2015-01-26
499	53	7	11	2015-01-26
500	54	7	12	2015-01-26
501	55	7	12	2015-01-26
502	56	7	11	2015-01-26
503	57	7	12	2015-01-26
504	58	7	11	2015-01-26
505	59	7	10	2015-01-26
506	60	7	12	2015-01-26
507	24	8	22	2014-11-10
508	25	8	14	2014-11-10
509	26	8	14	2014-11-10
510	27	8	14	2014-11-10
511	28	8	19	2014-11-10
512	29	8	21	2014-11-10
513	30	8	20	2014-11-10
514	31	8	23	2014-11-10
515	32	8	24	2014-11-10
516	33	8	19	2014-11-10
517	34	8	14	2014-11-10
518	35	8	17	2014-11-10
519	36	8	21	2014-11-10
520	37	8	13	2014-11-10
521	38	8	12	2014-11-10
522	39	8	22	2014-11-10
523	40	8	23	2014-11-10
524	41	8	17	2014-11-10
525	42	8	16	2014-11-10
526	43	8	18	2014-11-10
527	44	8	21	2014-11-10
528	45	8	18	2014-11-10
529	46	8	13	2014-11-10
530	47	8	20	2014-11-10
531	48	8	22	2014-11-10
532	49	8	16	2014-11-10
533	50	8	16	2014-11-10
534	51	8	16	2014-11-10
535	52	8	13	2014-11-10
536	53	8	23	2014-11-10
537	54	8	21	2014-11-10
538	55	8	23	2014-11-10
539	56	8	19	2014-11-10
540	57	8	18	2014-11-10
541	58	8	15	2014-11-10
542	59	8	24	2014-11-10
543	60	8	17	2014-11-10
544	24	9	17	2014-12-01
545	25	9	24	2014-12-01
546	26	9	22	2014-12-01
547	27	9	23	2014-12-01
548	28	9	23	2014-12-04
549	29	9	21	2014-12-01
550	30	9	21	2014-12-01
551	31	9	23	2014-12-01
552	32	9	20	2014-12-01
553	33	9	23	2014-12-01
554	34	9	19	2014-12-01
555	35	9	17	2014-12-01
556	36	9	18	2014-12-01
557	37	9	22	2014-12-01
558	38	9	18	2014-12-01
559	39	9	17	2014-12-01
560	40	9	16	2014-12-05
561	41	9	20	2014-12-01
562	42	9	20	2014-12-01
563	43	9	16	2014-12-01
564	44	9	21	2014-12-01
565	45	9	20	2014-12-01
566	46	9	16	2014-12-01
567	47	9	19	2014-12-01
568	48	9	20	2014-12-01
569	49	9	19	2014-12-01
570	50	9	21	2014-12-01
571	51	9	24	2014-12-01
572	52	9	21	2014-12-01
573	53	9	23	2014-12-01
574	54	9	21	2014-12-01
575	55	9	18	2014-12-01
576	56	9	16	2014-12-01
577	57	9	19	2014-12-01
578	58	9	18	2014-12-01
579	59	9	21	2014-12-01
580	60	9	17	2014-12-01
581	24	10	18	2015-01-13
582	25	10	23	2015-01-13
583	26	10	24	2015-01-13
584	27	10	20	2015-01-13
585	28	10	20	2015-01-13
586	29	10	22	2015-01-13
587	30	10	23	2015-01-13
588	31	10	19	2015-01-13
589	32	10	21	2015-01-13
590	33	10	21	2015-01-13
591	34	10	20	2015-01-13
592	35	10	18	2015-01-13
593	36	10	23	2015-01-13
594	37	10	19	2015-01-13
595	38	10	23	2015-01-13
596	39	10	21	2015-01-13
597	40	10	18	2015-01-13
598	41	10	23	2015-01-13
599	42	10	23	2015-01-13
600	43	10	22	2015-01-13
601	44	10	19	2015-01-13
602	45	10	21	2015-01-13
603	46	10	20	2015-01-13
604	47	10	21	2015-01-13
605	48	10	23	2015-01-13
606	49	10	23	2015-01-13
607	50	10	18	2015-01-13
608	51	10	21	2015-01-13
609	52	10	24	2015-01-13
610	53	10	18	2015-01-13
611	54	10	21	2015-01-13
612	55	10	24	2015-01-13
613	56	10	22	2015-01-13
614	57	10	23	2015-01-13
615	58	10	24	2015-01-13
616	59	10	20	2015-01-13
617	60	10	21	2015-01-13
618	24	11	21	2015-02-02
619	25	11	18	2015-02-02
620	26	11	24	2015-02-02
621	27	11	20	2015-02-02
622	28	11	18	2015-02-02
623	29	11	24	2015-02-02
624	30	11	22	2015-02-02
625	31	11	19	2015-02-02
626	32	11	22	2015-02-02
627	33	11	23	2015-02-02
628	34	11	23	2015-02-02
629	35	11	20	2015-02-02
630	36	11	23	2015-02-02
631	37	11	21	2015-02-02
632	38	11	21	2015-02-02
633	39	11	18	2015-02-02
634	40	11	22	2015-02-02
635	41	11	23	2015-02-02
636	42	11	22	2015-02-02
637	43	11	21	2015-02-02
638	44	11	19	2015-02-02
639	45	11	24	2015-02-02
640	46	11	24	2015-02-02
641	47	11	24	2015-02-02
642	48	11	22	2015-02-02
643	49	11	24	2015-02-02
644	51	11	21	2015-02-02
645	52	11	18	2015-02-02
646	53	11	23	2015-02-02
647	54	11	19	2015-02-02
648	55	11	20	2015-02-02
649	56	11	18	2015-02-02
650	57	11	24	2015-02-02
651	58	11	18	2015-02-02
652	59	11	20	2015-02-02
653	60	11	22	2015-02-02
