id_miejscowosci	id_gminy	nazwa_miejscowosci	typ_miejscowosci
0770028	2012082	Aleksandrowka	wies
0143490	2404142	Aleksandrowka	wies
0287303	3009072	Aleksandrowka	wies
0564091	1404022	Aleksandrynow	wies
0044428	2002143	Aleksicze	wies
0757312	2009022	Aleksiejowka	wies
0623570	1406062	Alfonsowo	wies
0719027	1003052	Alfonsow	wies
0547780	1007052	Alfonsow	wies
0720763	1011062	Alfonsow	wies
0575290	1419112	Alfonsow	wies
0800090	1820043	Alfredowka	wies
0286195	3010043	Alinowo	wies
0104751	0603072	Alojzow	wies
0904799	0604082	Alojzow	wies
0622546	1425033	Alojzow	wies
0861995	0411032	Altana	wies
0738088	1428072	Altanka	wies
0182260	0807012	Altona	kolonia
0314454	1203013	Alwernia	miasto
0218816	2411072	Amandow	wies
0565481	1004032	Ambrozew	wies
0259850	2611042	Ambrozow	wies
0382421	0608052	Amelin	wies
0019175	0613062	Amelin	wies
0549447	1012122	Amelin	wies
0511657	1411042	Amelin	wies
0250168	2604092	Ameliowka	kolonia
0097212	0410053	Ameryczka	kolonia
0894960	0604052	Ameryka	wies
0140391	1608033	Ameryka	kolonia
0484191	2814093	Ameryka	osada
0415008	1020072	Anastazew	wies
0523471	1435062	Anastazew	wies
0300423	3023052	Anastazewo	wies
0535190	1001022	Anastazow	wies
0572707	1404032	Anatolin	wies
0035850	2005082	Ancuty	wies
0413050	1006012	Andrespol	wies
0806625	2609072	Andruszkowice	wies
0924023	1218013	Andrychow	miasto
0396943	2006022	Andrychy	wies
0024029	2003042	Andryjanki	wies
0394507	1416022	Andrzejewo	wies
0769812	2001072	Andrzejewo	osada lesna
1012577	2011072	Andrzejewo	kolonia
0770034	2012082	Andrzejewo	wies
0400567	2007022	Andrzejki	wies
0508106	1415032	Andrzejki-Tyszki	wies
0103906	0603062	Andrzejow	wies
0791148	0605042	Andrzejow	wies
0108766	0619052	Andrzejow	wies
0711480	1001062	Andrzejow	wies
0203269	1018052	Andrzejow	wies
0721656	1019042	Andrzejow	wies
0009544	1428022	Andrzejow	wies
0633225	1436032	Andrzejow	wies
0738094	1428072	Andrzejow Duranowski	wies
0108789	0619052	Andrzejow-Osada	osada
0885725	0602032	Andrzejowka	wies
0894977	0604052	Andrzejowka	wies
0454741	1210113	Andrzejowka	wies
0631752	1436022	Andrzejowka	wies
0582516	3025012	Andrzejpole	osada
0119787	1414043	Andzin	wies
0154140	2804073	Anglity	kolonia
0081330	2202032	Angowice	wies
0681483	1412112	Anielew	wies
0288248	3010052	Anielew	wies
0840763	0402022	Anielewo	kolonia
0285698	3010032	Anielewo	wies
0301240	3023083	Anielewo	wies
0858906	0418032	Anielin	wies
0786207	0607023	Anielin	wies
0389883	0614092	Anielin	wies
0569154	1002072	Anielin	wies
0706875	1003023	Anielin	wies
0548175	1007062	Anielin	wies
0555117	1012132	Anielin	wies
0704988	1017032	Anielin	wies
0415818	1020083	Anielin	wies
0564100	1404022	Anielin	wies
0613978	1406012	Anielin	wies
0618510	1407012	Anielin	wies
0628543	1407062	Anielin	wies
0120715	1420082	Anielin	wies
0636809	1425103	Anielin	wies
1046292	2808022	Anielin	osada
0211085	3007112	Anielin	wies
0528630	3031053	Anielin	kolonia
0415847	1020083	Anielin Swedowski	wies
0673472	1412082	Anielinek	wies
0774026	3218013	Anielino	wies
0094716	0410042	Anieliny	wies
0552573	1009082	Anielow	kolonia
0688172	1403112	Anielow	wies
0385980	0608082	Anielowka	wies
0104515	0606062	Anielpol	wies
0210418	3008072	Aniolka Druga	osada
0210200	3008072	Aniolka Pierwsza	wies
0210217	3008072	Aniolka-Parcele	osada
0206233	3018073	Aniolki	osada
0154157	2804073	Aniolowo	wies
0148895	2216013	Ankamaty	wies
0199303	3006023	Annapol	wies
0559138	1002022	Annetow	wies
0384555	0608072	Annobor	wies
0384561	0608072	Annobor-Kolonia	kolonia
0592087	3024042	Annogora	kolonia
0711497	1001062	Annolesie	wies
0142622	2406072	Annolesie	wies
0110993	0603142	Annopol	kolonia
0889025	0604042	Annopol	wies
0786213	0607023	Annopol	miasto
0383136	0608063	Annopol	wies
0577640	1404052	Annopol	wies
0614707	1406022	Annopol	wies
0517967	1422072	Annopol	wies
0691837	1434102	Annopol	wies
0202353	3007062	Annopol	kolonia
0202347	3007062	Annopol	wies
0373221	3022033	Annopol	osada
0537303	1016042	Annopol Duzy	wies
0537310	1016042	Annopol Maly	wies
0596659	3025043	Annopole	wies
0530241	3031062	Annopole	osada
0721840	1019042	Annopole Nowe	wies
0721538	1019042	Annopole Stare	wies
0726240	1013052	Annoslaw	wies
0844502	0406022	Annowo	wies
0866248	0418123	Annowo	wies
0085120	0419022	Annowo	wies
0091238	0419043	Annowo	wies
0582077	3021042	Annowo	wies
0905669	0609162	Annow	wies
0720770	1011062	Annow	wies
0537326	1016042	Annow	wies
0632154	1436022	Annow	wies
0383159	0608063	Annowka	wies
0204197	3007072	Annowka	wies
0689190	0611072	Anonin	wies
0374752	3004052	Anteczkow	osada
0014410	0601072	Antolin	wies
0799546	0605062	Antolin	wies
0536812	1016032	Antolin	wies
0246304	1208042	Antolka	wies
0139123	2409032	Antolka	wies
0753870	2818012	Antomieszki	osada
0513343	1415072	Antonia	wies
0518300	2817052	Antonia	wies
0515738	1415092	Antonie	wies
0142869	2406072	Antonie	wies
0544970	1010052	Antonielow	wies
0248289	2604082	Antonielow	wies
0558707	1002022	Antoniew	wies
0705597	1008062	Antoniew	wies
0702400	1011012	Antoniew	wies
0412731	1020043	Antoniew	wies
0413512	1020052	Antoniew	wies
0733576	1428052	Antoniew	wies
0738639	1428072	Antoniew	wies
0739219	1438052	Antoniew	wies
0702110	1011012	Antoniew-Lubocha	osada
0784527	3206083	Antoniewice	kolonia
0178399	3202012	Antoniewko	osada lesna
0858154	0401052	Antoniewo	wies
0843276	0405032	Antoniewo	kolonia
0865119	0418113	Antoniewo	wies
0516241	1416072	Antoniewo	wies
0565015	1427022	Antoniewo	wies
0125167	1437052	Antoniewo	wies
0080039	2202023	Antoniewo	wies
0482364	2815083	Antoniewo	osada
0527196	3002052	Antoniewo	wies
0373497	3022033	Antoniewo	osada
0594590	3028053	Antoniewo	osada
0594583	3028053	Antoniewo	osada lesna
0594608	3028053	Antoniewo Gorne	osada
0606292	1809042	Antoniki	wies
1004550	0213012	Antonin	osada
0700826	1014052	Antonin	wies
0714700	1019023	Antonin	wies
0671728	1403052	Antonin	kolonia
0395560	2013023	Antonin	wies
0155530	2207043	Antonin	wies
0211458	3006043	Antonin	wies
0209668	3007102	Antonin	wies
0591372	3016013	Antonin	wies
1007607	3017052	Antonin	osada
0207327	3017052	Antonin	wies
0586187	3021083	Antonin	osada
0711528	1001062	Antonina	wies
0145780	1009072	Antonina	wies
0710322	1011033	Antonina	wies
0670226	1412062	Antonina	wies
0673489	1412082	Antonina	wies
0674550	1417052	Antoninek	wies
0595080	3021143	Antoninek	osada
0551591	1007072	Antoninow	wies
0723253	1013023	Antoninow	wies
0564122	1404022	Antoninow	wies
0006149	1418043	Antoninow	wies
0569421	1419072	Antoninow	wies
0529657	3001053	Antoniny	wies
0592093	3024042	Antoniny	przysiolek
0192301	0206092	Antoniow	wies
0386324	0610042	Antoniow	wies
0546897	1007043	Antoniow	wies
0557599	1007082	Antoniow	wies
0543574	1012072	Antoniow	wies
0617048	1409022	Antoniow	wies
0618711	1423022	Antoniow	wies
0637200	1425103	Antoniow	wies
0615718	1430012	Antoniow	wies
0501050	1609083	Antoniow	wies
0804649	1818042	Antoniow	wies
0134232	2404052	Antoniow	osada lesna
0136952	2404082	Antoniow	kolonia
0139117	2404112	Antoniow	wies
0266057	2604162	Antoniow	osada
0226260	2607022	Antoniow	wies
0386330	0610042	Antoniow-Kolonia	kolonia
0888215	0606032	Antoniowka	wies
0388702	0608112	Antoniowka	wies
0384058	0609092	Antoniowka	wies
0905379	0609152	Antoniowka	wies
0891683	0618042	Antoniowka	wies
0890554	0620032	Antoniowka	wies
0541397	1001042	Antoniowka	wies
0551616	1007072	Antoniowka	wies
0625355	1425062	Antoniowka	wies
0631769	1436022	Antoniowka	wies
0810638	1818052	Antoniowka	kolonia
0680271	1403072	Antoniowka Swierzowska	wies
0680302	1403072	Antoniowka Wilczkowska	wies
0507182	1416043	Antonowo	osada lesna
0038273	2003062	Antonowo	kolonia
0757855	2806042	Antonowo	wies
0143691	2406082	Antonow	wies
0379784	0612012	Antonowka	wies
0017644	0613052	Antopol	wies
0543605	1012072	Antopol	kolonia
0736528	1428062	Antosin	wies
0771803	2012092	Antosin	wies
0867294	0411053	Anusin	wies
0107436	0603112	Anusin	wies
0578590	1004082	Anusin	kolonia
0721030	1011062	Anusin	wies
0617054	1409022	Anusin	wies
0037954	2010072	Anusin	kolonia
0039404	2010092	Anusin	wies
0764128	2816033	Anuszewo	osada
0161335	2214023	Aplinki	osada
0535209	1001022	Apolinow	wies
0719240	1003052	Apolonia	wies
0556418	1010112	Apolonka	wies
0133149	2404032	Apolonka	wies
0133155	2404032	Apolonka-Lesniczowka	osada lesna
0468950	2808022	Aptynty	osada
0027401	2010023	Arbasy	wies
0121927	1420092	Arcelin	wies
0560176	1419022	Archutowo	wies
0560182	1419022	Archutowko	wies
0566010	1428032	Arciechow	wies
0007539	1434093	Arciechow	wies
0566026	1428032	Arciechowek	wies
0858668	0418032	Arciszewo	wies
0169348	2204042	Arciszewo	osada
0590421	3003082	Arcugowo	wies
0470250	2801032	Ardapy	wies
0528066	3019052	Arentowo	wies
0871048	0401082	Ariany	wies
0732967	1005092	Arkadia	wies
0468967	2808022	Arklity	osada
0291894	3009113	Arkuszewo	wies
0996301	1801083	Arlamow	osada
0089402	0407063	Arturowo	osada
0681490	1412112	Arynow	wies
0080068	2202023	Asmus	wies
0416433	1020092	Astachowice	wies
0468980	2808022	Asuny	wies
0642796	1436053	Atalin	wies
0529522	3001053	Atanazyn	wies
0762810	2001052	Ateny	osada lesna
0762804	2001052	Ateny	wies
0753969	2818012	Audyniszki	wies
0473916	2801052	Augamy	wies
0562850	1002032	Augustopol	wies
0841277	0402042	Augustowo	osada
0084451	0403032	Augustowo	wies
0079349	0419013	Augustowo	wies
0126474	1413052	Augustowo	wies
0509181	1435022	Augustowo	wies
0023248	2003032	Augustowo	wies
0473508	2817022	Augustowo	osada
0597469	3005053	Augustowo	wies
0376047	3013043	Augustowo	wies
0587703	3014022	Augustowo	wies
0526618	3031033	Augustowo	wies
0368349	0205062	Augustow	osada
0618220	1007023	Augustow	wies
0550841	1009052	Augustow	wies
0621452	1407042	Augustow	wies
0117274	1422052	Augustow	wies
0626900	1425072	Augustow	wies
0630505	1425082	Augustow	wies
0977539	2001011	Augustow	miasto
0001130	1414022	Augustowek	wies
0019181	0613062	Augustowka	wies
0683105	1417062	Augustowka	wies
0037687	2010072	Augustynka	wies
0862836	0418083	Augustynowo	wies
0535215	1001022	Augustynow	wies
0715070	1014093	Augustynow	wies
0706355	1018042	Augustynow	wies
0282257	3009043	Augustynow	wies
0301256	3023083	Augustynow	wies
0153689	2809053	Augustyny	wies
0533280	3019083	Auguscin	wies
0032170	2011032	Aulakowszczyzna	wies
0903819	0604072	Aurelin	wies
0154163	2804073	Awajki	wies
1024445	0615032	Awuls	osada lesna
0091267	0409033	Baba	osada
0091273	0409033	Baba	osada lesna
0869732	0412052	Baba	wies
0513366	1415072	Baba	wies
0840421	2812022	Babalice	wies
0767894	2009052	Babance	wies
0542801	1012062	Babczow	wies
0388719	0608112	Babczyzna	wies
0177106	2205083	Babi Dol	wies
0528511	3031053	Babi Dwor	osada
0293798	3010082	Babia	wies
0842992	0405032	Babiak	kolonia
0479623	2809032	Babiak	wies
0280809	3009022	Babiak	wies
1023575	0613043	Babianka	kolonia
0016780	0613043	Babianka	wies
0073750	1218093	Babica	wies
0648310	1819012	Babica	wies
0896090	0602102	Babice	wies
0990853	1008062	Babice	wies
0211808	1203022	Babice	wies
0063638	1213062	Babice	wies
0692334	1403122	Babice	wies
0491015	1602013	Babice	wies
0605022	1813052	Babice	wies
0217580	2411062	Babice	wies
0008929	1432072	Babice Nowe	wies
0664852	1811092	Babicha	wies
0415681	1006102	Babichy	wies
0705628	1008062	Babiczki	wies
0163819	2204032	Babidol	wies
0574066	1427042	Babiec Piaseczny	wies
0574072	1427042	Babiec Rzaly	wies
0574089	1427042	Babiec-Wieczanki	wies
1056310	1427042	Babiec-Wrzosy	kolonia
0146850	2407083	Babienica	wies
0720450	1011062	Babieniec	przysiolek
0478552	2808043	Babieniec	wies
0485925	2810042	Babieta	wies
0157954	2807063	Babiety Wielkie	wies
0781530	3204062	Babigoszcz	wies
0041890	2011102	Babiki	wies
0627911	1409033	Babilon	wies
0081659	2202032	Babilon	osada
0988342	0809013	Babimost	miasto
0364618	0209032	Babin	wies
0378460	0609013	Babin	wies
0633260	1436032	Babin	wies
0296236	3023072	Babin	wies
0596671	3025043	Babin	osada
0784361	3206083	Babin	osada
0772814	3212012	Babin	wies
0296271	3023072	Babin-Oledry	wies
0717270	1003042	Babina	wies
0772636	3206012	Babinek	wies
0772820	3212012	Babinek	wies
0714656	1019023	Babiniec	kolonia
0025030	2002013	Babino	wies
0996672	0409033	Babka	osada
1029359	0409022	Babki	osada
0758990	2818033	Babki	osada
0589412	3021103	Babki	wies
0763241	2813043	Babki Gaseckie	wies
0763258	2813043	Babki Oleckie	wies
0374226	3004042	Babkowice	wies
0595690	3024073	Baborowo	wies
0965200	1602013	Baborow	miasto
0595708	3024073	Baborowko	wies
0111515	1420032	Baboszewo	wies
0764134	2816033	Babrosty	wies
0108826	0619052	Babsk	kolonia
0108795	0619052	Babsk	wies
0723260	1013023	Babsk	wies
0739231	1438052	Babski Borek	osada lesna
0739225	1438052	Babskie Budy	wies
0057550	1213043	Babuda	osada
0803035	1811062	Babule	wies
0562867	1002032	Baby	wies
0546383	1010062	Baby	wies
0112360	1402022	Baby	wies
0166670	2213062	Baby	osada lesna
0136768	2404082	Baby	wies
0204926	3017033	Baby	osada
0564145	1404022	Baby Dolne	wies
0564151	1404022	Baby Gorne	wies
0759200	2012032	Bachanowo	wies
0355565	1821033	Bachlawa	wies
0040844	2011093	Bachmackie Kolonie	kolonia
0039947	2011083	Bachmatowka	wies
0843550	0402053	Bachor	osada
0089419	0407063	Bachorce	wies
0872088	0401092	Bachorza	wies
0012463	1410012	Bachorza	wies
0688597	1429082	Bachorza	wies
0767859	2806083	Bachorza	osada
1014085	2202032	Bachorze	osada
0081369	2202032	Bachorze	osada lesna
0199326	3006023	Bachorzew	osada lesna
0199310	3006023	Bachorzew	wies
0862180	0408043	Bachorzewo	wies
0700281	1003012	Bachorzyn	wies
0850773	0402102	Bachotek	wies
0067613	1218062	Bachowice	wies
0601202	1816052	Bachorz	wies
0600237	1813022	Bachorzec	wies
0605080	1813052	Bachow	wies
0034111	2002072	Bachury	wies
0106572	0603102	Bachus	kolonia
0039410	2010092	Baciki Blizsze	wies
0039440	2010092	Baciki Dalsze	wies
0039456	2010092	Baciki Srednie	wies
0042458	2002112	Baciuty	wies
0042487	2002112	Baciuty-Kolonia	kolonia
0121376	1402072	Bacze	wies
0410755	2014052	Bacze Mokre	wies
0400580	2007022	Bacze Suche	wies
0400596	2007022	Bacze-Lipnik	kolonia
0684790	1429062	Baczki	wies
0678682	1433053	Baczki	wies
0695605	0611112	Baczkow	wies
0811796	1201022	Baczkow	wies
0048685	1215032	Baczyn	wies
0179039	3202023	Baczyn	kolonia
0182567	0801052	Baczyna	wies
0243369	2605033	Baczyna	wies
0182573	0801052	Baczyna-Kolonia	kolonia
0774859	3207023	Baczyslaw	wies
0786615	2606012	Backowice	wies
0732358	1438023	Badowo-Danki	wies
0732364	1438023	Badowo-Msciska	wies
0732370	1438023	Badow Gorny	wies
0255912	2601032	Badrzychowice	wies
0630020	1423042	Badulki	wies
0205676	3017042	Bagatela	osada lesna
0522419	1416102	Bagatele	wies
0208717	1018062	Bagatelka	wies
0533423	3019083	Bagdad	osada
0313986	3208072	Bagicz	wies
0085670	0416022	Bagienica	wies
0507236	1422023	Bagienice	wies
0409516	2004062	Bagienice	wies
0404329	2007062	Bagienice	wies
0482944	2810032	Bagienice	wies
0117676	1437022	Bagienice Duze	wies
0117682	1437022	Bagienice Male	wies
0482950	2810032	Bagienice Male	wies
0117831	1437022	Bagienice Nowe	wies
0511670	1411042	Bagienice Szlacheckie	wies
0511663	1411042	Bagienice-Folwark	wies
0852482	0219043	Bagieniec	wies
0043096	2002123	Bagienki	wies
0506567	1435012	Bagienko	osada lesna
0482045	2815073	Bagiensko	wies
0396950	2006022	Baginskie	wies
1024505	0615052	Bagna	kolonia
0082794	2202043	Bagna	wies
0166344	2206062	Bagna	osada
0143716	2406082	Bagna	wies
0778857	3204033	Bagna	wies
0750190	2203072	Bagnica	osada lesna
0308761	3209063	Bagnica	osada
0093852	0414082	Bagniewko	wies
0303485	3215033	Bagniewko	osada
0093869	0414082	Bagniewo	wies
0181177	0806023	Bagniewo	wies
0034128	2002072	Bagniuki	wies
0878547	0220013	Bagno	wies
0865125	0418113	Bagno	wies
0906982	0620153	Bagno	wies
0913700	0812013	Bagno	wies
0550315	1010082	Bagno	wies
1066308	1202023	Bagno	przysiolek
0003010	1408022	Bagno	osada lesna
0029245	2002042	Bagno	kolonia
0408215	2007072	Bagno	kolonia
0030952	2008032	Bagno	wies
1045625	2812052	Bagno	osada lesna
0847067	2812052	Bagno	wies
0313348	3209082	Bagno	osada
0026420	2011013	Bagny	wies
0582485	3025012	Bagrowo	osada
0361844	1807092	Bajdy	wies
0490530	2807073	Bajdy	wies
0470266	2801032	Bajdyty	osada
0844896	0404032	Bajerze	wies
0032922	2008052	Bajki-Zalesie	wies
0549460	1012122	Bajkowizna	osada
0488289	2808062	Bajorki	osada
0488295	2808062	Bajorski Gaj	osada
0488303	2808062	Bajory Male	wies
0488272	2808062	Bajory Wielkie	wies
0756123	2805022	Bajtkowo	wies
0753231	2012012	Bakalarzewo	wies
0766430	2012052	Bakaniuk	wies
0505941	1415012	Bakula	wies
0109211	0603122	Bakus-Wanda	wies
0801183	2606043	Balbinow	wies
0504315	1611063	Balcarzowice	wies
0737500	1015082	Balcerow	wies
0085835	0407042	Balczewo	wies
0151035	2207032	Baldram	wies
0851749	0224022	Baldwinowice	wies
0499413	1606023	Baldwinowice	wies
0682070	1426042	Bale	wies
0152402	2216022	Balewko	osada
0152320	2216022	Balewo	osada
0152081	2804042	Balewo	wies
0086349	0407053	Balice	wies
0343533	1206162	Balice	wies
0237989	2601022	Balice	wies
0344403	1821012	Baligrod	wies
0402537	2007043	Baliki	wies
0580115	1002113	Balikow	wies
0085841	0407042	Balin	wies
0868796	0412042	Balin	wies
0710339	1011033	Balin	wies
0213380	1203033	Balin	wies
0769315	2001072	Balinka	wies
0572972	1004062	Balkow	wies
0354241	1817042	Balnica	osada
0166090	2206062	Balachy	osada
0605878	1809042	Balaje	wies
0204889	3017033	Balamacek	osada
0752295	2212102	Balamatek	wies
0768468	2805052	Balamutowo	wies
0438400	1207072	Balazowka	wies
0477274	2814072	Balag	wies
0484877	2815092	Balcyny	osada
0198077	3007042	Baldon	wies
0199964	3018042	Baldowice	wies
0871367	0408092	Baldowo	wies
0175573	2214062	Baldowo	wies
0710345	1011033	Baldrzychow	wies
0486474	2814102	Baldy	osada
0486480	2814102	Baldzki Piec	wies
0684808	1429062	Balki	wies
0143998	2613042	Balkow	wies
0157977	2807063	Baloszyce	osada
0157983	2807063	Baloszyce Male	osada
0477311	2808032	Balowo	osada
0394341	0614112	Baltow	wies
0226299	2607022	Baltow	wies
0477357	2808032	Baltrucie	osada
0358753	1807083	Balucianka	wies
0706881	1003023	Balucz	wies
0758323	2818033	Balupiany	wies
0793070	1812012	Banachy	wies
0477370	2808032	Banaszki	osada
0361502	1801083	Bandrow Narodowy	wies
0507940	1415022	Bandysie	wies
