Nr_ankiety	pyt1	pyt2	pyt3	pyt4	pyt5	pyt6	Id_szkoly	Plec
a0061	4	1	1	2	4	2	S002	k
a0062	2	2	1	3	2	5	S002	k
a0063	3	2	3	3	5	3	S002	k
a0064	3	4	1	1	5	4	S002	m
a0065	5	3	3	4	4	5	S002	k
a0066	5	2	2	2	1	2	S002	k
a0067	3	2	1	3	4	4	S002	m
a0068	2	4	4	4	1	3	S002	m
a0069	4	4	4	3	1	3	S002	m
a0070	4	3	4	4	2	3	S002	m
a0071	5	2	3	3	1	4	S002	m
a0072	4	3	3	3	1	4	S002	m
a0073	5	3	1	1	4	4	S002	m
a0074	3	1	3	2	5	4	S002	m
a0075	4	3	3	3	2	2	S002	m
a0076	5	1	3	4	1	2	S002	m
a0077	3	2	1	3	3	4	S002	m
a0078	3	3	2	1	1	4	S002	m
a0079	4	2	1	4	1	4	S002	m
a0080	5	2	2	1	5	5	S002	m
a0081	2	2	1	3	3	1	S003	k
a0082	5	2	2	5	2	4	S003	k
a0083	3	1	1	3	1	5	S003	m
a0084	5	1	4	4	4	3	S003	k
a0085	4	3	1	4	4	4	S003	k
a0086	3	3	3	3	3	4	S003	k
a0087	5	2	4	3	1	1	S003	k
a0088	3	2	4	1	1	4	S003	m
a0089	3	1	1	2	3	3	S003	k
a0090	5	1	4	3	4	4	S003	m
a0091	4	2	3	2	4	4	S003	k
a0092	4	2	3	3	3	2	S003	m
a0093	5	3	1	1	3	5	S003	k
a0094	1	2	4	4	5	2	S003	m
a0095	4	2	2	1	2	2	S003	m
a0096	5	2	1	2	4	2	S003	m
a0097	2	3	2	3	1	5	S003	k
a0098	5	2	3	4	3	2	S003	m
a0099	5	3	2	2	2	4	S003	k
a0100	5	1	1	2	5	2	S003	m
a0101	1	1	1	3	2	2	S003	m
a0102	1	2	2	1	1	3	S003	k
a0103	5	2	3	4	3	2	S003	k
a0104	3	1	1	2	5	2	S003	k
a0105	2	1	1	4	5	2	S003	k
a0106	2	2	3	4	3	3	S003	m
a0107	5	1	2	3	3	2	S003	k
a0108	5	2	3	2	3	5	S003	k
a0109	3	2	1	3	5	3	S003	m
a0110	1	2	2	3	2	4	S003	k
a0111	1	3	3	1	2	3	S003	k
a0112	4	1	1	4	3	3	S003	k
a0113	1	1	4	1	3	1	S003	k
a0114	4	2	2	3	1	2	S003	k
a0115	1	1	3	1	4	1	S003	k
a0116	2	3	1	2	4	5	S003	k
a0117	4	2	3	3	3	3	S003	k
a0118	2	3	2	3	3	3	S003	k
a0119	2	3	1	3	3	5	S003	k
a0120	4	2	1	2	1	3	S003	k
a0121	1	2	2	1	5	2	S004	k
a0122	4	2	2	4	2	1	S004	k
a0123	5	2	4	4	2	4	S004	k
a0124	5	1	4	2	3	3	S004	k
a0125	2	1	1	2	1	4	S004	k
a0126	3	1	3	1	3	4	S004	k
a0127	1	1	5	4	5	5	S004	m
a0128	4	3	1	2	3	5	S004	k
a0129	1	2	4	1	5	1	S004	m
a0130	5	2	3	1	3	1	S004	k
a0131	2	2	1	1	5	2	S004	k
a0132	4	1	1	3	4	4	S004	m
a0133	2	1	2	2	1	1	S004	m
a0134	1	2	2	3	2	5	S004	k
a0135	2	1	4	4	1	4	S004	k
a0136	2	2	2	4	4	1	S004	m
a0137	5	1	1	1	3	3	S004	k
a0138	1	1	4	4	5	1	S004	m
a0139	4	1	1	3	3	4	S004	k
a0140	4	2	2	2	5	3	S004	k
a0141	5	1	3	4	3	1	S004	k
a0142	4	2	3	1	4	1	S004	k
a0143	3	1	4	3	5	3	S004	k
a0144	5	1	4	4	2	1	S004	m
a0145	2	2	2	1	5	2	S004	m
a0146	4	2	4	3	2	2	S004	k
a0147	4	1	1	3	1	4	S004	m
a0148	4	1	1	3	2	5	S004	m
a0149	2	2	4	4	4	2	S004	k
a0150	3	2	3	4	2	1	S004	k
a0151	3	1	2	2	5	2	S004	k
a0152	1	1	2	2	5	3	S004	k
a0153	1	1	4	4	4	5	S004	k
a0154	1	2	2	1	3	5	S004	k
a0155	5	2	4	1	4	1	S004	k
a0156	2	3	2	4	2	5	S004	k
a0157	5	1	5	4	3	1	S004	k
a0158	2	5	4	2	2	3	S004	k
a0159	4	1	5	4	1	5	S004	k
a0160	1	2	2	3	4	2	S004	k
a0161	3	1	1	2	1	2	S005	m
a0162	5	1	2	3	3	4	S005	m
a0163	2	4	2	5	4	4	S005	m
a0164	4	2	4	2	2	4	S005	m
a0165	3	3	2	3	4	4	S005	m
a0166	5	3	3	1	4	5	S005	m
a0167	5	2	3	3	3	4	S005	k
a0168	5	2	2	3	4	4	S005	k
a0169	1	2	3	2	2	2	S005	k
a0170	1	4	3	2	4	4	S005	k
a0171	4	3	4	2	1	5	S005	k
a0172	4	2	3	1	4	5	S005	m
a0173	4	1	1	1	1	5	S005	k
a0174	1	4	3	2	5	3	S005	m
a0175	5	2	3	2	4	4	S005	m
a0176	2	2	2	3	3	4	S005	k
a0177	3	1	2	4	2	5	S005	m
a0178	3	4	1	1	4	4	S005	k
a0179	5	1	3	2	1	4	S005	k
a0180	3	1	1	1	5	5	S005	m
a0181	4	1	2	4	5	5	S005	k
a0182	5	4	4	4	2	4	S005	k
a0183	3	2	4	4	4	3	S005	k
a0184	4	3	1	4	2	2	S005	k
a0185	4	1	2	3	3	3	S005	m
a0186	5	2	3	3	3	4	S005	k
a0187	3	1	3	2	3	5	S005	k
a0188	5	1	2	3	2	4	S005	m
a0189	2	2	2	4	3	4	S005	m
a0190	3	2	4	2	3	2	S005	k
a0191	5	3	1	3	2	1	S005	m
a0192	4	1	4	4	2	4	S005	m
a0193	5	3	4	4	3	1	S005	m
a0194	5	3	4	4	3	2	S005	m
a0195	5	3	4	3	3	4	S005	m
a0196	5	1	3	3	3	3	S005	m
a0197	5	1	4	1	5	1	S005	m
a0198	3	1	2	3	3	3	S005	m
a0199	3	2	1	3	3	4	S005	m
a0200	5	4	1	3	2	4	S005	m
a0201	5	3	3	4	1	5	S005	m
a0202	4	1	3	4	4	3	S005	m
a0203	5	4	1	1	2	2	S006	k
a0204	4	3	1	4	4	5	S006	m
a0205	5	1	1	4	4	5	S006	k
a0206	4	4	4	3	3	4	S006	k
a0207	5	1	3	1	3	5	S006	m
a0208	5	1	2	3	2	4	S006	k
a0209	5	3	3	4	2	3	S006	k
a0210	5	1	4	5	4	5	S006	m
a0211	4	2	4	3	1	3	S006	k
a0212	5	2	2	3	5	4	S006	k
a0213	2	4	1	3	3	4	S006	m
a0214	4	2	1	3	4	4	S006	k
a0215	3	3	3	3	2	3	S006	m
a0216	3	4	2	1	4	5	S006	k
a0217	5	1	2	3	4	4	S006	m
a0218	5	2	4	3	5	4	S006	k
a0219	4	2	2	4	2	2	S006	m
a0220	4	1	2	1	1	2	S006	k
a0221	4	1	2	2	4	2	S006	k
a0222	4	1	4	1	4	3	S006	m
a0223	1	1	3	3	2	4	S006	k
a0224	4	2	4	3	5	2	S006	k
a0225	3	2	1	3	2	4	S006	k
a0226	4	3	2	3	3	5	S006	m
a0227	3	1	4	1	4	4	S006	m
a0228	4	4	1	3	5	3	S006	k
a0229	5	2	4	1	5	3	S006	k
a0230	2	4	1	2	3	4	S006	k
a0231	3	3	2	4	2	4	S006	m
a0232	2	1	3	3	3	5	S006	k
a0233	5	2	2	5	3	2	S006	k
a0234	2	4	2	3	3	4	S006	k
a0235	5	3	4	3	2	4	S006	k
a0236	3	2	1	1	3	2	S006	k
a0237	5	4	4	2	2	5	S006	k
a0238	4	1	2	2	2	5	S006	k
a0239	5	3	1	5	3	3	S006	k
a0240	4	4	2	2	4	5	S006	k
a0241	5	2	1	3	4	2	S006	k
a0242	3	3	3	3	4	4	S006	k
a0243	5	2	4	2	3	3	S007	k
a0244	5	4	3	4	2	5	S007	m
a0245	5	3	1	1	3	3	S007	k
a0246	2	1	3	3	5	4	S007	k
a0247	5	1	2	3	2	4	S007	k
a0248	4	4	3	3	1	5	S007	k
a0249	3	1	2	4	4	3	S007	m
a0250	2	2	1	1	2	4	S007	k
a0251	4	3	4	3	2	5	S007	m
a0252	2	3	1	3	3	4	S007	k
a0253	2	1	4	4	2	4	S007	k
a0254	2	1	2	5	4	2	S007	m
a0255	3	4	2	1	3	4	S007	m
a0256	5	1	4	1	3	4	S007	k
a0257	5	3	4	3	1	5	S007	k
a0258	4	1	1	4	2	3	S007	k
a0259	4	1	1	1	4	4	S007	k
a0260	2	4	1	2	2	3	S007	m
a0261	2	3	1	4	4	5	S007	m
a0262	5	4	4	4	4	2	S007	m
a0263	5	2	3	3	1	3	S007	k
a0264	5	2	3	3	4	4	S007	m
a0265	2	2	1	3	2	5	S007	k
a0266	2	3	1	2	2	5	S007	k
a0267	4	1	4	4	2	4	S007	k
a0268	4	3	1	4	3	3	S007	m
a0269	3	1	4	2	5	2	S007	m
a0270	4	1	2	4	5	4	S007	k
a0271	5	4	4	1	5	4	S007	m
a0272	4	1	2	2	3	5	S007	m
a0273	4	1	2	3	3	4	S007	m
a0274	4	2	1	3	3	2	S007	m
a0275	3	2	1	1	1	5	S007	m
a0276	3	3	1	3	3	3	S007	m
a0277	4	4	1	1	2	2	S007	m
a0278	5	2	2	4	2	4	S007	m
a0279	2	3	1	4	5	1	S007	m
a0280	3	2	3	1	1	1	S007	m
a0281	2	1	2	3	2	3	S007	m
a0282	5	2	3	1	2	4	S007	m
a0283	3	1	1	4	3	5	S008	k
a0284	2	4	1	3	4	5	S008	k
a0285	3	3	3	3	4	5	S008	k
a0286	2	2	2	3	3	2	S008	m
a0287	2	2	2	1	3	4	S008	k
a0288	2	3	3	3	1	3	S008	k
a0289	3	3	2	1	1	4	S008	m
a0290	1	2	3	3	3	4	S008	k
a0291	3	3	3	4	2	5	S008	m
a0292	1	2	4	2	2	1	S008	m
a0293	5	4	1	2	3	4	S008	m
a0294	3	2	2	4	4	2	S008	k
a0295	1	2	4	1	2	4	S008	k
a0296	3	3	2	4	4	1	S008	k
a0297	2	3	3	4	4	4	S008	k
a0298	4	3	1	3	3	5	S008	m
a0299	2	4	3	1	3	5	S008	k
a0300	5	4	3	3	1	1	S008	m
a0301	3	2	1	1	4	1	S008	m
a0302	1	2	4	2	5	3	S008	m
a0303	1	3	3	3	3	2	S008	m
a0304	1	3	1	4	5	1	S008	k
a0305	3	2	1	3	5	3	S008	m
a0306	4	3	3	3	2	3	S008	k
a0307	3	3	2	3	1	4	S008	k
a0308	3	3	3	3	3	2	S008	m
a0309	2	2	2	3	5	5	S008	k
a0310	2	3	3	2	2	5	S008	m
a0311	3	4	4	1	2	2	S008	k
a0312	4	3	3	4	3	3	S008	k
a0313	4	2	3	3	4	1	S008	m
a0314	3	1	1	3	5	1	S008	k
a0315	3	2	2	4	2	5	S008	k
a0316	1	4	2	3	3	5	S008	k
a0317	3	3	3	1	4	4	S008	k
a0318	3	2	3	3	5	1	S008	k
a0319	2	3	4	1	2	5	S008	k
a0320	1	2	2	1	4	3	S008	k
a0321	1	4	3	2	3	3	S008	k
a0322	2	2	1	4	3	1	S008	k
a0323	4	4	3	3	4	2	S008	k
a0324	4	2	2	2	5	1	S008	k
a0325	2	1	5	1	4	4	S009	m
a0326	4	1	5	2	4	4	S009	m
a0327	4	1	4	3	2	1	S009	k
a0328	5	1	4	1	3	5	S009	k
a0329	3	1	4	3	2	2	S009	m
a0330	5	2	1	3	2	3	S009	m
a0331	4	1	1	3	1	3	S009	m
a0332	2	2	1	3	2	1	S009	k
a0333	3	1	5	3	4	3	S009	k
a0334	5	1	4	4	5	1	S009	m
a0335	2	5	1	1	5	5	S009	m
a0336	2	3	4	4	3	2	S009	k
a0337	3	3	2	3	1	1	S009	m
a0338	2	3	2	3	4	3	S009	m
a0339	2	2	1	4	3	5	S009	k
a0340	1	1	4	1	4	4	S009	k
a0341	2	1	4	1	4	2	S009	k
a0342	2	3	1	1	4	2	S009	k
a0343	5	1	3	4	2	3	S009	k
a0344	1	3	2	3	2	4	S009	k
a0345	3	1	4	3	3	4	S009	m
a0346	5	5	4	4	3	3	S009	m
a0347	2	3	1	3	4	5	S009	m
a0348	4	2	2	3	1	1	S009	k
a0349	4	2	3	3	5	4	S009	m
a0350	2	3	1	1	5	1	S009	m
a0351	2	1	2	3	1	3	S009	k
a0352	5	2	4	1	4	3	S009	k
a0353	1	5	1	3	4	2	S009	k
a0354	4	1	1	4	4	2	S009	k
a0355	3	1	1	1	3	5	S009	m
a0356	5	1	1	3	4	1	S009	k
a0357	5	1	4	3	1	4	S009	m
a0358	3	1	4	3	2	1	S009	m
a0359	5	2	1	4	1	1	S009	m
a0360	1	3	3	3	4	4	S009	m
a0361	2	1	3	3	4	2	S009	m
a0362	3	1	1	3	2	2	S009	m
a0363	2	1	2	3	5	4	S009	m
a0364	4	1	4	3	2	3	S009	m
a0365	5	2	3	1	4	3	S009	m
a0366	3	2	4	3	4	4	S010	k
a0367	3	1	3	3	3	5	S010	m
a0368	2	3	1	2	4	2	S010	k
a0369	3	2	2	1	3	3	S010	k
a0370	1	3	1	3	1	1	S010	k
a0371	3	2	3	3	3	3	S010	m
a0372	4	2	1	2	4	5	S010	k
a0373	2	3	4	3	3	1	S010	m
a0374	1	1	5	2	1	5	S010	m
a0375	2	2	4	1	1	5	S010	m
a0376	4	1	1	1	1	1	S010	k
a0377	5	2	3	3	4	2	S010	k
a0378	4	2	4	3	2	3	S010	m
a0379	4	1	2	3	2	3	S010	k
a0380	1	1	2	3	3	4	S010	k
a0381	4	3	1	3	3	3	S010	m
a0382	5	3	3	4	2	5	S010	m
a0383	5	1	3	1	1	1	S010	m
a0384	2	3	1	1	4	5	S010	m
a0385	1	3	3	2	4	2	S010	k
a0386	5	2	4	3	5	2	S010	m
a0387	2	1	1	4	5	3	S010	k
a0388	2	2	4	3	2	4	S010	m
a0389	1	3	2	4	4	1	S010	m
a0390	1	2	1	3	3	2	S010	k
a0391	4	2	5	1	1	1	S010	k
a0392	4	1	4	5	5	2	S010	m
a0393	4	1	2	3	5	3	S010	k
a0394	1	3	3	2	3	2	S010	m
a0395	2	2	3	2	2	1	S010	m
a0396	2	3	2	5	4	5	S010	m
a0397	1	2	4	3	5	4	S010	m
a0398	1	2	1	1	3	4	S010	m
a0399	3	2	1	4	3	5	S010	m
a0400	2	1	4	1	5	3	S010	m
a0401	2	3	4	1	1	1	S010	m
a0402	5	1	4	1	2	5	S010	m
a0403	2	2	1	3	5	5	S010	m
a0404	5	1	3	2	2	3	S010	m
a0405	2	2	4	4	2	3	S010	m
a0406	3	2	2	1	3	3	S010	m
a0407	2	2	1	2	3	3	S010	m
a0408	5	4	1	3	2	1	S011	k
a0409	5	2	4	1	5	3	S011	k
a0410	3	2	1	1	3	5	S011	k
a0411	2	1	1	3	1	1	S011	k
a0412	3	3	1	4	5	2	S011	m
a0413	2	4	2	3	3	3	S011	k
a0414	2	4	4	3	5	1	S011	k
a0415	4	3	3	3	4	3	S011	k
a0416	3	3	5	2	1	2	S011	k
a0417	2	3	4	1	2	1	S011	m
a0418	4	4	4	4	1	4	S011	m
a0419	5	2	1	4	4	2	S011	k
a0420	4	2	3	4	2	1	S011	k
a0421	5	4	1	3	2	2	S011	k
a0422	5	1	4	3	5	4	S011	m
a0423	1	4	4	1	2	5	S011	m
a0424	5	2	2	3	3	2	S011	m
a0425	4	3	2	3	5	2	S011	k
a0426	3	3	4	2	5	2	S011	k
a0427	4	2	2	2	3	4	S011	k
a0428	5	4	2	1	4	4	S011	k
a0429	3	3	3	3	5	3	S011	k
a0430	3	2	1	2	3	4	S011	m
a0431	2	2	3	3	5	4	S011	k
a0432	2	3	2	1	4	2	S011	m
a0433	2	1	2	3	2	5	S011	m
a0434	1	2	1	3	5	5	S011	k
a0435	2	2	2	3	3	4	S011	m
a0436	4	3	1	3	1	5	S011	m
a0437	5	4	1	5	3	4	S011	k
a0438	3	1	2	1	3	4	S011	m
a0439	3	2	2	1	3	3	S011	m
a0440	2	1	2	1	5	5	S011	k
a0441	3	2	2	3	3	4	S011	k
a0442	4	2	1	1	3	4	S011	k
a0443	4	2	1	3	3	4	S011	k
a0444	5	2	4	4	5	4	S011	k
a0445	2	3	2	2	4	4	S011	k
a0446	4	2	2	2	3	4	S011	k
a0447	3	3	3	3	4	4	S011	k
a0448	3	1	2	4	5	5	S012	m
a0449	4	3	2	1	4	4	S012	m
a0450	3	1	1	3	3	3	S012	k
a0451	3	2	2	1	1	4	S012	m
a0452	2	3	3	3	5	3	S012	m
a0453	3	1	2	4	1	4	S012	m
a0454	5	2	2	3	2	4	S012	m
a0455	2	1	1	2	2	3	S012	k
a0456	2	1	2	4	5	4	S012	k
a0457	2	4	3	3	5	3	S012	k
a0458	4	1	2	1	3	3	S012	m
a0459	5	3	1	2	4	4	S012	m
a0460	2	3	1	3	2	3	S012	m
a0461	4	3	1	3	4	3	S012	m
a0462	4	2	1	3	2	5	S012	m
a0463	4	3	2	3	2	3	S012	m
a0464	4	3	3	1	2	5	S012	m
a0465	3	1	1	3	2	3	S012	m
a0466	5	1	1	4	4	4	S012	k
a0467	5	3	1	1	3	5	S012	k
a0468	4	1	2	3	5	4	S012	k
a0469	3	3	3	1	1	3	S012	m
a0470	3	1	3	4	2	4	S012	k
a0471	3	1	2	2	4	3	S012	k
a0472	3	3	1	1	5	3	S012	m
a0473	5	3	2	2	1	3	S012	k
a0474	3	2	3	4	5	5	S012	k
a0475	4	2	2	2	1	3	S012	k
a0476	4	1	1	4	5	4	S012	k
a0477	4	1	2	4	2	3	S012	k
a0478	4	2	2	4	2	5	S012	m
a0479	4	1	1	1	1	4	S012	k
a0480	5	2	2	3	2	5	S012	k
a0481	4	1	1	3	1	5	S012	k
a0482	5	2	3	1	2	3	S012	k
a0483	4	1	2	2	4	3	S012	k
a0484	2	3	2	1	3	3	S012	k
a0485	4	1	2	3	4	4	S012	k
a0486	2	2	2	3	2	4	S012	k
a0487	5	3	3	2	1	4	S012	k
a0488	3	2	3	3	3	4	S012	k
a0489	4	3	1	3	5	4	S012	k
a0490	3	2	2	3	3	4	S012	k
a0491	1	2	2	1	5	5	S013	k
a0492	4	3	2	4	3	3	S013	k
a0493	2	1	1	4	1	5	S013	k
a0494	3	3	2	2	4	1	S013	k
a0495	1	1	1	2	2	5	S013	k
a0496	4	2	2	3	1	2	S013	m
a0497	5	3	4	3	4	5	S013	m
a0498	2	1	3	4	2	4	S013	m
a0499	4	2	2	5	4	3	S013	m
a0500	1	3	4	3	3	2	S013	k
a0501	1	2	4	1	1	3	S013	m
a0502	5	2	4	3	1	4	S013	k
a0503	2	1	2	1	5	5	S013	k
a0504	1	1	2	1	1	5	S013	k
a0505	1	4	4	4	5	1	S013	k
a0506	2	2	2	3	5	5	S013	k
a0507	3	4	1	4	5	3	S013	m
a0508	2	1	1	3	5	2	S013	k
a0509	2	4	2	4	2	5	S013	k
a0510	4	1	1	3	2	3	S013	m
a0511	4	2	1	3	5	1	S013	m
a0512	1	2	3	2	2	4	S013	m
a0513	1	1	2	3	3	5	S013	m
a0514	2	4	1	3	5	5	S013	m
a0515	5	3	1	3	5	4	S013	m
a0516	5	2	4	4	5	2	S013	m
a0517	4	2	2	1	1	4	S013	m
a0518	5	3	1	2	2	1	S013	m
a0519	5	4	2	2	5	1	S013	m
a0520	5	1	3	5	5	2	S013	m
a0521	4	2	1	2	5	1	S013	k
a0522	1	1	2	3	1	5	S013	k
a0523	1	2	4	3	3	2	S013	m
a0524	4	4	2	3	5	2	S013	m
a0525	4	1	3	3	2	2	S013	m
a0526	4	3	3	1	1	3	S013	m
a0527	3	1	1	3	5	1	S013	m
a0528	1	1	2	3	4	2	S013	m
a0529	2	1	2	2	1	2	S013	m
a0530	3	2	3	3	3	4	S013	m
a0531	2	2	3	2	5	2	S014	k
a0532	4	1	1	1	3	4	S014	m
a0533	5	4	2	2	2	3	S014	k
a0534	5	1	2	4	5	1	S014	m
a0535	5	4	2	3	1	4	S014	m
a0536	1	1	2	2	3	2	S014	k
a0537	5	1	2	2	1	2	S014	m
a0538	4	4	2	1	4	3	S014	k
a0539	5	3	3	3	2	1	S014	k
a0540	3	3	2	4	2	5	S014	m
a0541	1	4	2	3	5	2	S014	k
a0542	1	1	4	4	1	3	S014	m
a0543	3	4	3	3	2	1	S014	m
a0544	4	1	2	2	5	1	S014	m
a0545	3	2	4	4	3	4	S014	k
a0546	1	1	2	1	5	1	S014	k
a0547	1	1	3	3	4	4	S014	m
a0548	1	1	2	5	2	2	S014	m
a0549	2	1	2	4	1	2	S014	k
a0550	1	3	4	1	5	3	S014	k
a0551	2	3	2	3	1	2	S014	k
a0552	1	2	1	1	1	2	S014	m
a0553	5	4	3	3	5	4	S014	m
a0554	1	1	1	2	5	5	S014	k
a0555	2	1	1	2	3	5	S014	m
a0556	1	2	4	1	1	1	S014	k
a0557	5	3	1	4	4	5	S014	k
a0558	5	4	3	2	1	5	S014	m
a0559	2	2	2	2	3	1	S014	m
a0560	3	3	5	1	5	3	S014	m
a0561	2	1	4	1	4	1	S014	m
a0562	1	3	3	3	1	4	S014	m
a0563	1	3	1	3	5	2	S014	m
a0564	5	4	3	1	5	3	S014	m
a0565	3	3	4	3	3	4	S014	m
a0566	4	1	1	3	5	5	S014	m
a0567	5	2	2	3	3	4	S014	m
a0568	1	1	1	2	1	4	S014	m
a0569	5	3	3	1	2	4	S014	m
a0570	4	2	3	1	5	1	S014	m
a0571	1	3	3	1	1	5	S014	m
a0572	1	3	4	3	1	1	S014	m
a0573	1	2	1	2	4	5	S015	k
a0574	2	2	2	3	1	1	S015	m
a0575	4	2	1	3	1	2	S015	k
a0576	3	1	3	4	5	5	S015	m
a0577	3	3	3	4	5	5	S015	k
a0578	1	1	2	3	1	4	S015	k
a0579	5	1	1	2	1	3	S015	k
a0580	4	4	2	3	1	1	S015	m
a0581	2	2	3	4	4	1	S015	k
a0582	1	2	2	1	3	3	S015	k
a0583	2	1	1	3	5	2	S015	m
a0584	3	3	1	4	5	4	S015	m
a0585	4	3	3	3	1	5	S015	m
a0586	3	4	2	2	5	1	S015	k
a0587	1	2	4	3	4	5	S015	k
a0588	1	4	1	4	1	4	S015	m
a0589	2	2	2	4	5	1	S015	m
a0590	4	4	2	3	1	3	S015	k
a0591	4	2	2	2	2	1	S015	k
a0592	2	2	1	3	3	1	S015	k
a0593	3	2	2	5	5	2	S015	k
a0594	3	2	4	3	4	4	S015	m
a0595	5	4	1	2	4	2	S015	k
a0596	4	3	1	3	5	2	S015	k
a0597	1	1	2	1	4	5	S015	k
a0598	4	2	4	4	5	3	S015	m
a0599	3	2	1	3	4	5	S015	k
a0600	5	3	2	1	1	5	S015	m
a0601	2	3	4	1	3	5	S015	m
a0602	3	1	4	4	2	5	S015	k
a0603	1	3	2	2	4	1	S015	k
a0604	5	3	1	4	4	2	S015	m
a0605	1	2	3	4	3	4	S015	k
a0606	4	2	1	1	3	2	S015	k
a0607	3	1	2	3	4	4	S015	k
a0608	4	1	2	3	3	5	S015	k
a0609	5	1	2	4	3	1	S015	k
a0610	2	1	3	3	3	5	S015	k
a0611	3	2	4	4	4	1	S015	k
a0612	2	4	3	2	2	4	S015	k
a0613	2	2	1	1	3	4	S016	k
a0614	5	3	2	3	5	2	S016	k
a0615	5	3	2	5	1	3	S016	k
a0616	4	1	1	3	2	5	S016	k
a0617	3	1	2	3	1	4	S016	m
a0618	3	3	3	2	3	4	S016	k
a0619	5	1	4	3	4	4	S016	k
a0620	3	1	2	3	3	3	S016	m
a0621	3	4	1	3	1	4	S016	m
a0622	3	4	2	3	5	4	S016	m
a0623	4	3	2	2	5	3	S016	k
a0624	3	2	4	2	1	3	S016	m
a0625	3	1	1	3	5	4	S016	m
a0626	2	1	1	4	2	4	S016	m
a0627	2	2	3	3	1	4	S016	m
a0628	4	1	2	3	4	5	S016	m
a0629	3	2	2	1	3	5	S016	k
a0630	3	4	2	1	2	5	S016	k
a0631	5	4	3	1	4	3	S016	k
a0632	5	2	3	2	4	5	S016	m
a0633	4	3	2	2	5	4	S016	k
a0634	5	2	3	4	5	2	S016	k
a0635	4	1	5	3	3	4	S016	k
a0636	2	2	4	4	1	4	S016	m
a0637	5	2	4	4	1	4	S016	k
a0638	3	1	2	3	1	5	S016	k
a0639	5	3	5	4	4	2	S016	k
a0640	4	2	2	3	1	4	S016	m
a0641	1	3	3	4	2	2	S016	k
a0642	3	2	3	4	2	3	S016	k
a0643	3	2	1	2	1	2	S016	k
a0644	5	1	3	4	3	5	S016	k
a0645	5	4	4	3	1	4	S016	k
a0646	2	3	4	4	3	5	S016	k
a0647	3	2	2	4	2	4	S016	k
a0648	2	2	3	2	4	4	S016	k
a0649	4	3	4	5	4	4	S016	k
a0650	2	3	2	2	5	3	S016	k
a0651	2	2	2	1	4	3	S016	k
a0652	5	1	2	1	3	3	S016	k
a0653	4	3	1	2	5	3	S017	m
a0654	1	4	2	3	1	2	S017	m
a0655	3	2	2	3	1	3	S017	m
a0656	1	4	4	2	2	5	S017	m
a0657	1	3	3	3	4	4	S017	m
a0658	2	1	3	4	5	1	S017	k
a0659	2	1	2	3	3	2	S017	m
a0660	4	2	4	3	3	2	S017	k
a0661	4	3	1	2	4	5	S017	m
