nazwa	rodzaj	masa	VAT	EAN
LEIBNIZ HERBATNIKI MASLANE	ciastka	100	0,23	4017100104503
HIT O SMAKU CZEKOLADOWYM	ciastka	250	0,23	4017100151002
HIT O SMAKU ORZECHOWYM	ciastka	250	0,23	4017100151910
HIT O SMAKU CZEKOLADOWYM	ciastka	150	0,23	4017100166006
HIT O SMAKU WANILIOWYM	ciastka	250	0,23	4017100199318
LEIBNIZ MINIS CZEKOLADA MLECZNA	ciastka	100	0,23	4017100373114
PISTACJE	przekaska	250	0,08	4017100571602
ORZESZKI ZIEMNE SOLONE	przekaska	200	0,08	4017100749001
NIC NAC'S	przekaska	125	0,08	4017100759000
ORZESZKI ZIEMNE PIKANTNE	przekaska	150	0,08	4017100770005
STUDENTENFUTTER MASTER MIX	przekaska	200	0,08	4017100791000
SALTLETTS SLONE PALUSZKI	przekaska	175	0,23	4018077553707
SNACK HITS	przekaska	320	0,23	4018077606991
NIC NAC'S - PUSZKA	przekaska	110	0,08	4018077692093
ERDNÜSSE	przekaska	40	0,08	4018077707711
ERDNUSSE - PUSZKA COLA	przekaska	200	0,08	4018077754838
NIC NAC'S PARTY PACK	przekaska	350	0,08	4018077760136
PISTACJE	przekaska	100	0,08	4018077766053
WASABI	przekaska	100	0,08	4018077771750
NIC NAC'S	przekaska	1000	0,08	4018077777905
MIESZANKA STUDENCKA SPECIAL	przekaska	180	0,08	4018077786914
MIESZANKA STUDENCKA ORIGINAL	przekaska	180	0,08	4018077791123
MIESZANKA STUDENCKA EXTRA	przekaska	180	0,08	4018077793158
NIC NAC'S	przekaska	37	0,08	4018077798818
PAULA CZEKOLADOWA W WANILIOWE LATY	deser	200	0,05	4023600002812
PAULA WANILIOWA W CZEKOLADOWE LATY	deser	200	0,05	4023600002836
PAULA CZEKOLADOWO-ORZECHOWA	deser	200	0,05	4023600003871
HAZELNUTS	czekolada	100	0,23	4025700001023
CREAM	czekolada	100	0,23	4025700001337
YOGHURT	czekolada	100	0,23	4025700001450
WHITE	czekolada	100	0,23	4025700001962
RAFFAELLO T4X16X4	bombonierka	40	0,23	5413548040639
KINDER SCHOKOBONS G200X144	baton	200	0,23	5413548283128
COTE D'OR GORZKA Z CALYMI ORZECHAMI	czekolada	100	0,23	5419081201084
COTE D'OR MLECZNA Z CALYMI ORZECHAMI	czekolada	100	0,23	5419081201145
MALTANKI	ciastka	80	0,23	5901414200015
SZKOLNE	ciastka	50	0,23	5901414200022
PETIT BEURRE	ciastka	50	0,23	5901414200039
HIT MINIS O SMAKU CZEKOLADOWYM	ciastka	130	0,23	5901414200411
HIT MINIS O SMAKU CAPPUCCINO	ciastka	130	0,23	5901414200428
LEIBNIZ ZOO	ciastka	100	0,23	5901414201210
LEIBNIZ CZEKOLADA MLECZNA	ciastka	95	0,23	5901414201463
LEIBNIZ CZEKOLADA DESEROWA	ciastka	95	0,23	5901414201470
HIT O SMAKU KOKOSOWYM	ciastka	250	0,23	5901414201753
BISZKOPTY	ciastka	120	0,23	5901414202019
DESEROWE Z CUKREM	ciastka	200	0,23	5901414202194
KOKOSOWE	ciastka	200	0,23	5901414202217
MASLANE	ciastka	200	0,23	5901414202224
PETIT BEURRE	ciastka	220	0,23	5901414202415
ZBOZOWE	ciastka	200	0,23	5901414202422
SMIETANKOWE Z PLATKAMI CZEKOLADOWYMI	ciastka	200	0,23	5901414202583
WAFLE PALUSZKI KAKAOWE	ciastka	180	0,23	5901414202590
WAFLE PALUSZKI SMIETANKOWE	ciastka	180	0,23	5901414202606
PIERNIKI KROLEWSKIE PRECLE W CZEKOLADZIE	ciastka	160	0,23	5901414202613
PIERNIKI KROLEWSKIE TRUSKAWKOWE W CZEKOLADZIE	ciastka	160	0,23	5901414202620
PIERNIKI KROLEWSKIE SLIWKOWE W CZEKOLADZIE	ciastka	160	0,23	5901414202637
MARKIZY Z KREMEM O SMAKU CZEKOLADOWYM	ciastka	175	0,23	5901414202644
MARKIZY Z KREMEM O SMAKU TRUSKAWKI ZE SMIETANKA	ciastka	175	0,23	5901414202651
FLORIANKI W CZEKOLADZIE MLECZNEJ	ciastka	200	0,23	5901414202675
SERDUSZKA MASLANE W CZEKOLADZIE MLECZNEJ	ciastka	200	0,23	5901414202682
BARBAKANKI	ciastka	160	0,23	5901414202699
BARBAKANKI W CZEKOLADZIE MLECZNEJ	ciastka	170	0,23	5901414202705
MIESZANKA MIX CIASTECZKOWY	ciastka	404	0,23	5901414202736
PALUSZKI Z GALARETKA POMARANCZOWA W CZEKOLADZIE	ciastka	170	0,23	5901414202743
PALUSZKI Z GALARETKA WISNIOWA W CZEKOLADZIE	ciastka	170	0,23	5901414202750
PALUSZKI Z GALARETKA MALINOWA W CZEKOLADZIE	ciastka	170	0,23	5901414202774
KAWA MIELONA KRONUNG NIGHT & DAY	uzywki	250	0,23	5901480000281
KAWA MIELONA KRONUNG	uzywki	250	0,23	5901480000359
KAWA ROZPUSZCZALNA KRONUNG	uzywki	200	0,23	5901480000519
KAWA MIELONA KRONUNG	uzywki	500	0,23	5901480000724
KAWA ROZPUSZCZALNA KRONUNG	uzywki	50	0,23	5901480000762
KAWA MAXWELL HOUSE	uzywki	250	0,23	5901480001011
KAWA MIELONA KRONUNG	uzywki	1000	0,23	5901480001134
KAWA MIELONA AROMA	uzywki	250	0,23	5901480001318
KAWA MIELONA AROMA	uzywki	1000	0,23	5901480001325
KAWA MIELONA AROMA	uzywki	500	0,23	5901480001332
PALUSZKI KAWY MAXWELL HOUSE 3 W 1	uzywki	18	0,23	5901480001561
KAWA MAXWELL HOUSE BOGATY SMAK	uzywki	200	0,23	5901480001585
KAWA MAXWELL HOUSE DELIKATNY SMAK	uzywki	200	0,23	5901480001608
PALUSZKI KAWY JACOBS 2IN1	uzywki	18	0,23	5901480001721
KAWA ROZPUSZCZALNA  KRONUNG	uzywki	100	0,23	5901480002186
KAWA MIELONA CRONAT GOLD	uzywki	250	0,23	5901480002445
KAWA MIELONA CRONAT GOLD	uzywki	500	0,23	5901480002452
KAWA MIELONA CRONAT GOLD	uzywki	1000	0,23	5901480002469
PRINCE POLO CLASSIC XXL	ciastka	52	0,23	5901480012208
PRINCE POLO ORZECHOWE XXL	ciastka	52	0,23	5901480012222
PRINCE POLO MLECZNE XXL	ciastka	52	0,23	5901480012246
BABOLADA ORZECHOWA	czekolada	100	0,23	5901480012604
HOOP COLA GAZ	napoje	2000	0,23	5901597860433
HOOP COLA GAZ 6-PACK	napoje	1000	0,23	5901597860907
R20 GAZ BASIC LEVEL	napoje	1000	0,23	5901597862123
HOOP COLA GAZ 6-PACK	napoje	2500	0,23	5901597865636
FRUTI GAZ POMARANCZA	napoje	2000	0,23	5901597866367
FRUTI GAZ LIMONKA-CYTRYNA	napoje	2000	0,23	5901597866374
FRUTI GAZ CITRUS ICE	napoje	2000	0,23	5901597866381
ARCTIC NG TRUSKAWKA	napoje	1500	0,23	5901597867135
ARCTIC NG TRUSKAWKA	napoje	500	0,23	5901597867142
ARCTIC NG JABLKO	napoje	1500	0,23	5901597867173
HOOP COLA GAZ BEZ CUKRU	napoje	2000	0,23	5901597867418
HOOP COLA GAZ Z CYTRYNA	napoje	2000	0,23	5901597868613
ARCTIC PLUS NG CLASSIC	napoje	500	0,23	5901597868767
ARCTIC PLUS NG CLASSIC	napoje	1500	0,23	5901597868774
ARCTIC PLUS GAZ CLASSIC	napoje	500	0,23	5901597868804
ARCTIC PLUS GAZ CLASSIC	napoje	1500	0,23	5901597868811
R20 GAZ BASIC LEVEL	napoje	500	0,23	5901597868880
FRUTI NG WINOGRONO	napoje	2000	0,23	5901597868989
FRUTI NG POMARANCZA	napoje	2000	0,23	5901597868996
FRUTI NG WISNIA 2,0	napoje	2000	0,23	5901597869009
MIESZANKA FANTASTYCZNA	cukierki	2000	0,23	5901677000568
MLECZNA Z CALYMI ORZECHAMI LASKOWYMI - OKIENKO	czekolada	100	0,23	5901677002500
DESEROWA Z AROMATEM RUMOWYM	czekolada	160	0,23	5901677003170
DESEROWA Z AROMATEM KONIAKOWYM	czekolada	160	0,23	5901677003187
DESEROWA Z AROMATEM AMARETTO (WHISKY)	czekolada	160	0,23	5901677003194
MLECZNA	czekolada	250	0,23	5901677003347
BAKALIOWA MLECZNA	czekolada	250	0,23	5901677003354
MLECZNA Z  ORZECHAMI LASKOWYMI	czekolada	250	0,23	5901677003361
MLEKOLADKI SMIETANKOWE	baton	100	0,23	5901677003460
MLEKOLADKI JOGURTOWO-TRUSKAWKOWE	baton	100	0,23	5901677003484
MLECZNA ELITCHOCO	czekolada	100	0,23	5901677004252
ELITCHOCO Z O.ARACHIDOWYM	czekolada	100	0,23	5901677004269
ELITCHOCO NADZIEWANA SMIETANKOWA	czekolada	100	0,23	5901677004283
ELITCHOCO NADZIEWANA TRUSKAWKOWA	czekolada	100	0,23	5901677004290
ELITCHOCO NADZIEWANA KARMELOWA	czekolada	100	0,23	5901677004306
BIALA ROZA	bombonierka	195	0,23	5901677004313
MLECZNA	czekolada	100	0,23	5901677004351
MLECZNA BIALA	czekolada	100	0,23	5901677004368
MLECZNA BIALO-CZARNA	czekolada	100	0,23	5901677004375
GORZKA 70%	czekolada	100	0,23	5901677004382
TRUSKAWKOWA	czekolada	100	0,23	5901677004399
MLECZNA Z BAKALIAMI	czekolada	100	0,23	5901677004436
MLECZNA Z  ORZECHAMI LASKOWYMI	czekolada	100	0,23	5901677004443
MLECZNA	czekolada	15	0,23	5901677007390
MLECZNA	czekolada	300	0,23	5901677007659
MLECZNA Z  ORZECHAMI LASKOWYMI	czekolada	300	0,23	5901677007666
BAKALIOWA MLECZNA	czekolada	300	0,23	5901677007680
BABELKOWA	czekolada	75	0,23	5901677008182
BABELKOWA BIALA	czekolada	75	0,23	5901677008199
ELITCHOCO DESEROWA	czekolada	100	0,23	5901677009622
ALPINELLA MLECZNA	czekolada	100	0,23	5901806001206
ALPINELLA GORZKA	czekolada	100	0,23	5901806001213
ALPINELLA MLECZNA Z WIORKAMI KOKOSOWYMI	czekolada	100	0,23	5901806001220
ALPINELLA MLECZNA Z ORZECHAMI ARACHIDOWYMI	czekolada	100	0,23	5901806001237
ALPINELLA TRUSKAWKOWA	czekolada	100	0,23	5901806001244
ALPINELLA TOFFI	czekolada	100	0,23	5901806001251
MAK	bakalie	500	0,05	5902451005014
MIGDALY	bakalie	500	0,08	5902451005021
ORZECHY LASKOWE	bakalie	500	0,05	5902451005038
ORZECHY WLOSKIE	bakalie	500	0,05	5902451005045
RODZYNKI	bakalie	500	0,08	5902451005069
MIGDALY SLUPKI	bakalie	500	0,08	5902451005113
MIGDALY PLATKI	bakalie	500	0,08	5902451005144
MIGDALY BLANSZOWANE	bakalie	500	0,08	5902451005168
RODZYNKI JUMBO	bakalie	200	0,08	5902451005601
RODZYNKI JUMBO	bakalie	500	0,08	5902451005656
ORZESZKI PINII	bakalie	100	0,08	5902451011008
ORZECHY LASKOWE	bakalie	1000	0,05	5902451011015
ORZECHY LASKOWE	bakalie	100	0,05	5902451011107
ORZECHY LASKOWE	bakalie	200	0,05	5902451011206
MIGDALY	bakalie	1000	0,08	5902451012012
MIGDALY	bakalie	100	0,08	5902451012104
MIGDALY	bakalie	200	0,08	5902451012203
MIGDALY PLATKI	bakalie	1000	0,08	5902451013101
MIGDALY PLATKI	bakalie	150	0,08	5902451013156
MIGDALY SLUPKI	bakalie	100	0,08	5902451014054
MIGDALY BLANSZOWANE	bakalie	50	0,08	5902451015051
ORZECHY WLOSKIE	bakalie	1000	0,05	5902451016010
ORZECHY WLOSKIE	bakalie	100	0,05	5902451016102
ORZECHY WLOSKIE	bakalie	200	0,05	5902451016201
WIORKI KOKOSOWE	bakalie	750	0,08	5902451018014
WIORKI KOKOSOWE	bakalie	100	0,08	5902451018106
WIORKI KOKOSOWE	bakalie	200	0,08	5902451018205
RODZYNKI	bakalie	1000	0,08	5902451019011
RODZYNKI	bakalie	100	0,08	5902451019103
RODZYNKI	bakalie	200	0,08	5902451019202
MAK	bakalie	1000	0,05	5902451021014
MAK	bakalie	200	0,05	5902451021205
FISTASZKI	bakalie	150	0,08	5902451026156
FISTASZKI	bakalie	500	0,08	5902451026552
NERKOWCE	bakalie	100	0,08	5902451028105
NERKOWCE	bakalie	500	0,08	5902451028112
NERKOWCE	bakalie	200	0,08	5902451028204
ORZECHY LASKOWE TARTE	bakalie	200	0,05	5902451065162
DRAZE KAKAOWE	cukierki	70	0,23	5902978002398
DRAZE POMARANCZOWE	cukierki	70	0,23	5902978002459
DRAZE SMIETANKOWE	cukierki	70	0,23	5902978002473
DRAZE ORZECHOWE	cukierki	70	0,23	5902978002497
DRAZE JOGURTOWE O SMAKU TRUSKAWKOWYM	cukierki	70	0,23	5902978002701
ORZESZKI-CLOWN	cukierki	70	0,23	5902978002862
DRAZE KOKOSOWE	cukierki	70	0,23	5902978002879
CZEKOLADOWE ZOO	ciastka	816	0,23	5902978003357
CZEKOLADOWY RAJD	ciastka	900	0,23	5902978003432
WAFLE ELITESSE DE LUXE	ciastka	800	0,23	5902978004057
WAFLE ELITESSE (TROJKAT)	ciastka	1000	0,23	5902978004149
HERBATNIKI B-MOL	ciastka	448	0,23	5902978005061
WAFELKI KAKAOWE	ciastka	700	0,23	5902978006099
WAFELKI KOKOSOWE	ciastka	700	0,23	5902978006235
WAFELKI ORZECHOWE	ciastka	700	0,23	5902978006389
WAFELKI SMIETANKOWE	ciastka	700	0,23	5902978006532
DRAZE CZEKOLADOWE	cukierki	70	0,23	5902978008161
RODZYNKI	cukierki	70	0,23	5902978008383
PIERNICZKI BASNIOWE	ciastka	150	0,23	5902978008550
WAFELKI ARABESKA	ciastka	250	0,23	5902978008895
PIERNIKI Z NADZIENIEM OWOCOWYM	ciastka	250	0,23	5902978008918
ELITESKI BIS	ciastka	600	0,23	5902978008963
PIERNIKI BASNIOWE GLAZUROWANE	ciastka	150	0,23	5902978009144
DRAZE CHALWOWE	cukierki	70	0,23	5902978020088
DRAZE SMIETANKOWE XXL	cukierki	130	0,23	5902978020255
DRAZE KOKOSOWE XXL	cukierki	130	0,23	5902978020262
ORZESZKI-CLOWN XXL	cukierki	130	0,23	5902978020279
KAMYKI ORZECHOWE	cukierki	100	0,23	5902978020293
PIERNIKI BASNIOWE OWOCOWE	ciastka	150	0,23	5902978040093
PIERNIKI BASNIOWE TRUSKAWKOWE	ciastka	150	0,23	5902978040116
PIERNICZKI BASNIOWE SLIWKOWE	ciastka	150	0,23	5902978040345
WAFLE ELITESSE KING-SIZE KAKAOWE	ciastka	1200	0,23	5902978040413
WAFLE ELITESSE KING-SIZE KOKOSOWE	ciastka	1200	0,23	5902978040420
WAFLE ELITESSE KING-SIZE ORZECHOWE	ciastka	1200	0,23	5902978040437
WAFLE LADY SARA	ciastka	875	0,23	5902978040673
ELITESSE PALECZKI WAFLOWE	ciastka	720	0,23	5902978040680
ELITESSE KAKAOWE	ciastka	760	0,23	5902978040895
ELITESSE ORZECHOWE	ciastka	760	0,23	5902978040901
PIERNIKI Z NADZIENIEM OWOCOWYM	ciastka	250	0,23	5902978040925
ELITESKI	ciastka	600	0,23	5902978040970
WAFLE ELITESSE (TROJKAT)	ciastka	400	0,23	5902978041021
WAFELKI KAKAOWE  (PAKIET)	ciastka	500	0,23	5902978060473
WAFELKI SMIETANKOWE (PAKIET)	ciastka	500	0,23	5902978060480
WAFELKI ORZECHOWE (PAKIET)	ciastka	500	0,23	5902978060503
WAFELKI ORZECHOWE	ciastka	180	0,23	5902978060718
WAFELKI KAKAOWE	ciastka	180	0,23	5902978060725
WAFELKI SMIETANKOWE	ciastka	180	0,23	5902978060732
WAFELKI CHALWA	ciastka	180	0,23	5902978060749
WAFELKI SMIETANKOWE	ciastka	80	0,23	5902978060770
WAFELKI KAKAOWE	ciastka	80	0,23	5902978060787
WAFELKI ORZECHOWE	ciastka	375	0,23	5902978060794
WAFELKI KAKAOWE	ciastka	375	0,23	5902978060800
WAFELKI SMIETANKOWE	ciastka	375	0,23	5902978060817
WAFELKI ORZECHOWE	ciastka	80	0,23	5902978060824
WAFELKI KOKOSOWE	ciastka	80	0,23	5902978060831
WAFELKI JOGURTOWE O SM. TRUSKAWK.	ciastka	80	0,23	5902978060848
WAFELKI TOFFI	ciastka	200	0,23	5902978060909
WAFELKI JOGURTOWE O SM. TRUSKAWK.	ciastka	180	0,23	5902978061050
WAFELKI O SMAKU TOFFI	ciastka	180	0,23	5902978061067
WAFELKI O SMAKU ORZECHA LASKOWEGO	ciastka	180	0,23	5902978061074
DWUWARSTWA Z NADZ. TRUSKAWKOWYM	czekolada	100	0,23	5903189075218
MLECZNA	czekolada	100	0,23	5903189076000
MLECZNA Z ORZECHAMI	czekolada	100	0,23	5903189076017
WINOGRONOWO-ORZECHOWA	czekolada	100	0,23	5903189076024
GORZKA	czekolada	100	0,23	5903189076031
BIALA	czekolada	100	0,23	5903189076048
BABOLADA BIALA	czekolada	100	0,23	5903189076062
MLECZNA BABOLADA	czekolada	100	0,23	5903189076079
TOFFI	czekolada	100	0,23	5903189076208
NUSSBEISSER	czekolada	100	0,23	5903189076314
MLECZNA	czekolada	200	0,23	5903189076321
MLECZNA Z ORZECHAMI	czekolada	100	0,23	5903189076338
WINOGRONOWO - ORZECHOWA	czekolada	200	0,23	5903189076345
SALTLETTS SLONE PALUSZKI - PASKI	przekaska	75	0,23	5905187300125
SALTLETTS SLONE PALUSZKI	przekaska	125	0,23	5905187300132
SALTLETTS SLONE PALUSZKI - TRAY	przekaska	150	0,23	5905187300170
SALTLETTS SLONE PALUSZKI - TRAY	przekaska	250	0,23	5905187300491
SALTLETTS SNACK MIX	przekaska	250	0,23	5905187500150
KINDER SORPRESA T3X128 AS/C PAS POL 11	baton	60	0,23	5905408021013
NUTELLA G670X6 VT PR POL 11	baton	670	0,23	5905408023031
TIC TAC L/MI	cukierki	49	0,23	5905408024212
ROCHER T3X16X6 FLO B POL 11	bombonierka	37,5	0,23	5905408027008
SLOMKA PTYSIOWA Z CUKREM XXL	ciastka	200	0,23	5907678889010
SLOMKA PTYSIOWA MAX 1KG	ciastka	1000	0,23	5907678889027
SLOMKA PTYSIOWA MINI 1,4 KG	ciastka	1400	0,23	5907678889034
GROSZEK PTYSIOWY	ciastka	1300	0,23	5907678889089
SLOMKA PTYSIOWA Z CUKREM	ciastka	100	0,23	5907678889133
SLOMKA PTYSIOWA Z CUKREM XL	ciastka	200	0,23	5907678889201
SLOMKA PTYSIOWA MAX 220G	ciastka	220	0,23	5907678889447
PALUSZKI Z SOLA	przekaska	300	0,23	5907799261047
PALUSZKI  Z MAKIEM	przekaska	280	0,23	5907799261054
PALUSZKI  Z SEZAMEM	przekaska	280	0,23	5907799261061
PALUSZKI SEROWO-CEBULOWE	przekaska	280	0,23	5907799261078
PALUSZKI DELIKATESOWE	przekaska	300	0,23	5907799261085
PALUSZKI PIKANTNE-PAPRYKOWE	przekaska	280	0,23	5907799261092
PALKI KUKURYDZIANE	przekaska	65	0,05	5907799261238
KULKI KUKURYDZIANE	przekaska	70	0,05	5907799261245
KULKI KUKURYDZIANE	przekaska	200	0,05	5907799261252
CHRUPKA KUKURYDZIANA	przekaska	80	0,05	5907799261696
PALUSZKI  Z SOLA	przekaska	70	0,23	5907799261818
PALUSZKI DELIKATESOWE	przekaska	70	0,23	5907799261825
PALUSZKI Z SEZAMEM	przekaska	70	0,23	5907799261832
PALUSZKI Z MAKIEM	przekaska	70	0,23	5907799261849
PALUSZKI SEROWO-CEBULOWE	przekaska	70	0,23	5907799261856
GOLD FLAKES	przetwory zbozowe	250	0,05	5909020000538
CHEERIOS	przetwory zbozowe	250	0,05	5909020000613
KANGUS	przetwory zbozowe	250	0,05	5909020000637
CORN FLAKES	przetwory zbozowe	250	0,05	5909020000774
MUSLI TROPIKALNE	przetwory zbozowe	350	0,05	5909020001085
MUSLI TRADYCYJNE	przetwory zbozowe	350	0,05	5909020001108
FRUTINA	przetwory zbozowe	250	0,05	5909020002426
CINI MINIS	przetwory zbozowe	250	0,05	5909020002730
CORN FLAKES	przetwory zbozowe	1000	0,05	5909020003096
CHEERIOS WIELOZBOZOWY	przetwory zbozowe	250	0,05	5909020004475
CORN FLAKES	przetwory zbozowe	500	0,05	5909020004697
COOKIE CRISP	przetwory zbozowe	250	0,05	5909020005946
CINI MINIS	przetwory zbozowe	500	0,05	5909020006165
CORN FLAKES	przetwory zbozowe	700	0,05	5909020006769
CHEERIOS	przetwory zbozowe	500	0,05	5909020007292
MIX SZESCIOPAK PLATKI I MLEKO	przetwory zbozowe	25	0,05	5909020007520
NESQUIK SZESCIOPAK MONO PLATKI I MLEKO	przetwory zbozowe	25	0,05	5909020007575
COOKIE CRISP	przetwory zbozowe	500	0,05	5909020007728
FITNESS PLATKI I MLEKO	przetwory zbozowe	23,5	0,05	5909020007988
FITNESS Z TRUSKAWKA PLATKI I MLEKO	przetwory zbozowe	23,5	0,05	5909020008008
KANGUS	przetwory zbozowe	500	0,05	5909020008022
FITNESS Z CZEKOLADA PLATKI I MLEKO	przetwory zbozowe	23,5	0,05	5909020008121
FITNESS Z TRUSKAWKA 6-PAK PLATKI I MLEKO	przetwory zbozowe	23,5	0,05	5909020008374
FITNESS Z CZEKOLADA 6-PAK PLATKI I MLEKO	przetwory zbozowe	23,5	0,05	5909020008398
FITNESS 6-PAK PLATKI I MLEKO	przetwory zbozowe	23,5	0,05	5909020008510
CHEERIOS WIELOZBOZOWY	przetwory zbozowe	500	0,05	5909020008596
FITNESS Z CZEKOLADA I ORZECHAMI  6-PAK PLATKI I MLEKO	przetwory zbozowe	23,5	0,05	5909020011336
FITNESS Z CZEKOLADA I ORZECHAMI PLATKI I MLEKO	przetwory zbozowe	23,5	0,05	5909020011343
FITNESS	przetwory zbozowe	45	0,05	5909020011916
FITNESS Z CZEKOLADA	przetwory zbozowe	45	0,05	5909020011930
FITNESS Z OWOCAMI	przetwory zbozowe	45	0,05	5909020011954
FITNESS Z JOGURTEM	przetwory zbozowe	45	0,05	5909020011978
STRAWBERRY MINIS	przetwory zbozowe	250	0,05	5909020012067
STRAWBERRY MINIS	przetwory zbozowe	500	0,05	5909020012098
BATON NESTLE MUSLI CZEKOLADOWY	baton	40	0,05	5909020013071
BATON NESTLE MUSLI WISNIOWY	baton	40	0,05	5909020013095
BATON NESTLE MUSLI TRUSKAWKOWY	baton	40	0,05	5909020013118
FRUTINA	przetwory zbozowe	500	0,05	5909020013286
CHOCAPIC DUO	przetwory zbozowe	225	0,05	5909020013354
NESQUIK DUO	przetwory zbozowe	225	0,05	5909020013491
NESQUIK DUO	przetwory zbozowe	460	0,05	5909020013514
FITNESS Z CZEKOLADA I POMARANCZA PLATKI I MLEKO	przetwory zbozowe	23,5	0,05	5909020013569
BATON NESTLE MUSLI Z CZEKOLADA I RODZYNKAMI	baton	40	0,05	5909020014405
CHOCAPIC	przetwory zbozowe	225	0,05	5909020014436
CHOCAPIC	przetwory zbozowe	550	0,05	5909020014467
NESQUIK	przetwory zbozowe	225	0,05	5909020014481
NESQUIK	przetwory zbozowe	550	0,05	5909020014511
MUSLI ALMONDS, NUTS & GRANOLA	przetwory zbozowe	260	0,05	5909020014696
MUSLI CAPPUCINO & GRANOLA	przetwory zbozowe	260	0,05	5909020014726
FITNESS	przetwory zbozowe	200	0,05	5909020014757
FITNESS	przetwory zbozowe	350	0,05	5909020014788
FITNESS Z OWOCAMI	przetwory zbozowe	200	0,05	5909020014801
FITNESS Z OWOCAMI	przetwory zbozowe	350	0,05	5909020014832
FITNESS Z CZEKOLADA	przetwory zbozowe	200	0,05	5909020014856
FITNESS Z CZEKOLADA	przetwory zbozowe	350	0,05	5909020014870
FITNESS Z JOGURTEM	przetwory zbozowe	200	0,05	5909020014900
FITNESS Z JOGURTEM	przetwory zbozowe	350	0,05	5909020014931
DANUSIA CLASSIC	baton	38	0,23	5909102000142
KAKAO MT KARTONIK	uzywki	100	0,23	5909102002016
CZEKOLADKI KONCERTOWE	bombonierka	290	0,23	5909102002139
SLIWKA  (8 SZTUK)	cukierki	300	0,23	5909102002214
KUKULKI	cukierki	1000	0,23	5909102002672
MACIEK TOFFI	baton	41	0,23	5909102002917
MACIEK ADWOKAT	baton	40	0,23	5909102002924
KREOLKA KAKAOWA	ciastka	90	0,23	5909102003204
MIETOWE ORZEZWIAJACE	cukierki	120	0,23	5909102003655
RACZKI	cukierki	120	0,23	5909102003662
FISTASZKOWE	cukierki	120	0,23	5909102003679
KUKULKI	cukierki	120	0,23	5909102003686
