rok	wiek	m_miasto	k_miasto	m_wies	k_wies
2015	100	473	2055	254	1009
2016	0	101805	95998	77670	73188
2016	1	103935	98065	78564	74003
2016	2	106363	100405	79769	75107
2016	3	107228	101504	78704	74699
2016	4	115644	109155	85003	80200
2016	5	117855	110957	86579	81992
2016	6	122674	116147	90531	85499
2016	7	127060	120913	95040	90668
2016	8	124924	119331	95973	91176
2016	9	115826	110433	91051	86127
2016	10	109199	103881	87282	82583
2016	11	104042	98830	84865	80918
2016	12	100080	94505	83268	79043
2016	13	96584	92197	83126	78728
2016	14	96634	91757	85042	80672
2016	15	99900	94900	88006	83763
2016	16	102304	97241	90754	86334
2016	17	102117	97152	92372	88092
2016	18	105215	99843	95362	90377
2016	19	111695	108739	96643	90103
2016	20	116472	113300	100550	93297
2016	21	116201	112431	105916	100878
2016	22	126041	123408	109437	104076
2016	23	131420	128498	114453	107610
2016	24	136147	132655	119015	112780
2016	25	149346	147177	121687	112610
2016	26	156174	154862	120833	111499
2016	27	160403	158955	118954	109837
2016	28	167107	167799	120135	110154
2016	29	173642	172994	119529	109636
2016	30	183608	183512	121261	112591
2016	31	196178	195945	126402	117222
2016	32	205119	203594	127743	119043
2016	33	211602	210847	130005	122330
2016	34	204125	202698	127494	118943
2016	35	194988	195354	121246	113414
2016	36	198336	198133	123308	116445
2016	37	197773	195991	122570	115284
2016	38	190537	189765	119866	113155
2016	39	187693	187390	120102	112769
2016	40	186381	187931	121588	113655
2016	41	178157	178828	118773	112354
2016	42	169539	170399	116881	109694
2016	43	160941	162602	113188	107074
2016	44	153904	155298	109892	104179
2016	45	145184	148701	106865	101460
2016	46	140680	144251	104099	97544
2016	47	133323	138109	101057	95621
2016	48	130112	135581	99890	93929
2016	49	127429	134492	99645	93032
2016	50	127971	136678	99494	92354
2016	51	128830	138828	100571	92984
2016	52	131885	143686	101624	93461
2016	53	133908	147771	102629	95208
2016	54	134854	150227	102666	94858
2016	55	140027	158666	104115	96375
2016	56	147784	170921	107453	99669
2016	57	158200	184763	111616	103450
2016	58	165641	194480	110452	103781
2016	59	167909	200976	108988	102618
2016	60	166751	200636	104657	99413
2016	61	168259	204255	102197	98419
2016	62	160344	198469	94988	92888
2016	63	157000	197483	92002	91496
2016	64	152364	193994	87942	89590
2016	65	147500	190814	82996	88055
2016	66	139062	180019	77582	84032
2016	67	130705	172289	71238	79936
2016	68	124277	165422	67598	77047
2016	69	113547	153863	60016	71127
2016	70	100508	139034	51968	64439
2016	71	68719	97249	36866	48037
2016	72	65411	95273	35221	47541
2016	73	61604	90733	32797	45907
2016	74	57680	87810	30800	44711
2016	75	57890	91898	32511	47443
2016	76	56774	93428	32555	50176
2016	77	53696	91477	30918	49849
2016	78	50189	88605	29490	49181
2016	79	47820	86251	27570	47925
2016	80	45045	84008	25608	46690
2016	81	40723	78282	23444	44592
2016	82	36070	71572	21013	41978
2016	83	32266	65363	18724	38903
2016	84	29778	62515	17042	38439
2016	85	26663	56988	15330	35903
2016	86	23449	52411	13566	33327
2016	87	18598	43615	11149	28499
2016	88	15138	36862	9071	24475
2016	89	11223	29739	6901	20194
2016	90	8772	25680	5314	16644
2016	91	7267	22169	4223	14110
2016	92	5117	16348	3047	10521
2016	93	3973	12900	2432	8255
2016	94	2669	9539	1697	6038
2016	95	1729	6020	1066	3874
2016	96	1165	4083	772	2596
2016	97	690	2507	463	1705
2016	98	326	1264	189	781
2016	99	191	855	139	512
2016	100	434	1881	240	967
2017	0	100696	94952	77344	72881
2017	1	102034	96270	77918	73397
2017	2	103987	98161	78878	74272
2017	3	106247	100337	80130	75415
2017	4	106968	101294	79109	75044
2017	5	115254	108816	85447	80583
2017	6	117381	110541	87036	82388
2017	7	122129	115654	91004	85918
2017	8	126468	120377	95515	91092
2017	9	124341	118798	96417	91585
2017	10	115298	109944	91439	86501
2017	11	108717	103434	87628	82914
2017	12	103607	98424	85170	81220
2017	13	99687	94148	83538	79311
2017	14	96234	91886	83356	78966
2017	15	96314	91497	85237	80873
2017	16	99592	94679	88179	83930
2017	17	102012	97076	90895	86445
2017	18	101851	97059	92470	88132
2017	19	104965	99812	95423	90349
2017	20	111448	108715	96680	90055
2017	21	116253	113336	100551	93181
2017	22	116070	112636	105845	100577
2017	23	125976	123693	109311	103676
2017	24	131502	128974	114207	107008
2017	25	136415	133405	118605	111890
2017	26	149731	147988	121169	111632
2017	27	156620	155685	120265	110493
2017	28	160799	159647	118425	108940
2017	29	167383	168230	119686	109489
2017	30	173699	173118	119250	109254
2017	31	183403	183315	121165	112489
2017	32	195715	195457	126474	117363
2017	33	204410	202885	127979	119376
2017	34	210707	209986	130349	122777
2017	35	203159	201818	127865	119409
2017	36	193973	194469	121637	113893
2017	37	197228	197230	123721	116917
2017	38	196610	195099	122980	115733
2017	39	189383	188916	120230	113557
2017	40	186529	186568	120414	113134
2017	41	185204	187116	121845	113990
2017	42	177013	178074	118958	112633
2017	43	168438	169684	116980	109928
2017	44	159874	161914	113217	107277
2017	45	152856	154639	109855	104350
2017	46	144166	148060	106753	101602
2017	47	139653	143612	103928	97662
2017	48	132301	137492	100818	95703
2017	49	129061	134962	99582	93981
2017	50	126336	133867	99263	93047
2017	51	126806	136019	99045	92341
2017	52	127578	138139	100042	92930
2017	53	130513	142944	101010	93373
2017	54	132419	146982	101920	95071
2017	55	133248	149387	101861	94677
2017	56	138245	157734	103202	96147
2017	57	145777	169861	106398	99388
2017	58	155901	183544	110401	103107
2017	59	163071	193116	109134	103388
2017	60	165138	199483	107547	102180
2017	61	163823	199053	103138	98937
2017	62	165120	202543	100569	97891
2017	63	157171	196698	93342	92335
2017	64	153703	195605	90257	90890
2017	65	148963	192025	86127	88926
2017	66	143998	188749	81139	87334
2017	67	135547	177943	75700	83267
2017	68	127188	170154	69363	79133
2017	69	120717	163218	65666	76185
2017	70	110072	151645	58158	70243
2017	71	97212	136849	50216	63546
2017	72	66313	95598	35522	47295
2017	73	62945	93493	33805	46715
2017	74	59091	88853	31353	45000
2017	75	55128	85778	29312	43700
2017	76	55106	89517	30783	46225
2017	77	53805	90718	30649	48700
2017	78	50642	88478	28932	48163
2017	79	47068	85319	27407	47281
2017	80	44568	82616	25435	45805
2017	81	41691	79977	23435	44327
2017	82	37400	74005	21265	42012
2017	83	32849	67147	18880	39220
2017	84	29116	60791	16659	36013
2017	85	26607	57595	15003	35224
2017	86	23502	51744	13305	32440
2017	87	20434	47050	11629	29753
2017	88	16004	38662	9429	25116
2017	89	12852	32229	7561	21267
2017	90	9391	25614	5664	17276
2017	91	7224	21761	4287	14000
2017	92	5882	18456	3348	11655
2017	93	4067	13347	2367	8518
2017	94	3093	10320	1848	6539
2017	95	2037	7458	1260	4672
2017	96	1288	4594	771	2923
2017	97	846	3031	546	1904
2017	98	488	1807	317	1213
2017	99	220	877	124	537
2017	100	397	1762	232	940
2018	0	100364	94637	77235	72777
2018	1	100943	95237	77596	73097
2018	2	102105	96385	78232	73663
2018	3	103893	98110	79236	74574
2018	4	106015	100147	80521	75749
2018	5	106621	100992	79529	75406
2018	6	114795	108408	85898	80980
2018	7	116862	110074	87495	82792
2018	8	121557	115133	91470	86342
2018	9	125864	119827	95979	91520
2018	10	123760	118259	96846	91994
2018	11	114782	109463	91810	86863
2018	12	108255	103004	87953	83241
2018	13	103195	98048	85454	81506
2018	14	99317	93827	83784	79560
2018	15	95911	91618	83561	79174
2018	16	96021	91285	85407	81036
2018	17	99309	94517	88320	84043
2018	18	101744	96978	90998	86498
2018	19	101611	97031	92529	88107
2018	20	104746	99844	95451	90251
2018	21	111243	108751	96689	89942
2018	22	116100	113442	100515	92986
2018	23	116042	112967	105709	100148
2018	24	126056	124146	109090	103107
2018	25	131760	129650	113836	106202
2018	26	136861	134334	118071	110820
2018	27	150228	148870	120574	110581
2018	28	157071	156416	119703	109567
2018	29	161100	160119	117981	108250
2018	30	167496	168388	119380	109086
2018	31	173563	172967	119129	109129
2018	32	183007	182881	121221	112609
2018	33	195083	194796	126672	117668
2018	34	203560	202059	128312	119803
2018	35	209692	209058	130761	123277
2018	36	202108	200910	128277	119896
2018	37	192897	193573	122051	114366
2018	38	196078	196330	124134	117373
2018	39	195418	194221	123375	116157
2018	40	188210	188084	120570	113934
2018	41	185355	185760	120695	113473
2018	42	184019	186311	122063	114304
2018	43	175863	177319	119099	112892
2018	44	167327	168961	117035	110155
2018	45	158794	161221	113199	107466
2018	46	151794	153965	109770	104505
2018	47	143132	147407	106592	101724
2018	48	138596	142967	103707	97759
2018	49	131255	136867	100532	95754
2018	50	127979	134341	99231	93998
2018	51	125213	133234	98839	93025
2018	52	125603	135356	98546	92290
2018	53	126286	137442	99457	92839
2018	54	129097	142196	100338	93243
2018	55	130889	146176	101153	94891
2018	56	131604	148528	100995	94450
2018	57	136424	156779	102222	95874
2018	58	143725	168769	105274	99058
2018	59	153560	182292	109109	102719
2018	60	160457	191714	107729	102952
2018	61	162327	197947	106030	101699
2018	62	160860	197425	101542	98416
2018	63	161944	200780	98868	97319
2018	64	153957	194873	91625	91742
2018	65	150364	193673	88448	90240
2018	66	145522	190001	84249	88221
2018	67	140452	186621	79222	86568
2018	68	131994	175791	73758	82451
2018	69	123628	167936	67433	78270
2018	70	117103	160917	63677	75265
2018	71	106539	149315	56241	69295
2018	72	93861	134547	48405	62581
2018	73	63860	93844	34121	46492
2018	74	60426	91593	32344	45813
2018	75	56519	86837	29860	44008
2018	76	52508	83598	27773	42597
2018	77	52257	86957	29006	44892
2018	78	50775	87787	28707	47086
2018	79	47521	85245	26906	46334
2018	80	43892	81778	25298	45217
2018	81	41269	78702	23290	43514
2018	82	38304	75659	21270	41797
2018	83	34071	69481	19122	39287
2018	84	29651	62503	16804	36341
2018	85	26024	56057	14670	33040
2018	86	23461	52356	13026	31863
2018	87	20488	46513	11409	29009
2018	88	17599	41773	9842	26268
2018	89	13592	33867	7868	21867
2018	90	10759	27820	6209	18235
2018	91	7739	21760	4574	14568
2018	92	5853	18167	3402	11594
2018	93	4672	15119	2603	9464
2018	94	3169	10712	1801	6770
2018	95	2358	8093	1377	5079
2018	96	1518	5712	916	3537
2018	97	932	3426	546	2155
2018	98	598	2200	376	1363
2018	99	332	1263	210	835
2018	100	393	1713	221	945
2019	0	99309	93640	77137	72684
2019	1	100620	94932	77502	73004
2019	2	101028	95368	77920	73370
2019	3	102024	96349	78589	73966
2019	4	103673	97936	79621	74905
2019	5	105681	99860	80929	76103
2019	6	106198	100621	79953	75779
2019	7	114284	107950	86347	81378
2019	8	116310	109581	87944	83195
2019	9	120970	114601	91925	86757
2019	10	125265	119277	96427	91939
2019	11	123196	117735	97253	92393
2019	12	114284	108999	92161	87212
2019	13	107812	102602	88256	83547
2019	14	102806	97707	85715	81771
2019	15	98978	93547	84004	79778
2019	16	95614	91400	83737	79344
2019	17	95751	91128	85544	81148
2019	18	99048	94419	88425	84096
2019	19	101500	96934	91069	86482
2019	20	101399	97065	92558	88015
2019	21	104570	99940	95439	90087
2019	22	111100	108854	96660	89754
2019	23	116043	113651	100426	92679
2019	24	116163	113465	105481	99549
2019	25	126307	124790	108752	102344
2019	26	132189	130492	113345	105232
2019	27	137418	135327	117454	109683
2019	28	150732	149661	119985	109613
2019	29	157422	156934	119228	108848
2019	30	161240	160328	117675	107817
2019	31	167411	168270	119231	108944
2019	32	173232	172586	119153	109223
2019	33	182440	182281	121402	112880
2019	34	194310	194026	126965	118065
2019	35	202603	201171	128707	120289
2019	36	208600	208097	131214	123798
2019	37	200993	199984	128712	120383
2019	38	191781	192682	122466	114824
2019	39	194901	195442	124538	117804
2019	40	194210	193355	123745	116555
2019	41	187029	187261	120878	114282
2019	42	184174	184958	120941	113787
2019	43	182828	185508	122237	114599
2019	44	174709	176558	119195	113140
2019	45	166208	168234	117045	110365
2019	46	157707	160519	113134	107640
2019	47	150713	153289	109638	104645
2019	48	142071	146752	106385	101820
2019	49	137516	142316	103440	97826
2019	50	130173	136238	100199	95779
2019	51	126862	133711	98828	93984
2019	52	124056	132594	98361	92971
2019	53	124361	134681	97996	92200
2019	54	124954	136731	98819	92707
2019	55	127644	141429	99613	93073
2019	56	129315	145357	100326	94665
2019	57	129920	147656	100070	94186
2019	58	134564	155800	101178	95563
2019	59	141633	167652	104079	98689
2019	60	151178	181008	107742	102286
2019	61	157807	190282	106257	102470
2019	62	159480	196370	104440	101173
2019	63	157856	195751	99876	97852
2019	64	158730	198967	97102	96706
2019	65	150708	192995	89848	91105
2019	66	146983	191683	86577	89545
2019	67	142034	187911	82310	87469
2019	68	136861	184418	77248	85747
2019	69	128387	173556	71751	81577
2019	70	120012	165619	65437	77348
2019	71	113428	158501	61613	74272
2019	72	102938	146857	54250	68267
2019	73	90428	132103	46525	61535
2019	74	61349	91978	32672	45614
2019	75	57836	89555	30828	44828
2019	76	53876	84669	28318	42921
2019	77	49827	81248	26190	41391
2019	78	49337	84187	27185	43433
2019	79	47668	84624	26720	45327
2019	80	44333	81751	24853	44345
2019	81	40657	77955	23182	42991
2019	82	37932	74505	21147	41062
2019	83	34906	71082	19134	39123
2019	84	30765	64728	17027	36442
2019	85	26513	57691	14806	33379
2019	86	22958	51018	12745	29925
2019	87	20461	47131	11181	28532
2019	88	17649	41368	9663	25653
2019	89	14960	36665	8218	22915
2019	90	11390	29300	6470	18795
2019	91	8872	23693	5019	15419
2019	92	6272	18216	3633	12102
2019	93	4659	14931	2648	9448
2019	94	3645	12170	1984	7549
2019	95	2420	8435	1344	5279
2019	96	1760	6223	999	3864
2019	97	1104	4278	649	2618
2019	98	662	2492	376	1548
2019	99	408	1541	248	940
2019	100	467	1951	269	1155
2020	0	97948	92357	76818	72384
2020	1	99587	93958	77404	72916
2020	2	100713	95070	77828	73283
2020	3	100959	95340	78274	73672
2020	4	101822	96189	78968	74291
2020	5	103355	97666	80021	75251
2020	6	105281	99502	81341	76462
2020	7	105733	100202	80377	76150
2020	8	113748	107463	86791	81777
2020	9	115748	109074	88381	83590
2020	10	120390	114068	92358	87165
2020	11	124685	118741	96851	92349
2020	12	122655	117232	97639	92771
2020	13	113814	108570	92486	87540
2020	14	107403	102240	88533	83828
2020	15	102447	97413	85948	82002
2020	16	98664	93319	84194	79959
2020	17	95344	91235	83878	79467
2020	18	95499	91035	85648	81202
2020	19	98810	94378	88497	84086
2020	20	101289	96955	91103	86406
2020	21	101234	97157	92556	87854
2020	22	104458	100113	95400	89836
2020	23	111052	109059	96577	89462
2020	24	116121	114013	100249	92224
2020	25	116448	114153	105138	98764
2020	26	126722	125597	108300	101423
2020	27	132728	131401	112772	104191
2020	28	137990	136230	116837	108631
2020	29	151140	150237	119479	108851
2020	30	157612	157176	118888	108390
2020	31	161189	160260	117520	107642
2020	32	167137	167922	119228	109015
2020	33	172740	172044	119298	109459
2020	34	181745	181580	121668	113242
2020	35	193432	193190	127322	118514
2020	36	201559	200252	129145	120790
2020	37	207443	207127	131686	124313
2020	38	199836	199067	129147	120853
2020	39	190644	191805	122866	115257
2020	40	193709	194568	124911	118205
2020	41	192998	192507	124081	116923
2020	42	185846	186450	121141	114610
2020	43	182989	184162	121135	114088
2020	44	181636	184701	122361	114877
2020	45	173546	175792	119241	113372
2020	46	165077	167497	117002	110554
2020	47	156597	159810	113018	107794
2020	48	149612	152604	109457	104753
2020	49	140982	146089	106132	101892
2020	50	136401	141663	103129	97861
2020	51	129061	135604	99821	95768
2020	52	125712	133074	98382	93931
2020	53	122859	131945	97836	92879
2020	54	123080	134000	97399	92073
2020	55	123587	136013	98134	92537
2020	56	126156	140650	98833	92860
2020	57	127711	144522	99440	94404
2020	58	128204	146760	99081	93877
2020	59	132668	154802	100071	95207
2020	60	139508	166510	102818	98280
2020	61	148764	179695	106306	101811
2020	62	155124	188810	104713	101951
2020	63	156591	194750	102776	100607
2020	64	154814	194035	98143	97251
2020	65	155476	197103	95273	96046
2020	66	147411	191067	88006	90423
2020	67	143560	189630	84639	88810
2020	68	138502	185750	80309	86668
2020	69	133213	182124	75203	84869
2020	70	124719	171219	69675	80638
2020	71	116321	163186	63364	76354
2020	72	109670	155942	59473	73197
2020	73	99246	144249	52181	67154
2020	74	86908	129501	44572	60395
2020	75	58762	89976	31168	44659
2020	76	55177	87366	29258	43747
2020	77	51159	82330	26729	41730
2020	78	47073	78704	24565	40068
2020	79	46345	81191	25320	41844
2020	80	44492	81202	24698	43416
2020	81	41089	77981	22785	42197
2020	82	37386	73851	21060	40601
2020	83	34582	70052	19030	38465
2020	84	31528	66272	17047	36326
2020	85	27517	59804	15011	33508
2020	86	23398	52569	12868	30268
2020	87	20031	45991	10944	26835
2020	88	17637	41985	9474	25274
2020	89	15012	36378	8074	22424
2020	90	12543	31791	6762	19737
2020	91	9397	25014	5233	15934
2020	92	7201	19891	3991	12846
2020	93	4995	15012	2831	9892
2020	94	3636	12060	2020	7562
2020	95	2786	9619	1478	5908
2020	96	1805	6510	978	4033
2020	97	1278	4678	709	2870
2020	98	780	3128	448	1892
2020	99	453	1756	250	1076
2020	100	564	2314	326	1368
2021	0	96275	90780	76228	71830
2021	1	98250	92695	77091	72617
2021	2	99694	94111	77731	73194
2021	3	100648	95049	78191	73590
2021	4	100763	95192	78654	73994
2021	5	101518	95930	79359	74629
2021	6	102971	97325	80422	75601
2021	7	104828	99098	81748	76825
2021	8	105239	99752	80783	76518
2021	9	113199	106965	87216	82169
2021	10	115194	108569	88798	83979
2021	11	119829	113551	92768	87558
2021	12	124129	118226	97246	92735
2021	13	122144	116761	97992	93130
2021	14	113377	108177	92783	87844
2021	15	107026	101925	88781	84078
2021	16	102119	97168	86149	82194
