Kod_leku;Subst_czynna;Nazwa;Id_grupy;Cena_detaliczna;Cena_refundowana
5909990000098;Fentanylum;Fentanyl Actavis 100 Ág/h, system transdermalny, 100 Ág/h;152.4;139,27;3,2
5909990000715;Alergeny pylkow roslin;Novo-Helisen Depot, zawiesina do wstrzykiwan podskornych, stezenie: 1 - 50 TU/ml lub 25 PNU/ml; 2 - 500 TU/ml lub 250 PNU/ml; 3 - 5000 TU/ml lub 2500 PNU/ml;214.3;432,49;279,94
5909990000739;Alergeny pylkow roslin;Novo-Helisen Depot, zawiesina do wstrzykiwan podskornych, stezenie 3 - 5000 TU/ml lub 2500 PNU/ml;214.4;452,98;211,21
5909990001118;Alergeny kurzu domowego;Novo-Helisen Depot, zawiesina do wstrzykiwan podskornych, stezenie: 1 - 50 TU/ml lub 50 PNU/ml; 2 - 500 TU/ml lub 500 PNU/ml; 3 - 5000 TU/ml lub 5000 PNU/ml;214.1;432,49;279,94
5909990001132;Alergeny kurzu domowego;Novo-Helisen Depot, zawiesina do wstrzykiwan podskornych, stezenie 3 - 5000 TU/ml lub 5000 PNU/ml;214.2;450,32;297,77
5909990001316;Alergeny pylkow roslin;Allergovit, zawiesina do wstrzykiwan podskornych, stezenie: A - 1000 TU/ml; B- 10000 TU/ml;214.3;335,57;183,02
5909990001323;Alergeny pylkow roslin;Allergovit, zawiesina do wstrzykiwan podskornych, stezenie B - 10000 TU/ml;214.4;320,44;78,67
5909990001613;Levothyroxinum natricum;Eltroxin, tabl., 50 Ág;83.0;15,36;11,24
5909990001712;Levothyroxinum natricum;Eltroxin, tabl., 100 Ág;83.0;17,77;9,52
5909990001811;Ondansetronum;Zofran, tabl. powl., 4 mg;7.1;38,69;19,12
5909990001910;Ondansetronum;Zofran, tabl. powl., 8 mg;7.1;71,61;29,28
5909990002306;Aripiprazolum;Abilify, tabl., 15 mg;178.7;392,39;3,2
5909990004317;Itraconazolum;Orungal, kaps., 100 mg;110.1;15;7,68
5909990004331;Itraconazolum;Orungal, kaps., 100 mg;110.1;91,46;45,73
5909990004713;Clobetasolum;Dermovate, krem, 0,5 mg/g;56.0;11,86;6,25
5909990004812;Clobetasolum;Dermovate, masc, 0,5 mg/g;56.0;11,86;6,25
5909990005741;Insulinum detemirum;Levemir, roztwor do wstrzykiwan we wkladzie, 100 j/ml;14.3;249,02;79,17
5909990006649;Levetiracetamum;Keppra, tabl. powl., 750 mg;166.1;179,21;122,62
5909990006670;Levetiracetamum;Keppra, tabl. powl., 750 mg;166.1;353,31;239,06
5909990006755;Levetiracetamum;Keppra, roztwor do stosowania doustnego, 100 mg/ml;166.2;146,82;76,91
5909990007240;Follitropinum alfa;Gonal-f, roztwor do wstrzykiwan we wkladzie do wstrzykiwacza polautomatycznego, 900 j.m. (IU)/1,5 ml (66 Ág/1,5 ml);69.1;1397,74;380,21
5909990007257;Follitropinum alfa;Gonal-f, roztwor do wstrzykiwan we wkladzie do wstrzykiwacza polautomatycznego , 300 j.m. (IU)/0,5 ml (22 Ág/0,5 ml);69.1;474,04;145,5
5909990007387;Aprepitantum;Emend, kaps. twarde, 125 mg, 80 mg;8.0;227,53;3,2
5909990007523;Pegfilgrastimum;Neulasta, roztwor do wstrzykiwan, 6 mg/0,6 ml;133.0;3398,92;3,2
5909990008469;Bimatoprostum;Lumigan, krople do oczu, roztwor, 0,3 mg/ml;214.0;55,27;16,23
5909990008483;Insulinum glulisinum;Apidra, roztwor do wstrzykiwan, 100 j./ml;14.1;85,87;23,95
5909990008575;Insulinum glulisinum;Apidra, roztwor do wstrzykiwan, 100 j./ml;14.1;126,31;32,63
5909990009282;Pregabalinum;Lyrica, kaps. twarde, 75 mg;242.0;50,16;14,35
5909990009299;Pregabalinum;Lyrica, kaps. twarde, 75 mg;242.0;184,55;31,69
5909990009350;Pregabalinum;Lyrica, kaps. twarde, 150 mg;242.0;84,89;10,06
5909990009367;Pregabalinum;Lyrica, kaps. twarde, 150 mg;242.0;312,11;3,2
5909990010189;Paroxetinum;Paxtin 20, tabl. powl., 20 mg;184.0;22,82;13,2
5909990010202;Paroxetinum;Paxtin 40, tabl. powl., 40 mg;184.0;44,12;24,87
5909990010516;Isosorbidi mononitras;Mononit 10, tabl. powl., 10 mg;34.1;5,64;4,11
5909990010622;Isosorbidi mononitras;Mononit 20, tabl. powl., 20 mg;34.1;10,36;4,11
5909990010714;Isosorbidi mononitras;Mononit 40, tabl. powl., 40 mg;34.1;9,77;3,52
5909990011018;Alergeny pylkow roslin;Catalet T, zawiesina do wstrzykiwan, stezenie: 1 - 25 JS/ml; 2 - 250 JS/ml; 3 - 2500 JS/ml;214.3;97,26;3,2
5909990011025;Alergeny pylkow roslin;Catalet T, zawiesina do wstrzykiwan, stezenie 4 - 10000 JS/ml;214.4;91,7;3,2
5909990011117;Alergeny pylkow roslin;Catalet C, zawiesina do wstrzykiwan, stezenie: 1 - 25 JS/ml; 2 - 250 JS/ml; 3 - 2500 JS/ml;214.3;97,26;3,2
5909990011124;Alergeny pylkow roslin;Catalet C, zawiesina do wstrzykiwan, stezenie 4 - 5000 JS/ml;214.4;91,7;3,2
5909990011216;Alergeny pylkow roslin;Catalet D, zawiesina do wstrzykiwan, stezenie: 1 -25 JS/ml; 2 - 250 JS/ml; 3 - 2500 JS/ml;214.3;97,26;3,2
5909990011223;Alergeny pylkow roslin;Catalet D, zawiesina do wstrzykiwan, stezenie 4 - 5000 JS/ml;214.4;91,7;3,2
5909990011414;Atenololum;Atenolol Sanofi 50, tabl., 50 mg;40.0;7,19;3,37
5909990012114;Digoxinum;Digoxin Teva, tabl., 100 Ág;28.0;1,28;1,28
5909990012312;sole rehydratacyjne;Gastrolit, proszek do sporzadzania roztworu,;9.0;9,57;3,2
5909990012688;Indapamidum;Ipres long 1,5, tabl. o przedluzonym uwalnianiu, 1,5 mg;36.0;8,96;3,56
5909990013586;Ropinirolum;Requip, tabl. powl., 2 mg;170.0;32,39;12,57
5909990013685;Ropinirolum;Requip, tabl. powl., 0,5 mg;170.0;8,92;3,96
5909990013890;Ropinirolum;Requip, tabl. powl., 1 mg;170.0;17,07;7,16
5909990013968;Ropinirolum;Requip, tabl. powl., 5 mg;170.0;76,03;26,46
5909990013982;Sertralinum;Zotral, tabl. powl., 50 mg;184.0;19,92;10,94
5909990014354;Quinaprilum;Aprilgen 5mg, tabl. powl., 5 mg;44.0;9,06;9,06
5909990014439;Quinaprilum;Aprilgen 10mg, tabl. powl., 10 mg;44.0;12,45;11,89
5909990014460;Quinaprilum;Aprilgen 20mg, tabl. powl., 20 mg;44.0;15,76;12,5
5909990014507;Quinaprilum;Aprilgen 40mg, tabl. powl., 40 mg;44.0;30,36;23,83
5909990014729;Famotidinum;Famogast, tabl. powl., 20 mg;1.0;12,14;3,71
5909990014736;Famotidinum;Famogast, tabl. powl., 20 mg;1.0;6,25;3,63
5909990014828;Famotidinum;Famogast, tabl. powl., 40 mg;1.0;21,54;6,4
5909990014835;Famotidinum;Famogast, tabl. powl., 40 mg;1.0;11,92;3,49
5909990014934;Enalaprilum;Enarenal, tabl., 5 mg;44.0;3,89;3,89
5909990014958;Enalaprilum;Enarenal, tabl., 5 mg;44.0;7,23;4,78
5909990015030;Enalaprilum;Enarenal, tabl., 10 mg;44.0;6,12;3,67
5909990015054;Enalaprilum;Enarenal, tabl., 10 mg;44.0;11,77;6,88
5909990015412;Collagenasum;Iruxol Mono, masc, 1,2 j.m./g;51.0;40,65;20,33
5909990016952;Risperidonum;Ziperid, tabl. powl., 1 mg;178.5;9,75;3,2
5909990016983;Risperidonum;Ziperid, tabl. powl., 2 mg;178.5;19,35;3,2
5909990017003;Risperidonum;Ziperid, tabl. powl., 3 mg;178.5;29,25;3,2
5909990017041;Risperidonum;Ziperid, tabl. powl., 4 mg;178.5;36,54;3,2
5909990017447;Ramiprilum;Ramistad 2,5, tabl., 2,5 mg;44.0;4,61;3,2
5909990017454;Ramiprilum;Ramistad 5, tabl., 5 mg;44.0;8,94;5,97
5909990017461;Ramiprilum;Ramistad 10, tabl., 10 mg;44.0;15,36;11,95
5909990017652;Topiramatum;Epiramat, tabl. powl., 25 mg;164.0;11,24;5,3
5909990017669;Topiramatum;Epiramat, tabl. powl., 50 mg;164.0;21,41;6,33
5909990017676;Topiramatum;Epiramat, tabl. powl., 100 mg;164.0;40,77;7,41
5909990017751;Topiramatum;Epiramat, tabl. powl., 200 mg;164.0;74,24;4,31
5909990017874;Fluconazolum;Fluconazole Polfarmex, tabl., 150 mg;110.1;5,68;2,94
5909990017881;Fluconazolum;Fluconazole Polfarmex, tabl., 150 mg;110.1;16,12;8,06
5909990017973;Finasteridum;Finpros 5, tabl. powl., 5 mg;77.0;28,61;3,2
5909990017997;Finasteridum;Hyplafin, tabl. powl., 5 mg;77.0;30,53;3,2
5909990020416;Levodopum + Carbidopum;Sinemet CR 200/50, tabl. o zmodyfikowanym uwalnianiu, 200+50 mg;168.0;95,1;3,56
5909990020829;Enalaprilum;Enarenal, tabl., 20 mg;44.0;20,12;12,8
5909990020836;Enalaprilum;Enarenal, tabl., 20 mg;44.0;11,25;6,4
5909990022571;Doxazosinum;Kamiren XL, tabl. o zmodyfikowanym uwalnianiu, 4 mg;76.0;27,62;9,71
5909990023813;Acidum valproicum;Convulex, kaps. miekkie, 500 mg;161.1;44,89;3,56
5909990023912;Natrii valproas;Convulex, syrop, 50 mg/ml;161.1;10,37;8,92
5909990029815;Dinatrii clodronas;Bonefos, kaps., 400 mg;146.1;303,09;5,28
5909990029822;Dinatrii clodronas;Bonefos, kaps., 400 mg;146.1;303,09;5,28
5909990030927;Ambenonium;Mytelase, tabl., 10 mg;189.0;11,62;3,49
5909990032211;Carbocisteinum;Mukolina, syrop, 50 mg/ml;205.1;6,5;1,95
5909990033614;Diclofenacum;Majamil prolongatum, tabl. o przedluzonym uwalnianiu, 100 mg;141.1;8,15;4,08
5909990034123;Propafenonum;Polfenon, tabl. powl., 150 mg;30.0;7,72;3,2
5909990034420;Metoprololum;Metocard, tabl., 50 mg;40.0;5,15;4,84
5909990034529;Metoprololum;Metocard, tabl., 100 mg;40.0;8,7;4,88
5909990034932;Risperidonum;Torendo Q-Tab 1, tabl. ulegajace rozpadowi w jamie ustnej, 1 mg;178.5;9,18;3,2
5909990034994;Risperidonum;Torendo Q-Tab 2, tabl. ulegajace rozpadowi w jamie ustnej, 2 mg;178.5;17,32;3,2
5909990035915;Acidum tranexamicum;Exacyl, tabl. powl., 500 mg;24.2;15,11;7,56
5909990036011;Acidum tranexamicum;Exacyl, roztwor doustny, 1 g/10 ml;24.3;14,21;7,11
5909990036653;Acidum alendronicum;Alendronatum 123ratio, tabl., 70 mg;147.0;11,56;3,47
5909990037575;Simvastatinum;Simvastatin 40 mg tabletki powlekane, tabl. powl., 40 mg;46.0;16,55;9,42
5909990037582;Simvastatinum;Simvastatin 40, tabl. powl., 40 mg;46.0;17,97;10,33
5909990037698;Simvastatinum;Simvastatin 20, tabl. powl., 20 mg;46.0;8,42;4,86
5909990037711;Digoxinum;Digoxin WZF, tabl., 250 Ág;28.0;2,95;2,95
5909990037773;Cyproteronum + Ethinylestradiolum;Syndi-35, tabl. drazowane, 2+0,035 mg;72.0;12,02;7,66
5909990037933;Alfuzosinum;Alugen 10, tabl. o przedluzonym uwalnianiu, 10 mg;76.0;28,07;4,27
5909990037957;Doxazosinum;Doxagen, tabl. o przedluzonym uwalnianiu, 4 mg;76.0;25,52;3,2
5909990038220;Loperamidi hydrochloridum;Loperamid WZF, tabl., 2 mg;10.0;7,57;3,79
5909990038480;Lamotriginum;Lamilept, tabl., 100 mg;163.1;25,96;3,2
5909990038565;Lamotriginum;Lamilept, tabl., 50 mg;163.1;13,74;3,2
5909990038701;Lamotriginum;Lamilept, tabl., 25 mg;163.1;7,12;3,2
5909990039692;Acidum alendronicum;Sedron 70, tabl. powl., 70 mg;147.0;13,26;5,17
5909990039708;Acidum alendronicum;Sedron 70, tabl. powl., 70 mg;147.0;36,95;12,67
5909990040971;Venlafaxinum;Venlectine, kaps. o przedluzonym uwalnianiu, 37,5 mg;187.0;13,52;5,13
5909990040995;Venlafaxinum;Venlectine, kaps. o przedluzonym uwalnianiu, 75 mg;187.0;25,54;8,78
5909990041985;Amoxicillinum + Acidum clavulanicum;Augmentin SR, tabl. o przedluzonym uwalnianiu, 1000+62,5 mg;89.1;58,25;29,13
5909990042364;Natrii valproas;Absenor, tabl. o przedluzonym uwalnianiu, 500 mg;161.2;69,7;0
5909990042371;Natrii valproas;Absenor, tabl. o przedluzonym uwalnianiu, 300 mg;161.2;42,13;3,2
5909990042401;Meloxicamum;Meloxicam Arrow 15 mg, Ortopedina Forte, tabl., 15 mg;141.1;13,2;8,05
5909990042425;Meloxicamum;Meloxicam Arrow 15 mg, Ortopedina Forte, tabl., 15 mg;141.1;15,1;7,55
5909990042579;Enzyma pancreatis;Kreon 25000, kaps. dojel., 25000 J.Ph.Eur.Lipazy;13.0;55,64;0
5909990042715;Octreotidum;Sandostatin, roztwor do wstrzykiwan, 50 Ág/ml;79.1;44,19;3,2
5909990042913;Octreotidum;Sandostatin, roztwor do wstrzykiwan, 100 Ág/ml;79.1;59,53;3,2
5909990043163;Fentanylum;Matrifen 12, system transdermalny, 12 Ág/h;152.4;22,93;7,45
5909990043224;Fentanylum;Matrifen 75, system transdermalny, 75 Ág/h;152.4;112,09;3,2
5909990043279;Fentanylum;Matrifen 25, system transdermalny, 25 Ág/h;152.4;43,72;9,56
5909990043330;Fentanylum;Matrifen 100, system transdermalny, 100 Ág/h;152.4;146,62;3,2
5909990043385;Fentanylum;Matrifen 50, system transdermalny, 50 Ág/h;152.4;76,85;5,32
5909990043910;Carbamazepinum;Amizepin, tabl., 200 mg;159.1;14,33;3,98
5909990044146;Risperidonum;Risperidon Vipharm, tabl. powl., 4 mg;178.5;39,36;3,2
5909990044252;Risperidonum;Risperidon Vipharm, tabl. powl., 3 mg;178.5;30,19;3,2
5909990044344;Risperidonum;Risperidon Vipharm, tabl. powl., 2 mg;178.5;20,21;3,25
5909990044382;Tamsulosinum;Symlosin SR, kaps. o przedluzonym uwalnianiu, twarde, 0,4 mg;76.0;24,35;3,2
5909990044481;Risperidonum;Risperidon Vipharm, tabl. powl., 1 mg;178.5;10,33;3,45
5909990044559;Cetirizinum;Cetigran, tabl. powl., 10 mg;207.1;13,83;4,15
5909990044986;Ticlopidinum;Iclopid, tabl. powl., 250 mg;23.2;35,5;11,84
5909990045006;Tamsulosinum;Apo-Tamis, kaps., 0,4 mg;76.0;25,87;3,48
5909990045211;Verapamilum;Staveran 40, tabl. powl., 40 mg;42.0;3,21;3,21
5909990045310;Verapamilum;Staveran 80, tabl. powl., 80 mg;42.0;5,88;3,63
5909990045419;Verapamilum;Staveran 120, tabl. powl., 120 mg;42.0;8,17;3,2
5909990045532;Clarithromycinum;Klabax, tabl. powl., 500 mg;101.2;25,51;12,76
5909990045549;Clarithromycinum;Klabax, tabl. powl., 500 mg;101.2;35,39;17,7
5909990045594;Losartanum;Sarve 50 mg, tabl. powl., 50 mg;45.0;16,11;6,61
5909990046171;Cyproteronum + Ethinylestradiolum;OC-35, tabl. powl., 2+0,035 mg;72.0;11,88;7,52
5909990046188;Cyproteronum + Ethinylestradiolum;OC-35, tabl. powl., 2+0,035 mg;72.0;34,29;21,24
5909990046485;Ketoprofenum;Ketonal forte, tabl. powl., 100 mg;141.1;14,67;9,52
5909990046492;Ketoprofenum;Ketonal, kaps. twarde, 50 mg;141.1;6,61;4,03
5909990046621;Sertralinum;Sertagen, tabl. powl., 100 mg;184.0;22,32;6,7
5909990046690;Sertralinum;Sertagen, tabl. powl., 50 mg;184.0;11,87;3,56
5909990047109;Paroxetinum;Arketis tabletki 20 mg, tabl., 20 mg;184.0;23,39;13,77
5909990047895;Venlafaxinum;Alventa, kaps. o przedluzonym uwalnianiu, twarde, 75 mg;187.0;25,09;8,33
5909990047901;Venlafaxinum;Alventa, kaps. o przedluzonym uwalnianiu, twarde, 37,5 mg;187.0;12,95;4,56
5909990047949;Ramiprilum;Ramve 2,5 mg, kaps. twarde, 2,5 mg;44.0;5,17;3,2
5909990047956;Venlafaxinum;Alventa, kaps. o przedluzonym uwalnianiu, twarde, 150 mg;187.0;46,67;14
5909990047963;Ramiprilum;Ramve 5 mg, kaps. twarde, 5 mg;44.0;10,71;6,14
5909990047987;Ramiprilum;Ramve 10 mg, kaps. twarde, 10 mg;44.0;20,35;11,95
5909990048007;Tamsulosinum;Ranlosin, kaps. o przedluzonym uwalnianiu, 0,4 mg;76.0;25,81;3,42
5909990048328;Enoxaparinum natricum;Clexane, roztwor do wstrzykiwan, 100 mg/ml;22.0;59,61;10,17
5909990048427;Enoxaparinum natricum;Clexane, roztwor do wstrzykiwan, 100 mg/ml;22.0;114,47;12,38
5909990048465;Carvedilolum;Hypoten, tabl. powl., 6,25 mg;40.0;7,69;6,46
5909990048472;Carvedilolum;Hypoten, tabl. powl., 6,25 mg;40.0;25,62;21,53
5909990048489;Carvedilolum;Hypoten, tabl. powl., 12,5 mg;40.0;10,44;7,98
5909990048496;Carvedilolum;Hypoten, tabl. powl., 12,5 mg;40.0;34,46;26,27
5909990048502;Carvedilolum;Hypoten, tabl. powl., 25 mg;40.0;14,14;9,23
5909990048540;Carvedilolum;Hypoten, tabl. powl., 25 mg;40.0;45,28;28,9
5909990048670;Finasteridum;Apo-Fina, tabl. powl., 5 mg;77.0;30,98;3,56
5909990048809;Oxcarbazepinum;Karbagen, tabl. powl., 150 mg;160.1;33,48;3,2
5909990048823;Oxcarbazepinum;Karbagen, tabl. powl., 300 mg;160.1;63,85;3,2
5909990048854;Oxcarbazepinum;Karbagen, tabl. powl., 600 mg;160.1;121,43;3,2
5909990048939;Amlodipinum;Amlopin 5 mg, tabl., 5 mg;41.0;10,54;5,49
5909990048977;Amlodipinum;Amlopin 10 mg, tabl., 10 mg;41.0;18,39;8,3
5909990049943;Sertralinum;Sertralinum 123ratio, tabl. powl., 50 mg;184.0;14,08;4,46
5909990049981;Sertralinum;Sertralinum 123ratio, tabl. powl., 100 mg;184.0;24,84;7,45
5909990050819;Cefadroxilum;Duracef, proszek do sporzadzania zawiesiny doustnej, 250 mg/5 ml;90.3;13,25;7,87
5909990050826;Cefadroxilum;Duracef, proszek do sporzadzania zawiesiny doustnej, 250 mg/5 ml;90.3;24,19;15,22
5909990050895;Finasteridum;Finxta, tabl. powl., 5 mg;77.0;32,89;7,51
5909990050918;Cefadroxilum;Duracef, proszek do sporzadzania zawiesiny doustnej, 500 mg/5 ml;90.3;22,39;11,63
5909990050925;Cefadroxilum;Duracef, proszek do sporzadzania zawiesiny doustnej, 500 mg/5 ml;90.3;37,47;19,53
5909990051052;Tacrolimusum;Advagraf, kaps. o przedluzonym uwalnianiu, twarde, 0,5 mg;139.0;90,31;8,66
5909990051076;Tacrolimusum;Advagraf, kaps. o przedluzonym uwalnianiu, twarde, 1 mg;139.0;169,69;3,2
5909990051113;Cefadroxilum;Duracef, kaps., 500 mg;90.2;18,75;13,41
5909990051120;Cefadroxilum;Duracef, kaps., 500 mg;90.2;30,43;21,53
5909990051137;Tacrolimusum;Advagraf, kaps. o przedluzonym uwalnianiu, twarde, 5 mg;139.0;812,51;3,2
5909990051335;Cefuroximum;Zinnat, granulat do sporzadzania zawiesiny doustnej, 125 mg/5 ml;90.3;19,8;10,83
5909990051342;Cefuroximum;Zinnat, granulat do sporzadzania zawiesiny doustnej, 125 mg/5 ml;90.3;35,88;17,94
5909990053049;Aciclovirum;Viru-POS, masc do oczu, 30 mg/g;115.1;28,58;14,29
5909990053056;Metforminum;Metformax 1000, tabl. powl., 1000 mg;15.0;8,3;3,2
5909990053179;Atorvastatinum;Torvalipin, tabl. powl., 10 mg;46.0;10,37;7,51
5909990053230;Atorvastatinum;Torvalipin, tabl. powl., 20 mg;46.0;15,27;9,54
5909990053278;Atorvastatinum;Torvalipin, tabl. powl., 40 mg;46.0;26,44;14,99
5909990053605;Fentanylum;Durogesic, system transdermalny, 12,5 Ág/h;152.4;27,47;11,99
5909990054152;Beclometasonum + Formoterolum;Fostex, aerozol inhalacyjny, roztwor, 0,1+6 mg+Ág/dawke inhalacyjna;199.2;186,31;13,88
5909990054589;Fentanylum;Fenta MX 25, system transdermalny, 25 Ág/h;152.4;43,72;9,56
5909990054626;Fentanylum;Fenta MX 50, system transdermalny, 50 Ág/h;152.4;84,79;13,26
5909990054664;Fentanylum;Fenta MX 75, system transdermalny, 75 Ág/h;152.4;115,49;6,6
5909990054695;Fentanylum;Fenta MX 100, system transdermalny, 100 Ág/h;152.4;156,83;10,58
5909990055029;Perindoprilum + Indapamidum;Noliprel Forte, tabl. powl., 5+1,25 mg;44.0;27,43;24,37
5909990055098;Finasteridum;Finasterid Stada, tabl. powl., 5 mg;77.0;27,58;3,2
5909990055135;Lansoprazolum;Lanbax, kaps. dojel. twarde, 15 mg;2.0;12,68;8,72
5909990055173;Lansoprazolum;Lanbax, kaps. dojel. twarde, 30 mg;2.0;24,54;16,62
5909990055470;Finasteridum;Androster, tabl. powl., 5 mg;77.0;30,66;3,24
5909990055531;Quetiapinum;Ketilept, tabl. powl., 25 mg;178.3;9,49;6,5
5909990055562;Quetiapinum;Ketilept, tabl. powl., 100 mg;178.3;50,77;4,47
5909990055593;Quetiapinum;Ketilept, tabl. powl., 200 mg;178.3;98,99;3,2
5909990055630;Quetiapinum;Ketilept, tabl. powl., 300 mg;178.3;144,24;4,8
5909990055678;Perindoprilum + Indapamidum;Tertensif Kombi, tabl. powl., 5+1,25 mg;44.0;27,43;24,37
5909990055715;Acenocoumarolum;Acenocumarol WZF, tabl., 4 mg;21.0;11,86;5,12
5909990055722;Simvastatinum;Ximve, tabl. powl., 20 mg;46.0;13,13;9,57
5909990055982;Venlafaxinum;Velaxin ER, kaps. o przedluzonym uwalnianiu, 37,5 mg;187.0;14,88;6,49
5909990056279;Venlafaxinum;Velaxin ER, kaps. o przedluzonym uwalnianiu, 75 mg;187.0;27,35;10,59
5909990056293;Venlafaxinum;Velaxin ER, kaps. o przedluzonym uwalnianiu, 150 mg;187.0;53,35;19,82
5909990058754;Quetiapinum;Ketipinor, tabl. powl., 200 mg;178.3;54,17;7,87
5909990058761;Quetiapinum;Ketipinor, tabl. powl., 200 mg;178.3;174,44;14,79
5909990058778;Quetiapinum;Ketipinor, tabl. powl., 100 mg;178.3;29,54;7,99
5909990058785;Quetiapinum;Ketipinor, tabl. powl., 100 mg;178.3;91,06;11,77
5909990058808;Quetiapinum;Ketipinor, tabl. powl., 25 mg;178.3;27,26;9,84
5909990058822;Tiagabinum;Gabitril, tabl. powl., 5 mg;162.3;95,6;3,2
5909990058839;Tiagabinum;Gabitril, tabl. powl., 10 mg;162.3;188,34;3,2
5909990058846;Tiagabinum;Gabitril, tabl. powl., 15 mg;162.3;279,42;3,2
5909990059416;Cefuroximum;Biofuroksym, proszek do sporzadzania roztworu lub zawiesiny do wstrzykiwan, 750 mg;90.1;8;5,03
5909990059515;Cefuroximum;Biofuroksym, proszek do sporzadzania roztworu do wstrzykiwan, 1500 mg;90.1;14,52;8,58
5909990059522;Clarithromycinum;Fromilid, granulat do sporzadzania zawiesiny doustnej, 250 mg/5 ml;101.1;30,61;15,31
5909990059546;Pantoprazolum;Xotepic, tabl. dojel., 20 mg;2.0;10,98;7,02
5909990059591;Pantoprazolum;Xotepic, tabl. dojel., 40 mg;2.0;21,14;13,22
5909990059713;Estradiolum + Levonorgestrelum;Klimonorm, tabl. drazowane, 2+0,15 mg;68.2;14,87;5,29
